AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[1.0, 0.9817729782764028, 0.9520549376136261, 0.9109318677904698, 0.8906982813217101, 0.8375117708914369, 0.7192109415651696, 0.45554136200423984]","[0.3303852808528419, 0.34415594346599193, 0.3805247420289554, 0.4018796897670544, 0.39685922032258697, 0.2590553530048138, 0.0, 0.08691891057436489]","[0.11295493906583545, 0.0934968509200441, 0.07183737989233999, 0.03691651440859951, 0.02030580197791255, 0.0, 0.11975742375410767, 0.25038119587979235]","[0.9794016131427231, 1.0, 0.9911025233404746, 0.973844810599542, 0.9379509552006151, 0.8651437604000451, 0.7794299265801278, 0.7121597077132079]","[0.018006380966813677, 0.010656801219850808, 0.0, 0.004774539338770649, 0.02350692871265849, 0.09644046546708858, 0.16174335318074803, 0.261663932822051]","[0.9423120608827787, 0.8908562953118441, 0.8443950250605754, 0.7789703624994123, 0.646737852007595, 0.39806805034535564, 0.12913879300842784, 0.0]","[0.6058711751730607, 0.5793160735517623, 0.5539063725807697, 0.49532211501552315, 0.4567254547745456, 0.2930547751645108, 0.10271343172393846, 0.0]","[1.0, 0.9873859035587854, 0.9787067157706437, 0.9419498703048197, 0.9106011082871178, 0.7217596806049218, 0.3422633840367329, 0.06387701475427546]","[0.1495941893837787, 0.14418173149619412, 0.1479468207284648, 0.13667038132696083, 0.12424416349837757, 0.047789999742967396, 0.0, 0.1197906343478819]","[0.8857778920473021, 0.8343509854984975, 0.7630311426609894, 0.6581806154908351, 0.6073025134314521, 0.5026355727786229, 0.4751038867400093, 0.24410167563059962]","[0.9686127904327744, 0.9694468691367509, 0.9721795301934015, 0.9767812739299231, 0.9765030151804064, 0.970661844842249, 0.9792425528315127, 0.9990587894806112]","[0.807427036203662, 0.8033862914738402, 0.7903380989220964, 0.773192817526648, 0.7695496199987485, 0.8253907713287792, 0.9917559666017692, 1.0]","[0.10505302158356467, 0.1004457147465512, 0.08971082727200003, 0.07674689583208305, 0.0791985843800981, 0.09730254136779, 0.07654193688320894, 0.041463498723987864]","[0.9613581209000526, 0.9662730043732924, 0.9732948877644245, 0.9858488025142322, 0.9910493225677147, 1.0, 0.9452453900209629, 0.8260958878303167]","[0.8048493474899048, 0.7740368653473664, 0.7166027207564671, 0.6522027119213492, 0.5306744887259301, 0.3369623652884238, 0.10673160913978508, 0.044312061649266314]","[0.3858150866016281, 0.4226485261794219, 0.35910027266366173, 0.3234769655716768, 0.27970052838150966, 0.31123266000748157, 0.27754324231775923, 0.4187290935188146]","[0.35744868362530396, 0.32279391759773546, 0.2885565425401057, 0.25484069922588604, 0.19335185152766585, 0.10535059563580963, 0.00023360029301302957, 0.0]","[1.0, 0.9819059485146612, 0.9456645004923135, 0.8912080125184682, 0.7804100492534732, 0.5682074295748581, 0.33366748856961753, 0.2021417210442367]","[0.3795349022525457, 0.3799334329006761, 0.380140725769835, 0.3792453287311926, 0.3707861715982136, 0.35740253470597916, 0.398886512455869, 0.46457071169545594]","[0.9893921728283698, 0.9855143437673524, 0.9854719883149141, 0.9878885011298283, 0.9976945886996468, 1.0, 0.9690186711131773, 0.9369713578805922]","[0.634715279855005, 0.6523844959736725, 0.6724214660043171, 0.6886415158477764, 0.700235057373585, 0.6394379075243685, 0.5509125751511007, 0.34576705424629567]","[0.2940463765971746, 0.2914931081001355, 0.29100434304087325, 0.29569345833471, 0.31645529757667684, 0.3870643040049456, 0.5503194688463372, 0.6905931968993442]"
"[0.9817729782764028, 0.9520549376136261, 0.9109318677904698, 0.8906982813217101, 0.8375117708914369, 0.7192109415651696, 0.45554136200423984, 0.11344417153279904]","[0.34415594346599193, 0.3805247420289554, 0.4018796897670544, 0.39685922032258697, 0.2590553530048138, 0.0, 0.08691891057436489, 0.5477597872392252]","[0.0934968509200441, 0.07183737989233999, 0.03691651440859951, 0.02030580197791255, 0.0, 0.11975742375410767, 0.25038119587979235, 0.4645380160022822]","[1.0, 0.9911025233404746, 0.973844810599542, 0.9379509552006151, 0.8651437604000451, 0.7794299265801278, 0.7121597077132079, 0.49397863876135395]","[0.010656801219850808, 0.0, 0.004774539338770649, 0.02350692871265849, 0.09644046546708858, 0.16174335318074803, 0.261663932822051, 0.3933358216129798]","[0.8908562953118441, 0.8443950250605754, 0.7789703624994123, 0.646737852007595, 0.39806805034535564, 0.12913879300842784, 0.0, 0.02240718271761718]","[0.5793160735517623, 0.5539063725807697, 0.49532211501552315, 0.4567254547745456, 0.2930547751645108, 0.10271343172393846, 0.0, 0.1353889740524706]","[0.9873859035587854, 0.9787067157706437, 0.9419498703048197, 0.9106011082871178, 0.7217596806049218, 0.3422633840367329, 0.06387701475427546, 0.0]","[0.14418173149619412, 0.1479468207284648, 0.13667038132696083, 0.12424416349837757, 0.047789999742967396, 0.0, 0.1197906343478819, 0.46430739170641777]","[0.8343509854984975, 0.7630311426609894, 0.6581806154908351, 0.6073025134314521, 0.5026355727786229, 0.4751038867400093, 0.24410167563059962, 0.0]","[0.9694468691367509, 0.9721795301934015, 0.9767812739299231, 0.9765030151804064, 0.970661844842249, 0.9792425528315127, 0.9990587894806112, 0.7859560824024928]","[0.8033862914738402, 0.7903380989220964, 0.773192817526648, 0.7695496199987485, 0.8253907713287792, 0.9917559666017692, 1.0, 0.5466500829906731]","[0.1004457147465512, 0.08971082727200003, 0.07674689583208305, 0.0791985843800981, 0.09730254136779, 0.07654193688320894, 0.041463498723987864, 0.24258528513132094]","[0.9662730043732924, 0.9732948877644245, 0.9858488025142322, 0.9910493225677147, 1.0, 0.9452453900209629, 0.8260958878303167, 0.5440083145922819]","[0.7740368653473664, 0.7166027207564671, 0.6522027119213492, 0.5306744887259301, 0.3369623652884238, 0.10673160913978508, 0.044312061649266314, 0.0]","[0.4226485261794219, 0.35910027266366173, 0.3234769655716768, 0.27970052838150966, 0.31123266000748157, 0.27754324231775923, 0.4187290935188146, 0.2139639644463741]","[0.32279391759773546, 0.2885565425401057, 0.25484069922588604, 0.19335185152766585, 0.10535059563580963, 0.00023360029301302957, 0.0, 0.10923601863291112]","[0.9819059485146612, 0.9456645004923135, 0.8912080125184682, 0.7804100492534732, 0.5682074295748581, 0.33366748856961753, 0.2021417210442367, 0.05858101144047055]","[0.3799334329006761, 0.380140725769835, 0.3792453287311926, 0.3707861715982136, 0.35740253470597916, 0.398886512455869, 0.46457071169545594, 0.6865866734747089]","[0.9855143437673524, 0.9854719883149141, 0.9878885011298283, 0.9976945886996468, 1.0, 0.9690186711131773, 0.9369713578805922, 0.8206307619976811]","[0.6523844959736725, 0.6724214660043171, 0.6886415158477764, 0.700235057373585, 0.6394379075243685, 0.5509125751511007, 0.34576705424629567, 0.09543150778838404]","[0.2914931081001355, 0.29100434304087325, 0.29569345833471, 0.31645529757667684, 0.3870643040049456, 0.5503194688463372, 0.6905931968993442, 0.9614433712622572]"
"[0.9520549376136261, 0.9109318677904698, 0.8906982813217101, 0.8375117708914369, 0.7192109415651696, 0.45554136200423984, 0.11344417153279904, 0.0]","[0.3805247420289554, 0.4018796897670544, 0.39685922032258697, 0.2590553530048138, 0.0, 0.08691891057436489, 0.5477597872392252, 0.7462863325411995]","[0.07183737989233999, 0.03691651440859951, 0.02030580197791255, 0.0, 0.11975742375410767, 0.25038119587979235, 0.4645380160022822, 0.7186697142733024]","[0.9911025233404746, 0.973844810599542, 0.9379509552006151, 0.8651437604000451, 0.7794299265801278, 0.7121597077132079, 0.49397863876135395, 0.13399305387731053]","[0.0, 0.004774539338770649, 0.02350692871265849, 0.09644046546708858, 0.16174335318074803, 0.261663932822051, 0.3933358216129798, 0.6465561661672272]","[0.8443950250605754, 0.7789703624994123, 0.646737852007595, 0.39806805034535564, 0.12913879300842784, 0.0, 0.02240718271761718, 0.33733470508915164]","[0.5539063725807697, 0.49532211501552315, 0.4567254547745456, 0.2930547751645108, 0.10271343172393846, 0.0, 0.1353889740524706, 0.36853320472647344]","[0.9787067157706437, 0.9419498703048197, 0.9106011082871178, 0.7217596806049218, 0.3422633840367329, 0.06387701475427546, 0.0, 0.017858264265039135]","[0.1479468207284648, 0.13667038132696083, 0.12424416349837757, 0.047789999742967396, 0.0, 0.1197906343478819, 0.46430739170641777, 0.7110536423309719]","[0.7630311426609894, 0.6581806154908351, 0.6073025134314521, 0.5026355727786229, 0.4751038867400093, 0.24410167563059962, 0.0, 0.1469701141465531]","[0.9721795301934015, 0.9767812739299231, 0.9765030151804064, 0.970661844842249, 0.9792425528315127, 0.9990587894806112, 0.7859560824024928, 0.4968235292643615]","[0.7903380989220964, 0.773192817526648, 0.7695496199987485, 0.8253907713287792, 0.9917559666017692, 1.0, 0.5466500829906731, 0.27142642839870307]","[0.08971082727200003, 0.07674689583208305, 0.0791985843800981, 0.09730254136779, 0.07654193688320894, 0.041463498723987864, 0.24258528513132094, 0.49396192629186475]","[0.9732948877644245, 0.9858488025142322, 0.9910493225677147, 1.0, 0.9452453900209629, 0.8260958878303167, 0.5440083145922819, 0.22002690089321836]","[0.7166027207564671, 0.6522027119213492, 0.5306744887259301, 0.3369623652884238, 0.10673160913978508, 0.044312061649266314, 0.0, 0.19209182595327887]","[0.35910027266366173, 0.3234769655716768, 0.27970052838150966, 0.31123266000748157, 0.27754324231775923, 0.4187290935188146, 0.2139639644463741, 0.0]","[0.2885565425401057, 0.25484069922588604, 0.19335185152766585, 0.10535059563580963, 0.00023360029301302957, 0.0, 0.10923601863291112, 0.47393450950444227]","[0.9456645004923135, 0.8912080125184682, 0.7804100492534732, 0.5682074295748581, 0.33366748856961753, 0.2021417210442367, 0.05858101144047055, 0.0]","[0.380140725769835, 0.3792453287311926, 0.3707861715982136, 0.35740253470597916, 0.398886512455869, 0.46457071169545594, 0.6865866734747089, 1.0]","[0.9854719883149141, 0.9878885011298283, 0.9976945886996468, 1.0, 0.9690186711131773, 0.9369713578805922, 0.8206307619976811, 0.4748114181642255]","[0.6724214660043171, 0.6886415158477764, 0.700235057373585, 0.6394379075243685, 0.5509125751511007, 0.34576705424629567, 0.09543150778838404, 0.0]","[0.29100434304087325, 0.29569345833471, 0.31645529757667684, 0.3870643040049456, 0.5503194688463372, 0.6905931968993442, 0.9614433712622572, 1.0]"
"[0.9109318677904698, 0.8906982813217101, 0.8375117708914369, 0.7192109415651696, 0.45554136200423984, 0.11344417153279904, 0.0, 0.05754186511762467]","[0.4018796897670544, 0.39685922032258697, 0.2590553530048138, 0.0, 0.08691891057436489, 0.5477597872392252, 0.7462863325411995, 1.0]","[0.03691651440859951, 0.02030580197791255, 0.0, 0.11975742375410767, 0.25038119587979235, 0.4645380160022822, 0.7186697142733024, 1.0]","[0.973844810599542, 0.9379509552006151, 0.8651437604000451, 0.7794299265801278, 0.7121597077132079, 0.49397863876135395, 0.13399305387731053, 0.0]","[0.004774539338770649, 0.02350692871265849, 0.09644046546708858, 0.16174335318074803, 0.261663932822051, 0.3933358216129798, 0.6465561661672272, 1.0]","[0.7789703624994123, 0.646737852007595, 0.39806805034535564, 0.12913879300842784, 0.0, 0.02240718271761718, 0.33733470508915164, 0.6229580114337245]","[0.49532211501552315, 0.4567254547745456, 0.2930547751645108, 0.10271343172393846, 0.0, 0.1353889740524706, 0.36853320472647344, 0.8386074970092029]","[0.9419498703048197, 0.9106011082871178, 0.7217596806049218, 0.3422633840367329, 0.06387701475427546, 0.0, 0.017858264265039135, 0.3115328664792647]","[0.13667038132696083, 0.12424416349837757, 0.047789999742967396, 0.0, 0.1197906343478819, 0.46430739170641777, 0.7110536423309719, 1.0]","[0.6581806154908351, 0.6073025134314521, 0.5026355727786229, 0.4751038867400093, 0.24410167563059962, 0.0, 0.1469701141465531, 0.5830287503115664]","[0.9767812739299231, 0.9765030151804064, 0.970661844842249, 0.9792425528315127, 0.9990587894806112, 0.7859560824024928, 0.4968235292643615, 0.0]","[0.773192817526648, 0.7695496199987485, 0.8253907713287792, 0.9917559666017692, 1.0, 0.5466500829906731, 0.27142642839870307, 0.0]","[0.07674689583208305, 0.0791985843800981, 0.09730254136779, 0.07654193688320894, 0.041463498723987864, 0.24258528513132094, 0.49396192629186475, 1.0]","[0.9858488025142322, 0.9910493225677147, 1.0, 0.9452453900209629, 0.8260958878303167, 0.5440083145922819, 0.22002690089321836, 0.0]","[0.6522027119213492, 0.5306744887259301, 0.3369623652884238, 0.10673160913978508, 0.044312061649266314, 0.0, 0.19209182595327887, 0.6743783853765859]","[0.3234769655716768, 0.27970052838150966, 0.31123266000748157, 0.27754324231775923, 0.4187290935188146, 0.2139639644463741, 0.0, 0.8130587655587089]","[0.25484069922588604, 0.19335185152766585, 0.10535059563580963, 0.00023360029301302957, 0.0, 0.10923601863291112, 0.47393450950444227, 0.8954089972173822]","[0.8912080125184682, 0.7804100492534732, 0.5682074295748581, 0.33366748856961753, 0.2021417210442367, 0.05858101144047055, 0.0, 0.08621026603293143]","[0.3792453287311926, 0.3707861715982136, 0.35740253470597916, 0.398886512455869, 0.46457071169545594, 0.6865866734747089, 1.0, 0.9523816842901792]","[0.9878885011298283, 0.9976945886996468, 1.0, 0.9690186711131773, 0.9369713578805922, 0.8206307619976811, 0.4748114181642255, 0.0]","[0.6886415158477764, 0.700235057373585, 0.6394379075243685, 0.5509125751511007, 0.34576705424629567, 0.09543150778838404, 0.0, 0.1600417591017935]","[0.29569345833471, 0.31645529757667684, 0.3870643040049456, 0.5503194688463372, 0.6905931968993442, 0.9614433712622572, 1.0, 0.6750117271901583]"
"[0.8906982813217101, 0.8375117708914369, 0.7192109415651696, 0.45554136200423984, 0.11344417153279904, 0.0, 0.05754186511762467, 0.4476922861831388]","[0.39685922032258697, 0.2590553530048138, 0.0, 0.08691891057436489, 0.5477597872392252, 0.7462863325411995, 1.0, 0.6925290772479357]","[0.02030580197791255, 0.0, 0.11975742375410767, 0.25038119587979235, 0.4645380160022822, 0.7186697142733024, 1.0, 0.8123443821225665]","[0.9379509552006151, 0.8651437604000451, 0.7794299265801278, 0.7121597077132079, 0.49397863876135395, 0.13399305387731053, 0.0, 0.05491938952038137]","[0.02350692871265849, 0.09644046546708858, 0.16174335318074803, 0.261663932822051, 0.3933358216129798, 0.6465561661672272, 1.0, 0.850060709777007]","[0.646737852007595, 0.39806805034535564, 0.12913879300842784, 0.0, 0.02240718271761718, 0.33733470508915164, 0.6229580114337245, 1.0]","[0.4567254547745456, 0.2930547751645108, 0.10271343172393846, 0.0, 0.1353889740524706, 0.36853320472647344, 0.8386074970092029, 0.8772130900172097]","[0.9106011082871178, 0.7217596806049218, 0.3422633840367329, 0.06387701475427546, 0.0, 0.017858264265039135, 0.3115328664792647, 0.5706823782060776]","[0.12424416349837757, 0.047789999742967396, 0.0, 0.1197906343478819, 0.46430739170641777, 0.7110536423309719, 1.0, 0.7429436298934537]","[0.6073025134314521, 0.5026355727786229, 0.4751038867400093, 0.24410167563059962, 0.0, 0.1469701141465531, 0.5830287503115664, 0.9318460435313314]","[0.9765030151804064, 0.970661844842249, 0.9792425528315127, 0.9990587894806112, 0.7859560824024928, 0.4968235292643615, 0.0, 0.7000539574391802]","[0.7695496199987485, 0.8253907713287792, 0.9917559666017692, 1.0, 0.5466500829906731, 0.27142642839870307, 0.0, 0.5640767361689402]","[0.0791985843800981, 0.09730254136779, 0.07654193688320894, 0.041463498723987864, 0.24258528513132094, 0.49396192629186475, 1.0, 0.510867739302271]","[0.9910493225677147, 1.0, 0.9452453900209629, 0.8260958878303167, 0.5440083145922819, 0.22002690089321836, 0.0, 0.4992540013777183]","[0.5306744887259301, 0.3369623652884238, 0.10673160913978508, 0.044312061649266314, 0.0, 0.19209182595327887, 0.6743783853765859, 0.8754327274041773]","[0.27970052838150966, 0.31123266000748157, 0.27754324231775923, 0.4187290935188146, 0.2139639644463741, 0.0, 0.8130587655587089, 0.4623360813599114]","[0.19335185152766585, 0.10535059563580963, 0.00023360029301302957, 0.0, 0.10923601863291112, 0.47393450950444227, 0.8954089972173822, 1.0]","[0.7804100492534732, 0.5682074295748581, 0.33366748856961753, 0.2021417210442367, 0.05858101144047055, 0.0, 0.08621026603293143, 0.3678042829134613]","[0.3707861715982136, 0.35740253470597916, 0.398886512455869, 0.46457071169545594, 0.6865866734747089, 1.0, 0.9523816842901792, 0.0]","[0.9976945886996468, 1.0, 0.9690186711131773, 0.9369713578805922, 0.8206307619976811, 0.4748114181642255, 0.0, 0.20221231164702871]","[0.700235057373585, 0.6394379075243685, 0.5509125751511007, 0.34576705424629567, 0.09543150778838404, 0.0, 0.1600417591017935, 1.0]","[0.31645529757667684, 0.3870643040049456, 0.5503194688463372, 0.6905931968993442, 0.9614433712622572, 1.0, 0.6750117271901583, 0.0]"
"[0.8375117708914369, 0.7192109415651696, 0.45554136200423984, 0.11344417153279904, 0.0, 0.05754186511762467, 0.4476922861831388, 0.6816923729426813]","[0.2590553530048138, 0.0, 0.08691891057436489, 0.5477597872392252, 0.7462863325411995, 1.0, 0.6925290772479357, 0.8138861407099901]","[0.0, 0.11975742375410767, 0.25038119587979235, 0.4645380160022822, 0.7186697142733024, 1.0, 0.8123443821225665, 0.5810277943789238]","[0.8651437604000451, 0.7794299265801278, 0.7121597077132079, 0.49397863876135395, 0.13399305387731053, 0.0, 0.05491938952038137, 0.6823033885431085]","[0.09644046546708858, 0.16174335318074803, 0.261663932822051, 0.3933358216129798, 0.6465561661672272, 1.0, 0.850060709777007, 0.45658668758355864]","[0.39806805034535564, 0.12913879300842784, 0.0, 0.02240718271761718, 0.33733470508915164, 0.6229580114337245, 1.0, 0.9512089551409243]","[0.2930547751645108, 0.10271343172393846, 0.0, 0.1353889740524706, 0.36853320472647344, 0.8386074970092029, 0.8772130900172097, 1.0]","[0.7217596806049218, 0.3422633840367329, 0.06387701475427546, 0.0, 0.017858264265039135, 0.3115328664792647, 0.5706823782060776, 0.9872948991549293]","[0.047789999742967396, 0.0, 0.1197906343478819, 0.46430739170641777, 0.7110536423309719, 1.0, 0.7429436298934537, 0.6588964891292051]","[0.5026355727786229, 0.4751038867400093, 0.24410167563059962, 0.0, 0.1469701141465531, 0.5830287503115664, 0.9318460435313314, 0.9932301434148372]","[0.970661844842249, 0.9792425528315127, 0.9990587894806112, 0.7859560824024928, 0.4968235292643615, 0.0, 0.7000539574391802, 0.8079101413759514]","[0.8253907713287792, 0.9917559666017692, 1.0, 0.5466500829906731, 0.27142642839870307, 0.0, 0.5640767361689402, 0.6366359390214835]","[0.09730254136779, 0.07654193688320894, 0.041463498723987864, 0.24258528513132094, 0.49396192629186475, 1.0, 0.510867739302271, 0.558505650796936]","[1.0, 0.9452453900209629, 0.8260958878303167, 0.5440083145922819, 0.22002690089321836, 0.0, 0.4992540013777183, 0.7901897894679436]","[0.3369623652884238, 0.10673160913978508, 0.044312061649266314, 0.0, 0.19209182595327887, 0.6743783853765859, 0.8754327274041773, 1.0]","[0.31123266000748157, 0.27754324231775923, 0.4187290935188146, 0.2139639644463741, 0.0, 0.8130587655587089, 0.4623360813599114, 1.0]","[0.10535059563580963, 0.00023360029301302957, 0.0, 0.10923601863291112, 0.47393450950444227, 0.8954089972173822, 1.0, 0.6839052626191021]","[0.5682074295748581, 0.33366748856961753, 0.2021417210442367, 0.05858101144047055, 0.0, 0.08621026603293143, 0.3678042829134613, 0.7906484732029238]","[0.35740253470597916, 0.398886512455869, 0.46457071169545594, 0.6865866734747089, 1.0, 0.9523816842901792, 0.0, 0.24742213975110838]","[1.0, 0.9690186711131773, 0.9369713578805922, 0.8206307619976811, 0.4748114181642255, 0.0, 0.20221231164702871, 0.7536024212254996]","[0.6394379075243685, 0.5509125751511007, 0.34576705424629567, 0.09543150778838404, 0.0, 0.1600417591017935, 1.0, 0.8483848961188205]","[0.3870643040049456, 0.5503194688463372, 0.6905931968993442, 0.9614433712622572, 1.0, 0.6750117271901583, 0.0, 0.1473458673801343]"
"[0.7192109415651696, 0.45554136200423984, 0.11344417153279904, 0.0, 0.05754186511762467, 0.4476922861831388, 0.6816923729426813, 0.8968495671581291]","[0.0, 0.08691891057436489, 0.5477597872392252, 0.7462863325411995, 1.0, 0.6925290772479357, 0.8138861407099901, 0.2646955918516969]","[0.11975742375410767, 0.25038119587979235, 0.4645380160022822, 0.7186697142733024, 1.0, 0.8123443821225665, 0.5810277943789238, 0.3284309456257687]","[0.7794299265801278, 0.7121597077132079, 0.49397863876135395, 0.13399305387731053, 0.0, 0.05491938952038137, 0.6823033885431085, 0.8449151954718995]","[0.16174335318074803, 0.261663932822051, 0.3933358216129798, 0.6465561661672272, 1.0, 0.850060709777007, 0.45658668758355864, 0.19176493794087052]","[0.12913879300842784, 0.0, 0.02240718271761718, 0.33733470508915164, 0.6229580114337245, 1.0, 0.9512089551409243, 0.8902125143282056]","[0.10271343172393846, 0.0, 0.1353889740524706, 0.36853320472647344, 0.8386074970092029, 0.8772130900172097, 1.0, 0.6416455156193803]","[0.3422633840367329, 0.06387701475427546, 0.0, 0.017858264265039135, 0.3115328664792647, 0.5706823782060776, 0.9872948991549293, 0.8059357274999891]","[0.0, 0.1197906343478819, 0.46430739170641777, 0.7110536423309719, 1.0, 0.7429436298934537, 0.6588964891292051, 0.24992063647681995]","[0.4751038867400093, 0.24410167563059962, 0.0, 0.1469701141465531, 0.5830287503115664, 0.9318460435313314, 0.9932301434148372, 1.0]","[0.9792425528315127, 0.9990587894806112, 0.7859560824024928, 0.4968235292643615, 0.0, 0.7000539574391802, 0.8079101413759514, 0.9457566567642177]","[0.9917559666017692, 1.0, 0.5466500829906731, 0.27142642839870307, 0.0, 0.5640767361689402, 0.6366359390214835, 0.8485228501657327]","[0.07654193688320894, 0.041463498723987864, 0.24258528513132094, 0.49396192629186475, 1.0, 0.510867739302271, 0.558505650796936, 0.1249242318257654]","[0.9452453900209629, 0.8260958878303167, 0.5440083145922819, 0.22002690089321836, 0.0, 0.4992540013777183, 0.7901897894679436, 0.9221170856267402]","[0.10673160913978508, 0.044312061649266314, 0.0, 0.19209182595327887, 0.6743783853765859, 0.8754327274041773, 1.0, 0.8211893457945564]","[0.27754324231775923, 0.4187290935188146, 0.2139639644463741, 0.0, 0.8130587655587089, 0.4623360813599114, 1.0, 0.5785165414553]","[0.00023360029301302957, 0.0, 0.10923601863291112, 0.47393450950444227, 0.8954089972173822, 1.0, 0.6839052626191021, 0.4551455107924117]","[0.33366748856961753, 0.2021417210442367, 0.05858101144047055, 0.0, 0.08621026603293143, 0.3678042829134613, 0.7906484732029238, 0.8692330201131211]","[0.398886512455869, 0.46457071169545594, 0.6865866734747089, 1.0, 0.9523816842901792, 0.0, 0.24742213975110838, 0.3965387096608911]","[0.9690186711131773, 0.9369713578805922, 0.8206307619976811, 0.4748114181642255, 0.0, 0.20221231164702871, 0.7536024212254996, 0.9902892345946337]","[0.5509125751511007, 0.34576705424629567, 0.09543150778838404, 0.0, 0.1600417591017935, 1.0, 0.8483848961188205, 0.6418593536365308]","[0.5503194688463372, 0.6905931968993442, 0.9614433712622572, 1.0, 0.6750117271901583, 0.0, 0.1473458673801343, 0.2338459073854338]"
"[0.45554136200423984, 0.11344417153279904, 0.0, 0.05754186511762467, 0.4476922861831388, 0.6816923729426813, 0.8968495671581291, 0.5348402521194615]","[0.08691891057436489, 0.5477597872392252, 0.7462863325411995, 1.0, 0.6925290772479357, 0.8138861407099901, 0.2646955918516969, 0.16576871191759152]","[0.25038119587979235, 0.4645380160022822, 0.7186697142733024, 1.0, 0.8123443821225665, 0.5810277943789238, 0.3284309456257687, 0.4325690936911769]","[0.7121597077132079, 0.49397863876135395, 0.13399305387731053, 0.0, 0.05491938952038137, 0.6823033885431085, 0.8449151954718995, 0.7092721878933611]","[0.261663932822051, 0.3933358216129798, 0.6465561661672272, 1.0, 0.850060709777007, 0.45658668758355864, 0.19176493794087052, 0.2650214235654236]","[0.0, 0.02240718271761718, 0.33733470508915164, 0.6229580114337245, 1.0, 0.9512089551409243, 0.8902125143282056, 0.8452323207101604]","[0.0, 0.1353889740524706, 0.36853320472647344, 0.8386074970092029, 0.8772130900172097, 1.0, 0.6416455156193803, 0.29143467149488245]","[0.06387701475427546, 0.0, 0.017858264265039135, 0.3115328664792647, 0.5706823782060776, 0.9872948991549293, 0.8059357274999891, 0.23728344584437508]","[0.1197906343478819, 0.46430739170641777, 0.7110536423309719, 1.0, 0.7429436298934537, 0.6588964891292051, 0.24992063647681995, 0.26714952599738706]","[0.24410167563059962, 0.0, 0.1469701141465531, 0.5830287503115664, 0.9318460435313314, 0.9932301434148372, 1.0, 0.5892376321773846]","[0.9990587894806112, 0.7859560824024928, 0.4968235292643615, 0.0, 0.7000539574391802, 0.8079101413759514, 0.9457566567642177, 1.0]","[1.0, 0.5466500829906731, 0.27142642839870307, 0.0, 0.5640767361689402, 0.6366359390214835, 0.8485228501657327, 0.9283194704828284]","[0.041463498723987864, 0.24258528513132094, 0.49396192629186475, 1.0, 0.510867739302271, 0.558505650796936, 0.1249242318257654, 0.0]","[0.8260958878303167, 0.5440083145922819, 0.22002690089321836, 0.0, 0.4992540013777183, 0.7901897894679436, 0.9221170856267402, 0.8402951099732928]","[0.044312061649266314, 0.0, 0.19209182595327887, 0.6743783853765859, 0.8754327274041773, 1.0, 0.8211893457945564, 0.7363998882646577]","[0.4187290935188146, 0.2139639644463741, 0.0, 0.8130587655587089, 0.4623360813599114, 1.0, 0.5785165414553, 0.42158105964554077]","[0.0, 0.10923601863291112, 0.47393450950444227, 0.8954089972173822, 1.0, 0.6839052626191021, 0.4551455107924117, 0.48324306234501146]","[0.2021417210442367, 0.05858101144047055, 0.0, 0.08621026603293143, 0.3678042829134613, 0.7906484732029238, 0.8692330201131211, 0.7421952803767993]","[0.46457071169545594, 0.6865866734747089, 1.0, 0.9523816842901792, 0.0, 0.24742213975110838, 0.3965387096608911, 0.38704821441832643]","[0.9369713578805922, 0.8206307619976811, 0.4748114181642255, 0.0, 0.20221231164702871, 0.7536024212254996, 0.9902892345946337, 0.9225513676595766]","[0.34576705424629567, 0.09543150778838404, 0.0, 0.1600417591017935, 1.0, 0.8483848961188205, 0.6418593536365308, 0.6094343606254735]","[0.6905931968993442, 0.9614433712622572, 1.0, 0.6750117271901583, 0.0, 0.1473458673801343, 0.2338459073854338, 0.3104102127357325]"
