Timestamp,Feature,Value
0,AccelerationX,0.9922775173992526
1,AccelerationX,0.889512707087861
2,AccelerationX,0.88469908219595
3,AccelerationX,0.8987686798425573
4,AccelerationX,0.8914256688941518
5,AccelerationX,0.9010306613528505
6,AccelerationX,0.944930630094149
7,AccelerationX,1.096110462527979
0,AccelerationY,0.8221323076205692
1,AccelerationY,0.7742533497454371
2,AccelerationY,0.7756188720569377
3,AccelerationY,0.814750692949234
4,AccelerationY,0.9067441400785834
5,AccelerationY,0.9533911761464179
6,AccelerationY,0.9349744071169742
7,AccelerationY,1.0546616547462606
0,AccelerationZ,0.8332897943222345
1,AccelerationZ,0.7670113221796274
2,AccelerationZ,0.7494258320184205
3,AccelerationZ,0.8018650167919577
4,AccelerationZ,0.9133186793379268
5,AccelerationZ,0.9304718411006687
6,AccelerationZ,0.9350593248527964
7,AccelerationZ,1.0108814525061325
0,RRX,1.2536514397459804
1,RRX,1.1374538751814605
2,RRX,1.0359220903695556
3,RRX,0.9535996301283732
4,RRX,0.9079008217621548
5,RRX,0.8791101587242063
6,RRX,0.8844106516792959
7,RRX,1.0228943562220856
0,RRY,1.2478465355445372
1,RRY,1.1598374722656932
2,RRY,1.0895225777139281
3,RRY,1.0163065045256876
4,RRY,0.9971319251831915
5,RRY,0.9427864394825531
6,RRY,0.8750874811364487
7,RRY,0.9676759739119377
0,RRZ,1.1054432253733368
1,RRZ,0.9923143068385254
2,RRZ,0.9525086440450765
3,RRZ,0.9110716085190387
4,RRZ,0.8808861640032686
5,RRZ,0.9158495775674567
6,RRZ,0.9241607101361023
7,RRZ,0.9956926728233306
0,x+y+z,0.961984767892553
1,x+y+z,0.8688515163748246
2,x+y+z,0.8314549311529781
3,x+y+z,0.8104511743617845
4,x+y+z,0.8698589747436276
5,x+y+z,0.9457095904446149
6,x+y+z,1.0106606821934698
7,x+y+z,1.0962199018075314
0,x+y,1.2450523676971612
1,x+y,1.1311943947903007
2,x+y,1.107802362534449
3,x+y,1.0652897297977304
4,x+y,1.0308173924806538
5,x+y,1.0157342036833712
6,x+y,1.1106605838460502
7,x+y,1.210562091661484
0,y+z,0.9443984800051216
1,y+z,0.8716725180585481
2,y+z,0.8339784835601984
3,y+z,0.8504998684561973
4,y+z,0.9400046865598013
5,y+z,0.9709168506810061
6,y+z,0.9550139058702246
7,y+z,1.071357325947921
0,x+z,0.8951683286885228
1,x+z,0.7735073640530049
2,x+z,0.7501295227559605
3,x+z,0.720405311940993
4,x+z,0.7415096398447281
5,x+z,0.8462033613828113
6,x+z,0.9435083317796438
7,x+z,1.0724153278125417
0,x*y*z,1.2676806110162637
1,x*y*z,1.1744183411804021
2,x*y*z,1.1109326594121165
3,x*y*z,1.0549510622971476
4,x*y*z,1.0509553544223764
5,x*y*z,1.0103213979324086
6,x*y*z,0.9514084690308674
7,x*y*z,1.0423391565554037
0,x*y,1.0763448947063088
1,x*y,1.0254001304921705
2,x*y,1.0094208764662267
3,x*y,1.0336334087177763
4,x*y,1.106466668078082
5,x*y,1.0929467630865557
6,x*y,1.033764336917341
7,x*y,1.1616532789575114
0,y*z,0.9610197080189177
1,y*z,0.896109793583318
2,y*z,0.8725995063936306
3,y*z,0.8720688170681467
4,y*z,0.9896671664937801
5,y*z,0.9767616140075334
6,y*z,0.9597125697362701
7,y*z,1.0675736475371764
0,x*z,1.1657075566603377
1,x*z,1.0810216633645078
2,x*z,1.03734895004684
3,x*z,1.024420057948695
4,x*z,1.009668522774142
5,x*z,0.9320896911043544
6,x*z,0.8506649721049466
7,x*z,0.945159307021604
0,p+r+w,0.9874066688534776
1,p+r+w,0.9123670874978522
2,p+r+w,0.9558067044734421
3,p+r+w,0.9547202239021659
4,p+r+w,0.9884865999636906
5,p+r+w,1.0453520537696466
6,p+r+w,1.0712843858601364
7,p+r+w,1.1632750354470702
0,p+r,0.9777865655329953
1,p+r,0.9324008350083255
2,p+r,0.9407471427576727
3,p+r,0.9939209952196547
4,p+r,1.0187617092515566
5,p+r,1.0224121933990247
6,p+r,1.052594572746347
7,p+r,1.093067177597654
0,r+w,1.1357669116663671
1,r+w,1.0559654929301527
2,r+w,1.0233689065271905
3,r+w,1.013459080067325
4,r+w,1.0274502475582419
5,r+w,1.0247838498886581
6,r+w,0.9506964486854395
7,r+w,1.0489773193086542
0,p+w,1.1095474499217037
1,p+w,1.0012887861230697
2,p+w,0.9530966299424087
3,p+w,0.9015280006031484
4,p+w,0.8540238422534883
5,p+w,0.8514735242542608
6,p+w,0.8698789068460274
7,p+w,0.9760960324963077
0,p*r*w,0.7833583795012691
1,p*r*w,0.7704300980639629
2,p*r*w,0.8052850275531517
3,p*r*w,0.9390631718587581
4,p*r*w,0.9963937604070198
5,p*r*w,1.0359372983667243
6,p*r*w,1.0346017211298764
7,p*r*w,1.0835087769490817
0,p*r,0.654807313459938
1,p*r,0.6369487448769555
2,p*r,0.6640049905102856
3,p*r,0.6855566344613075
4,p*r,0.7755634758138653
5,p*r,0.8345007179713119
6,p*r,0.8999280997526636
7,p*r,1.097562495750701
0,r*w,0.8316738815495083
1,r*w,0.7770598872959478
2,r*w,0.8412045811593735
3,r*w,0.9215532050751308
4,r*w,0.928653579680684
5,r*w,1.0209075796743052
6,r*w,1.0690424014125506
7,r*w,1.1464035214865531
0,p*w,0.8486023573877034
1,p*w,0.8022277403309999
2,p*w,0.831735543358072
3,p*w,0.8844263808768543
4,p*w,0.9039687290145697
5,p*w,0.9737122987622331
6,p*w,0.9850126098566119
7,p*w,1.027556816798792
