AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[0.9986641260475109, 1.0, 0.9947354482521801, 0.9755112318966539, 0.9168258930981171, 0.7681588419263806, 0.47445243832155154, 0.14065783798073636]","[0.37275496232133065, 0.4053156430075973, 0.4152645957544025, 0.38645976324476156, 0.3253238743947721, 0.31256776843491973, 0.44104579470763444, 0.7764565218150061]","[0.08535628637783185, 0.16619841108589542, 0.2600201036591137, 0.31449204196244895, 0.39186854178005587, 0.4960179810527122, 0.4699002054178959, 0.19473533150394381]","[0.01587458482212337, 0.06935196310809609, 0.10314505336305317, 0.07705328134050272, 0.018545518003488515, 0.0, 0.3309725981141116, 0.7187950570361364]","[0.9924560776892138, 1.0, 0.9750949804153399, 0.9048124247715583, 0.7621174490641481, 0.5898289547682967, 0.29357831677439944, 0.0]","[0.5792911605187732, 0.5810660225004446, 0.5376674829000929, 0.4225473466666459, 0.24572499696863612, 0.05565153580230301, 0.0, 0.2548101385868907]","[0.7872987274346255, 0.9032210437262221, 1.0, 0.9985119392389608, 0.9319935614221746, 0.8154329676863289, 0.5084572653629861, 0.10544531836935866]","[0.9696589412577389, 0.9978069353462121, 1.0, 0.9547191654157196, 0.8384141282666551, 0.6600522074496139, 0.43341097680508756, 0.33078755349786576]","[0.23000516966555087, 0.34260150146481755, 0.4454177280363031, 0.47050777485545514, 0.4859152743654174, 0.5762333445135432, 0.6789463219327191, 0.7422331243977287]","[0.871006853008147, 0.9252123155392784, 0.9818862623903541, 1.0, 0.9970252045623454, 0.9292796811494043, 0.6434722841482489, 0.15776744674821724]","[0.7417403439502706, 0.7402077643032783, 0.7384980899383504, 0.7396340103673809, 0.7457276484003627, 0.7255766524262028, 0.6467117240959507, 0.5289209212226192]","[0.8150637121016229, 0.8136966031216575, 0.8133185685980618, 0.8155067347547256, 0.820474885862158, 0.8057721828233897, 0.7132931223817244, 0.3392572438817795]","[0.4094539534957254, 0.4458597084203567, 0.4867925017651864, 0.4801136648968946, 0.41646307542455174, 0.41575247012771976, 0.5296866711818479, 0.6014407493959553]","[1.0, 0.9964713130407348, 0.9907577914380812, 0.9796822776350206, 0.9383235893743327, 0.8305270188867122, 0.6797144613398072, 0.7553829232884031]","[0.6866968749338311, 0.7270782990308613, 0.70201824589119, 0.5594568087701813, 0.3035990243649281, 0.04280714365884781, 0.0, 0.19728072754363615]","[0.6352399796304873, 0.715808528781546, 0.7224134145043004, 0.5836514980353704, 0.2947514402735394, 0.013450113164132636, 0.0, 0.06421453498165838]","[0.940727958520788, 0.9474243024291582, 0.9006544854036043, 0.7734988832066553, 0.5527215211985917, 0.3015439599200504, 0.047806914243624946, 0.0]","[0.3550686626859734, 0.3903516465004874, 0.3833203022258273, 0.2908418941507451, 0.13703928259871775, 0.0, 0.17447122449901237, 0.5897209641433919]","[0.18305948374223976, 0.17894059356992142, 0.18732965759507358, 0.20726791351947801, 0.147601602950293, 0.0, 0.3786174782886208, 1.0]","[0.7794821928972276, 0.8052382319543527, 0.836462244796675, 0.8634895692668554, 0.926588462349607, 1.0, 0.8245655270191959, 0.2602634610310731]","[0.05276138566050357, 0.051052010588787944, 0.024521865673296853, 0.0, 0.08816282739496789, 0.40366816395688576, 0.9965915786428369, 1.0]","[0.4792833880475422, 0.47068954750241365, 0.4928401401661879, 0.601310578153831, 0.823917601943759, 1.0, 0.4160836319681063, 0.0]"
"[1.0, 0.9947354482521801, 0.9755112318966539, 0.9168258930981171, 0.7681588419263806, 0.47445243832155154, 0.14065783798073636, 0.0]","[0.4053156430075973, 0.4152645957544025, 0.38645976324476156, 0.3253238743947721, 0.31256776843491973, 0.44104579470763444, 0.7764565218150061, 1.0]","[0.16619841108589542, 0.2600201036591137, 0.31449204196244895, 0.39186854178005587, 0.4960179810527122, 0.4699002054178959, 0.19473533150394381, 0.15034956185542386]","[0.06935196310809609, 0.10314505336305317, 0.07705328134050272, 0.018545518003488515, 0.0, 0.3309725981141116, 0.7187950570361364, 0.9924671899697791]","[1.0, 0.9750949804153399, 0.9048124247715583, 0.7621174490641481, 0.5898289547682967, 0.29357831677439944, 0.0, 0.09464086470477795]","[0.5810660225004446, 0.5376674829000929, 0.4225473466666459, 0.24572499696863612, 0.05565153580230301, 0.0, 0.2548101385868907, 0.5286311328480281]","[0.9032210437262221, 1.0, 0.9985119392389608, 0.9319935614221746, 0.8154329676863289, 0.5084572653629861, 0.10544531836935866, 0.09069249711621095]","[0.9978069353462121, 1.0, 0.9547191654157196, 0.8384141282666551, 0.6600522074496139, 0.43341097680508756, 0.33078755349786576, 0.35479759574560504]","[0.34260150146481755, 0.4454177280363031, 0.47050777485545514, 0.4859152743654174, 0.5762333445135432, 0.6789463219327191, 0.7422331243977287, 0.9219937230514753]","[0.9252123155392784, 0.9818862623903541, 1.0, 0.9970252045623454, 0.9292796811494043, 0.6434722841482489, 0.15776744674821724, 0.0]","[0.7402077643032783, 0.7384980899383504, 0.7396340103673809, 0.7457276484003627, 0.7255766524262028, 0.6467117240959507, 0.5289209212226192, 0.3458115927522865]","[0.8136966031216575, 0.8133185685980618, 0.8155067347547256, 0.820474885862158, 0.8057721828233897, 0.7132931223817244, 0.3392572438817795, 0.0]","[0.4458597084203567, 0.4867925017651864, 0.4801136648968946, 0.41646307542455174, 0.41575247012771976, 0.5296866711818479, 0.6014407493959553, 0.6712033118834757]","[0.9964713130407348, 0.9907577914380812, 0.9796822776350206, 0.9383235893743327, 0.8305270188867122, 0.6797144613398072, 0.7553829232884031, 0.7410828827712401]","[0.7270782990308613, 0.70201824589119, 0.5594568087701813, 0.3035990243649281, 0.04280714365884781, 0.0, 0.19728072754363615, 0.6171564005942143]","[0.715808528781546, 0.7224134145043004, 0.5836514980353704, 0.2947514402735394, 0.013450113164132636, 0.0, 0.06421453498165838, 0.5601994635810789]","[0.9474243024291582, 0.9006544854036043, 0.7734988832066553, 0.5527215211985917, 0.3015439599200504, 0.047806914243624946, 0.0, 0.24927744304773752]","[0.3903516465004874, 0.3833203022258273, 0.2908418941507451, 0.13703928259871775, 0.0, 0.17447122449901237, 0.5897209641433919, 0.9446761469814638]","[0.17894059356992142, 0.18732965759507358, 0.20726791351947801, 0.147601602950293, 0.0, 0.3786174782886208, 1.0, 0.5184423755701817]","[0.8052382319543527, 0.836462244796675, 0.8634895692668554, 0.926588462349607, 1.0, 0.8245655270191959, 0.2602634610310731, 0.0]","[0.051052010588787944, 0.024521865673296853, 0.0, 0.08816282739496789, 0.40366816395688576, 0.9965915786428369, 1.0, 0.3007676690092839]","[0.47068954750241365, 0.4928401401661879, 0.601310578153831, 0.823917601943759, 1.0, 0.4160836319681063, 0.0, 0.2570381694599707]"
"[0.9947354482521801, 0.9755112318966539, 0.9168258930981171, 0.7681588419263806, 0.47445243832155154, 0.14065783798073636, 0.0, 0.06342885656282249]","[0.4152645957544025, 0.38645976324476156, 0.3253238743947721, 0.31256776843491973, 0.44104579470763444, 0.7764565218150061, 1.0, 0.8542213275048277]","[0.2600201036591137, 0.31449204196244895, 0.39186854178005587, 0.4960179810527122, 0.4699002054178959, 0.19473533150394381, 0.15034956185542386, 0.37654814095992106]","[0.10314505336305317, 0.07705328134050272, 0.018545518003488515, 0.0, 0.3309725981141116, 0.7187950570361364, 0.9924671899697791, 1.0]","[0.9750949804153399, 0.9048124247715583, 0.7621174490641481, 0.5898289547682967, 0.29357831677439944, 0.0, 0.09464086470477795, 0.38263181314797307]","[0.5376674829000929, 0.4225473466666459, 0.24572499696863612, 0.05565153580230301, 0.0, 0.2548101385868907, 0.5286311328480281, 0.6053209203785023]","[1.0, 0.9985119392389608, 0.9319935614221746, 0.8154329676863289, 0.5084572653629861, 0.10544531836935866, 0.09069249711621095, 0.25847120161258197]","[1.0, 0.9547191654157196, 0.8384141282666551, 0.6600522074496139, 0.43341097680508756, 0.33078755349786576, 0.35479759574560504, 0.30717636396093817]","[0.4454177280363031, 0.47050777485545514, 0.4859152743654174, 0.5762333445135432, 0.6789463219327191, 0.7422331243977287, 0.9219937230514753, 1.0]","[0.9818862623903541, 1.0, 0.9970252045623454, 0.9292796811494043, 0.6434722841482489, 0.15776744674821724, 0.0, 0.20627529956261842]","[0.7384980899383504, 0.7396340103673809, 0.7457276484003627, 0.7255766524262028, 0.6467117240959507, 0.5289209212226192, 0.3458115927522865, 0.0]","[0.8133185685980618, 0.8155067347547256, 0.820474885862158, 0.8057721828233897, 0.7132931223817244, 0.3392572438817795, 0.0, 0.13206187682521348]","[0.4867925017651864, 0.4801136648968946, 0.41646307542455174, 0.41575247012771976, 0.5296866711818479, 0.6014407493959553, 0.6712033118834757, 1.0]","[0.9907577914380812, 0.9796822776350206, 0.9383235893743327, 0.8305270188867122, 0.6797144613398072, 0.7553829232884031, 0.7410828827712401, 0.5003292159235954]","[0.70201824589119, 0.5594568087701813, 0.3035990243649281, 0.04280714365884781, 0.0, 0.19728072754363615, 0.6171564005942143, 0.8812406801538522]","[0.7224134145043004, 0.5836514980353704, 0.2947514402735394, 0.013450113164132636, 0.0, 0.06421453498165838, 0.5601994635810789, 1.0]","[0.9006544854036043, 0.7734988832066553, 0.5527215211985917, 0.3015439599200504, 0.047806914243624946, 0.0, 0.24927744304773752, 0.5107814863855795]","[0.3833203022258273, 0.2908418941507451, 0.13703928259871775, 0.0, 0.17447122449901237, 0.5897209641433919, 0.9446761469814638, 1.0]","[0.18732965759507358, 0.20726791351947801, 0.147601602950293, 0.0, 0.3786174782886208, 1.0, 0.5184423755701817, 0.35343001904808136]","[0.836462244796675, 0.8634895692668554, 0.926588462349607, 1.0, 0.8245655270191959, 0.2602634610310731, 0.0, 0.30097469840287827]","[0.024521865673296853, 0.0, 0.08816282739496789, 0.40366816395688576, 0.9965915786428369, 1.0, 0.3007676690092839, 0.19473570025133324]","[0.4928401401661879, 0.601310578153831, 0.823917601943759, 1.0, 0.4160836319681063, 0.0, 0.2570381694599707, 0.322826064092508]"
"[0.9755112318966539, 0.9168258930981171, 0.7681588419263806, 0.47445243832155154, 0.14065783798073636, 0.0, 0.06342885656282249, 0.2828575132387812]","[0.38645976324476156, 0.3253238743947721, 0.31256776843491973, 0.44104579470763444, 0.7764565218150061, 1.0, 0.8542213275048277, 0.17581309404353543]","[0.31449204196244895, 0.39186854178005587, 0.4960179810527122, 0.4699002054178959, 0.19473533150394381, 0.15034956185542386, 0.37654814095992106, 1.0]","[0.07705328134050272, 0.018545518003488515, 0.0, 0.3309725981141116, 0.7187950570361364, 0.9924671899697791, 1.0, 0.419281886242016]","[0.9048124247715583, 0.7621174490641481, 0.5898289547682967, 0.29357831677439944, 0.0, 0.09464086470477795, 0.38263181314797307, 0.6962650557783496]","[0.4225473466666459, 0.24572499696863612, 0.05565153580230301, 0.0, 0.2548101385868907, 0.5286311328480281, 0.6053209203785023, 1.0]","[0.9985119392389608, 0.9319935614221746, 0.8154329676863289, 0.5084572653629861, 0.10544531836935866, 0.09069249711621095, 0.25847120161258197, 0.5029514850187929]","[0.9547191654157196, 0.8384141282666551, 0.6600522074496139, 0.43341097680508756, 0.33078755349786576, 0.35479759574560504, 0.30717636396093817, 0.0]","[0.47050777485545514, 0.4859152743654174, 0.5762333445135432, 0.6789463219327191, 0.7422331243977287, 0.9219937230514753, 1.0, 0.9382077052232735]","[1.0, 0.9970252045623454, 0.9292796811494043, 0.6434722841482489, 0.15776744674821724, 0.0, 0.20627529956261842, 0.8156201926972885]","[0.7396340103673809, 0.7457276484003627, 0.7255766524262028, 0.6467117240959507, 0.5289209212226192, 0.3458115927522865, 0.0, 0.653319576292348]","[0.8155067347547256, 0.820474885862158, 0.8057721828233897, 0.7132931223817244, 0.3392572438817795, 0.0, 0.13206187682521348, 0.8106350868109256]","[0.4801136648968946, 0.41646307542455174, 0.41575247012771976, 0.5296866711818479, 0.6014407493959553, 0.6712033118834757, 1.0, 0.22507092663775632]","[0.9796822776350206, 0.9383235893743327, 0.8305270188867122, 0.6797144613398072, 0.7553829232884031, 0.7410828827712401, 0.5003292159235954, 0.0]","[0.5594568087701813, 0.3035990243649281, 0.04280714365884781, 0.0, 0.19728072754363615, 0.6171564005942143, 0.8812406801538522, 1.0]","[0.5836514980353704, 0.2947514402735394, 0.013450113164132636, 0.0, 0.06421453498165838, 0.5601994635810789, 1.0, 0.7157502141722064]","[0.7734988832066553, 0.5527215211985917, 0.3015439599200504, 0.047806914243624946, 0.0, 0.24927744304773752, 0.5107814863855795, 1.0]","[0.2908418941507451, 0.13703928259871775, 0.0, 0.17447122449901237, 0.5897209641433919, 0.9446761469814638, 1.0, 0.8895441684363967]","[0.20726791351947801, 0.147601602950293, 0.0, 0.3786174782886208, 1.0, 0.5184423755701817, 0.35343001904808136, 0.044484748366997874]","[0.8634895692668554, 0.926588462349607, 1.0, 0.8245655270191959, 0.2602634610310731, 0.0, 0.30097469840287827, 0.8761005193513293]","[0.0, 0.08816282739496789, 0.40366816395688576, 0.9965915786428369, 1.0, 0.3007676690092839, 0.19473570025133324, 0.14054674061936734]","[0.601310578153831, 0.823917601943759, 1.0, 0.4160836319681063, 0.0, 0.2570381694599707, 0.322826064092508, 0.4741972941774235]"
"[0.9168258930981171, 0.7681588419263806, 0.47445243832155154, 0.14065783798073636, 0.0, 0.06342885656282249, 0.2828575132387812, 0.5804470011528384]","[0.3253238743947721, 0.31256776843491973, 0.44104579470763444, 0.7764565218150061, 1.0, 0.8542213275048277, 0.17581309404353543, 0.0]","[0.39186854178005587, 0.4960179810527122, 0.4699002054178959, 0.19473533150394381, 0.15034956185542386, 0.37654814095992106, 1.0, 0.26069554952793084]","[0.018545518003488515, 0.0, 0.3309725981141116, 0.7187950570361364, 0.9924671899697791, 1.0, 0.419281886242016, 0.13024070175933822]","[0.7621174490641481, 0.5898289547682967, 0.29357831677439944, 0.0, 0.09464086470477795, 0.38263181314797307, 0.6962650557783496, 0.5707974069934684]","[0.24572499696863612, 0.05565153580230301, 0.0, 0.2548101385868907, 0.5286311328480281, 0.6053209203785023, 1.0, 0.9183402579648531]","[0.9319935614221746, 0.8154329676863289, 0.5084572653629861, 0.10544531836935866, 0.09069249711621095, 0.25847120161258197, 0.5029514850187929, 0.0]","[0.8384141282666551, 0.6600522074496139, 0.43341097680508756, 0.33078755349786576, 0.35479759574560504, 0.30717636396093817, 0.0, 0.19230081012064623]","[0.4859152743654174, 0.5762333445135432, 0.6789463219327191, 0.7422331243977287, 0.9219937230514753, 1.0, 0.9382077052232735, 0.030546270571258676]","[0.9970252045623454, 0.9292796811494043, 0.6434722841482489, 0.15776744674821724, 0.0, 0.20627529956261842, 0.8156201926972885, 0.6033274794887409]","[0.7457276484003627, 0.7255766524262028, 0.6467117240959507, 0.5289209212226192, 0.3458115927522865, 0.0, 0.653319576292348, 1.0]","[0.820474885862158, 0.8057721828233897, 0.7132931223817244, 0.3392572438817795, 0.0, 0.13206187682521348, 0.8106350868109256, 1.0]","[0.41646307542455174, 0.41575247012771976, 0.5296866711818479, 0.6014407493959553, 0.6712033118834757, 1.0, 0.22507092663775632, 0.0]","[0.9383235893743327, 0.8305270188867122, 0.6797144613398072, 0.7553829232884031, 0.7410828827712401, 0.5003292159235954, 0.0, 0.7579011524013178]","[0.3035990243649281, 0.04280714365884781, 0.0, 0.19728072754363615, 0.6171564005942143, 0.8812406801538522, 1.0, 0.6732165681043588]","[0.2947514402735394, 0.013450113164132636, 0.0, 0.06421453498165838, 0.5601994635810789, 1.0, 0.7157502141722064, 0.15381619178595157]","[0.5527215211985917, 0.3015439599200504, 0.047806914243624946, 0.0, 0.24927744304773752, 0.5107814863855795, 1.0, 0.8543727440757415]","[0.13703928259871775, 0.0, 0.17447122449901237, 0.5897209641433919, 0.9446761469814638, 1.0, 0.8895441684363967, 0.6513690988613697]","[0.147601602950293, 0.0, 0.3786174782886208, 1.0, 0.5184423755701817, 0.35343001904808136, 0.044484748366997874, 0.4026010353195432]","[0.926588462349607, 1.0, 0.8245655270191959, 0.2602634610310731, 0.0, 0.30097469840287827, 0.8761005193513293, 0.9959054678298364]","[0.08816282739496789, 0.40366816395688576, 0.9965915786428369, 1.0, 0.3007676690092839, 0.19473570025133324, 0.14054674061936734, 0.08286269462519277]","[0.823917601943759, 1.0, 0.4160836319681063, 0.0, 0.2570381694599707, 0.322826064092508, 0.4741972941774235, 0.03123069237934834]"
"[0.7681588419263806, 0.47445243832155154, 0.14065783798073636, 0.0, 0.06342885656282249, 0.2828575132387812, 0.5804470011528384, 0.6799760881365224]","[0.31256776843491973, 0.44104579470763444, 0.7764565218150061, 1.0, 0.8542213275048277, 0.17581309404353543, 0.0, 0.534581180703964]","[0.4960179810527122, 0.4699002054178959, 0.19473533150394381, 0.15034956185542386, 0.37654814095992106, 1.0, 0.26069554952793084, 0.2107083260398902]","[0.0, 0.3309725981141116, 0.7187950570361364, 0.9924671899697791, 1.0, 0.419281886242016, 0.13024070175933822, 0.29873043125118354]","[0.5898289547682967, 0.29357831677439944, 0.0, 0.09464086470477795, 0.38263181314797307, 0.6962650557783496, 0.5707974069934684, 0.5478253978218824]","[0.05565153580230301, 0.0, 0.2548101385868907, 0.5286311328480281, 0.6053209203785023, 1.0, 0.9183402579648531, 0.9082920579407331]","[0.8154329676863289, 0.5084572653629861, 0.10544531836935866, 0.09069249711621095, 0.25847120161258197, 0.5029514850187929, 0.0, 0.6310229620740049]","[0.6600522074496139, 0.43341097680508756, 0.33078755349786576, 0.35479759574560504, 0.30717636396093817, 0.0, 0.19230081012064623, 0.7420832632322133]","[0.5762333445135432, 0.6789463219327191, 0.7422331243977287, 0.9219937230514753, 1.0, 0.9382077052232735, 0.030546270571258676, 0.516006762996992]","[0.9292796811494043, 0.6434722841482489, 0.15776744674821724, 0.0, 0.20627529956261842, 0.8156201926972885, 0.6033274794887409, 0.6616179034847469]","[0.7255766524262028, 0.6467117240959507, 0.5289209212226192, 0.3458115927522865, 0.0, 0.653319576292348, 1.0, 0.5422830999477327]","[0.8057721828233897, 0.7132931223817244, 0.3392572438817795, 0.0, 0.13206187682521348, 0.8106350868109256, 1.0, 0.7403020265449045]","[0.41575247012771976, 0.5296866711818479, 0.6014407493959553, 0.6712033118834757, 1.0, 0.22507092663775632, 0.0, 0.8298460067610776]","[0.8305270188867122, 0.6797144613398072, 0.7553829232884031, 0.7410828827712401, 0.5003292159235954, 0.0, 0.7579011524013178, 0.9112144666945328]","[0.04280714365884781, 0.0, 0.19728072754363615, 0.6171564005942143, 0.8812406801538522, 1.0, 0.6732165681043588, 0.7562754222252697]","[0.013450113164132636, 0.0, 0.06421453498165838, 0.5601994635810789, 1.0, 0.7157502141722064, 0.15381619178595157, 0.33786683387046756]","[0.3015439599200504, 0.047806914243624946, 0.0, 0.24927744304773752, 0.5107814863855795, 1.0, 0.8543727440757415, 0.8309309078512157]","[0.0, 0.17447122449901237, 0.5897209641433919, 0.9446761469814638, 1.0, 0.8895441684363967, 0.6513690988613697, 0.7522314183155655]","[0.0, 0.3786174782886208, 1.0, 0.5184423755701817, 0.35343001904808136, 0.044484748366997874, 0.4026010353195432, 0.28210715978066014]","[1.0, 0.8245655270191959, 0.2602634610310731, 0.0, 0.30097469840287827, 0.8761005193513293, 0.9959054678298364, 0.8299871928239272]","[0.40366816395688576, 0.9965915786428369, 1.0, 0.3007676690092839, 0.19473570025133324, 0.14054674061936734, 0.08286269462519277, 0.02803711908073259]","[1.0, 0.4160836319681063, 0.0, 0.2570381694599707, 0.322826064092508, 0.4741972941774235, 0.03123069237934834, 0.27329515873920174]"
"[0.47445243832155154, 0.14065783798073636, 0.0, 0.06342885656282249, 0.2828575132387812, 0.5804470011528384, 0.6799760881365224, 0.5491035697629341]","[0.44104579470763444, 0.7764565218150061, 1.0, 0.8542213275048277, 0.17581309404353543, 0.0, 0.534581180703964, 0.5681713460880766]","[0.4699002054178959, 0.19473533150394381, 0.15034956185542386, 0.37654814095992106, 1.0, 0.26069554952793084, 0.2107083260398902, 0.08738723713121554]","[0.3309725981141116, 0.7187950570361364, 0.9924671899697791, 1.0, 0.419281886242016, 0.13024070175933822, 0.29873043125118354, 0.3038357295307553]","[0.29357831677439944, 0.0, 0.09464086470477795, 0.38263181314797307, 0.6962650557783496, 0.5707974069934684, 0.5478253978218824, 0.6337900802356969]","[0.0, 0.2548101385868907, 0.5286311328480281, 0.6053209203785023, 1.0, 0.9183402579648531, 0.9082920579407331, 0.8961282679758452]","[0.5084572653629861, 0.10544531836935866, 0.09069249711621095, 0.25847120161258197, 0.5029514850187929, 0.0, 0.6310229620740049, 0.3582883016798786]","[0.43341097680508756, 0.33078755349786576, 0.35479759574560504, 0.30717636396093817, 0.0, 0.19230081012064623, 0.7420832632322133, 0.6217385735840242]","[0.6789463219327191, 0.7422331243977287, 0.9219937230514753, 1.0, 0.9382077052232735, 0.030546270571258676, 0.516006762996992, 0.427561294459143]","[0.6434722841482489, 0.15776744674821724, 0.0, 0.20627529956261842, 0.8156201926972885, 0.6033274794887409, 0.6616179034847469, 0.4610686482453527]","[0.6467117240959507, 0.5289209212226192, 0.3458115927522865, 0.0, 0.653319576292348, 1.0, 0.5422830999477327, 0.6238110838363174]","[0.7132931223817244, 0.3392572438817795, 0.0, 0.13206187682521348, 0.8106350868109256, 1.0, 0.7403020265449045, 0.5956373018541703]","[0.5296866711818479, 0.6014407493959553, 0.6712033118834757, 1.0, 0.22507092663775632, 0.0, 0.8298460067610776, 0.5618391708111337]","[0.6797144613398072, 0.7553829232884031, 0.7410828827712401, 0.5003292159235954, 0.0, 0.7579011524013178, 0.9112144666945328, 0.8825834063328059]","[0.0, 0.19728072754363615, 0.6171564005942143, 0.8812406801538522, 1.0, 0.6732165681043588, 0.7562754222252697, 0.8140665511988766]","[0.0, 0.06421453498165838, 0.5601994635810789, 1.0, 0.7157502141722064, 0.15381619178595157, 0.33786683387046756, 0.4728485687495905]","[0.047806914243624946, 0.0, 0.24927744304773752, 0.5107814863855795, 1.0, 0.8543727440757415, 0.8309309078512157, 0.8859580730159641]","[0.17447122449901237, 0.5897209641433919, 0.9446761469814638, 1.0, 0.8895441684363967, 0.6513690988613697, 0.7522314183155655, 0.7474753760971555]","[0.3786174782886208, 1.0, 0.5184423755701817, 0.35343001904808136, 0.044484748366997874, 0.4026010353195432, 0.28210715978066014, 0.1566568552713838]","[0.8245655270191959, 0.2602634610310731, 0.0, 0.30097469840287827, 0.8761005193513293, 0.9959054678298364, 0.8299871928239272, 0.9014696949660984]","[0.9965915786428369, 1.0, 0.3007676690092839, 0.19473570025133324, 0.14054674061936734, 0.08286269462519277, 0.02803711908073259, 0.01429638521883973]","[0.4160836319681063, 0.0, 0.2570381694599707, 0.322826064092508, 0.4741972941774235, 0.03123069237934834, 0.27329515873920174, 0.3817257823825322]"
"[0.14065783798073636, 0.0, 0.06342885656282249, 0.2828575132387812, 0.5804470011528384, 0.6799760881365224, 0.5491035697629341, 0.6763195012697476]","[0.7764565218150061, 1.0, 0.8542213275048277, 0.17581309404353543, 0.0, 0.534581180703964, 0.5681713460880766, 0.22732821566900974]","[0.19473533150394381, 0.15034956185542386, 0.37654814095992106, 1.0, 0.26069554952793084, 0.2107083260398902, 0.08738723713121554, 0.0]","[0.7187950570361364, 0.9924671899697791, 1.0, 0.419281886242016, 0.13024070175933822, 0.29873043125118354, 0.3038357295307553, 0.12512544586655647]","[0.0, 0.09464086470477795, 0.38263181314797307, 0.6962650557783496, 0.5707974069934684, 0.5478253978218824, 0.6337900802356969, 0.6869708498832218]","[0.2548101385868907, 0.5286311328480281, 0.6053209203785023, 1.0, 0.9183402579648531, 0.9082920579407331, 0.8961282679758452, 0.8853494720187229]","[0.10544531836935866, 0.09069249711621095, 0.25847120161258197, 0.5029514850187929, 0.0, 0.6310229620740049, 0.3582883016798786, 0.10322407192895552]","[0.33078755349786576, 0.35479759574560504, 0.30717636396093817, 0.0, 0.19230081012064623, 0.7420832632322133, 0.6217385735840242, 0.4865782525691484]","[0.7422331243977287, 0.9219937230514753, 1.0, 0.9382077052232735, 0.030546270571258676, 0.516006762996992, 0.427561294459143, 0.0]","[0.15776744674821724, 0.0, 0.20627529956261842, 0.8156201926972885, 0.6033274794887409, 0.6616179034847469, 0.4610686482453527, 0.5201759809930029]","[0.5289209212226192, 0.3458115927522865, 0.0, 0.653319576292348, 1.0, 0.5422830999477327, 0.6238110838363174, 0.7236550770184956]","[0.3392572438817795, 0.0, 0.13206187682521348, 0.8106350868109256, 1.0, 0.7403020265449045, 0.5956373018541703, 0.8247218132843482]","[0.6014407493959553, 0.6712033118834757, 1.0, 0.22507092663775632, 0.0, 0.8298460067610776, 0.5618391708111337, 0.4301514594779831]","[0.7553829232884031, 0.7410828827712401, 0.5003292159235954, 0.0, 0.7579011524013178, 0.9112144666945328, 0.8825834063328059, 0.9210537065258532]","[0.19728072754363615, 0.6171564005942143, 0.8812406801538522, 1.0, 0.6732165681043588, 0.7562754222252697, 0.8140665511988766, 0.732951043065197]","[0.06421453498165838, 0.5601994635810789, 1.0, 0.7157502141722064, 0.15381619178595157, 0.33786683387046756, 0.4728485687495905, 0.32066146667952544]","[0.0, 0.24927744304773752, 0.5107814863855795, 1.0, 0.8543727440757415, 0.8309309078512157, 0.8859580730159641, 0.9178620532711672]","[0.5897209641433919, 0.9446761469814638, 1.0, 0.8895441684363967, 0.6513690988613697, 0.7522314183155655, 0.7474753760971555, 0.6263736875809452]","[1.0, 0.5184423755701817, 0.35343001904808136, 0.044484748366997874, 0.4026010353195432, 0.28210715978066014, 0.1566568552713838, 0.2075203179969119]","[0.2602634610310731, 0.0, 0.30097469840287827, 0.8761005193513293, 0.9959054678298364, 0.8299871928239272, 0.9014696949660984, 0.9876089241698335]","[1.0, 0.3007676690092839, 0.19473570025133324, 0.14054674061936734, 0.08286269462519277, 0.02803711908073259, 0.01429638521883973, 0.056537902746321464]","[0.0, 0.2570381694599707, 0.322826064092508, 0.4741972941774235, 0.03123069237934834, 0.27329515873920174, 0.3817257823825322, 0.2982887958303237]"
