AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[0.9032484953261061, 0.948013458065176, 0.9717018089234364, 0.9991885702181128, 1.0, 0.9767734116865535, 0.9494037328874457, 0.9324115246215091]","[0.5792872531867213, 0.6342937885573344, 0.7033456299715081, 0.7827787300958869, 0.8566405799941431, 0.7900827481327121, 0.8754966979638971, 0.9513169579824952]","[0.43908765552888834, 0.4592613640282984, 0.4672990146741196, 0.4796058373374959, 0.4637618768174653, 0.49351983024046264, 0.4936365119854556, 0.5114483502962353]","[0.5630286300647338, 0.42197867667690947, 0.29201524659996797, 0.25574601035254607, 0.19460767854052116, 0.04202015443183428, 0.0, 0.06840381853116506]","[0.9769550955441778, 0.9769407579374377, 0.9898342128476181, 0.9971483799468582, 1.0, 0.9946906056689391, 0.9781569837995393, 0.9322822669119962]","[0.4796212095809257, 0.5006609355642981, 0.53976858851155, 0.5822031317915624, 0.6264042381199791, 0.6438263380706527, 0.6384542967865455, 0.6098908851216929]","[0.8436138850595601, 0.901817750490698, 0.9413138570663595, 0.9883489019686076, 1.0, 0.9789531594467263, 0.9786714893249989, 0.9923522717224135]","[0.8449736181044951, 0.8972404722184021, 0.935500708426962, 0.9797124970929659, 1.0, 0.9627902776704994, 0.9624314374209597, 0.9682581577629132]","[0.5547160701630717, 0.5920586762884544, 0.6259524758440406, 0.6672407285442978, 0.6851383158144606, 0.6806376565929553, 0.7151831084094928, 0.7591484956444072]","[0.8821384171813247, 0.9378649315688496, 0.9658290136647432, 1.0, 0.9916396118863082, 0.9859790522334069, 0.9591051295221268, 0.9526755461209188]","[0.9677295689391847, 0.9894469399284329, 0.974952639963576, 0.9764153940161491, 0.9982266893194934, 0.9994163873734109, 1.0, 0.9890956660990425]","[0.8562279787552212, 0.9114648646579325, 0.9505562619021679, 0.9884030920644791, 1.0, 0.9569120145881673, 0.936369388402028, 0.924614369136025]","[0.2528400855963075, 0.26309250979768484, 0.2732010658426342, 0.31269716811668014, 0.3192391265481657, 0.35739979449681647, 0.4178420764211224, 0.4928250035428576]","[0.7588172133308412, 0.7671490651776315, 0.7593067265991618, 0.7627923499234334, 0.7668984031990137, 0.7679024159935252, 0.7628390134081867, 0.7539037285288884]","[1.0, 0.9286544612993084, 0.880184736199763, 0.8792331359096349, 0.8611685861126886, 0.7777136144546648, 0.7383505840004844, 0.7267897199447101]","[1.0, 0.9120327409797576, 0.8439878793215494, 0.8287436024416973, 0.7934943616164197, 0.6929960587800719, 0.6501304068227964, 0.6465486383092817]","[0.9385693013090369, 0.9444925860001679, 0.9665077353549284, 0.9847090446545749, 0.9996075609308941, 1.0, 0.9844013116772647, 0.937267653192642]","[0.44083209290790437, 0.3381615712503725, 0.2519125013744224, 0.24119084258080944, 0.21154410278236505, 0.09821460646944165, 0.06269886154621059, 0.10471521620728373]","[0.9809970968278675, 0.9735604797097138, 0.9450486736681989, 0.9130783052489851, 0.8555823112588289, 0.8135774236633833, 0.7852139177475475, 0.8126184818739638]","[0.3081283030401323, 0.2402873838699422, 0.1572446380634546, 0.12146634056611533, 0.0779246154257193, 0.002424454637772288, 0.0, 0.10780700254468928]","[0.29773573271345655, 0.3021898233165202, 0.32036947970609625, 0.34316838076059836, 0.37432331022210585, 0.39856403250592914, 0.41586677266242256, 0.4205920850292906]","[0.22591144698205773, 0.20095087415149826, 0.14747450072206253, 0.09379549381539246, 0.02316231428165059, 0.0, 0.021602850334073626, 0.11381135569692954]"
"[0.948013458065176, 0.9717018089234364, 0.9991885702181128, 1.0, 0.9767734116865535, 0.9494037328874457, 0.9324115246215091, 0.8809101321259359]","[0.6342937885573344, 0.7033456299715081, 0.7827787300958869, 0.8566405799941431, 0.7900827481327121, 0.8754966979638971, 0.9513169579824952, 0.9555888349549748]","[0.4592613640282984, 0.4672990146741196, 0.4796058373374959, 0.4637618768174653, 0.49351983024046264, 0.4936365119854556, 0.5114483502962353, 0.5223402261925931]","[0.42197867667690947, 0.29201524659996797, 0.25574601035254607, 0.19460767854052116, 0.04202015443183428, 0.0, 0.06840381853116506, 0.05591290417591935]","[0.9769407579374377, 0.9898342128476181, 0.9971483799468582, 1.0, 0.9946906056689391, 0.9781569837995393, 0.9322822669119962, 0.8710718424163688]","[0.5006609355642981, 0.53976858851155, 0.5822031317915624, 0.6264042381199791, 0.6438263380706527, 0.6384542967865455, 0.6098908851216929, 0.5242036960334033]","[0.901817750490698, 0.9413138570663595, 0.9883489019686076, 1.0, 0.9789531594467263, 0.9786714893249989, 0.9923522717224135, 0.9579185956533727]","[0.8972404722184021, 0.935500708426962, 0.9797124970929659, 1.0, 0.9627902776704994, 0.9624314374209597, 0.9682581577629132, 0.9260569780246782]","[0.5920586762884544, 0.6259524758440406, 0.6672407285442978, 0.6851383158144606, 0.6806376565929553, 0.7151831084094928, 0.7591484956444072, 0.7690523829122252]","[0.9378649315688496, 0.9658290136647432, 1.0, 0.9916396118863082, 0.9859790522334069, 0.9591051295221268, 0.9526755461209188, 0.9082764972675694]","[0.9894469399284329, 0.974952639963576, 0.9764153940161491, 0.9982266893194934, 0.9994163873734109, 1.0, 0.9890956660990425, 0.8977858014433754]","[0.9114648646579325, 0.9505562619021679, 0.9884030920644791, 1.0, 0.9569120145881673, 0.936369388402028, 0.924614369136025, 0.8580633216260549]","[0.26309250979768484, 0.2732010658426342, 0.31269716811668014, 0.3192391265481657, 0.35739979449681647, 0.4178420764211224, 0.4928250035428576, 0.5214221522805065]","[0.7671490651776315, 0.7593067265991618, 0.7627923499234334, 0.7668984031990137, 0.7679024159935252, 0.7628390134081867, 0.7539037285288884, 0.7209706229925454]","[0.9286544612993084, 0.880184736199763, 0.8792331359096349, 0.8611685861126886, 0.7777136144546648, 0.7383505840004844, 0.7267897199447101, 0.6403377457330838]","[0.9120327409797576, 0.8439878793215494, 0.8287436024416973, 0.7934943616164197, 0.6929960587800719, 0.6501304068227964, 0.6465486383092817, 0.5770680039604456]","[0.9444925860001679, 0.9665077353549284, 0.9847090446545749, 0.9996075609308941, 1.0, 0.9844013116772647, 0.937267653192642, 0.8609560450512792]","[0.3381615712503725, 0.2519125013744224, 0.24119084258080944, 0.21154410278236505, 0.09821460646944165, 0.06269886154621059, 0.10471521620728373, 0.05854798204399016]","[0.9735604797097138, 0.9450486736681989, 0.9130783052489851, 0.8555823112588289, 0.8135774236633833, 0.7852139177475475, 0.8126184818739638, 0.8037218864552912]","[0.2402873838699422, 0.1572446380634546, 0.12146634056611533, 0.0779246154257193, 0.002424454637772288, 0.0, 0.10780700254468928, 0.18750907735372122]","[0.3021898233165202, 0.32036947970609625, 0.34316838076059836, 0.37432331022210585, 0.39856403250592914, 0.41586677266242256, 0.4205920850292906, 0.4284730184052959]","[0.20095087415149826, 0.14747450072206253, 0.09379549381539246, 0.02316231428165059, 0.0, 0.021602850334073626, 0.11381135569692954, 0.25694081052341156]"
"[0.9717018089234364, 0.9991885702181128, 1.0, 0.9767734116865535, 0.9494037328874457, 0.9324115246215091, 0.8809101321259359, 0.8123975203612505]","[0.7033456299715081, 0.7827787300958869, 0.8566405799941431, 0.7900827481327121, 0.8754966979638971, 0.9513169579824952, 0.9555888349549748, 0.8815287257283199]","[0.4672990146741196, 0.4796058373374959, 0.4637618768174653, 0.49351983024046264, 0.4936365119854556, 0.5114483502962353, 0.5223402261925931, 0.5771477537061374]","[0.29201524659996797, 0.25574601035254607, 0.19460767854052116, 0.04202015443183428, 0.0, 0.06840381853116506, 0.05591290417591935, 0.03947692226805564]","[0.9898342128476181, 0.9971483799468582, 1.0, 0.9946906056689391, 0.9781569837995393, 0.9322822669119962, 0.8710718424163688, 0.7839252527214415]","[0.53976858851155, 0.5822031317915624, 0.6264042381199791, 0.6438263380706527, 0.6384542967865455, 0.6098908851216929, 0.5242036960334033, 0.42094383617829934]","[0.9413138570663595, 0.9883489019686076, 1.0, 0.9789531594467263, 0.9786714893249989, 0.9923522717224135, 0.9579185956533727, 0.9109492263992701]","[0.935500708426962, 0.9797124970929659, 1.0, 0.9627902776704994, 0.9624314374209597, 0.9682581577629132, 0.9260569780246782, 0.8487507529191093]","[0.6259524758440406, 0.6672407285442978, 0.6851383158144606, 0.6806376565929553, 0.7151831084094928, 0.7591484956444072, 0.7690523829122252, 0.7803390346282629]","[0.9658290136647432, 1.0, 0.9916396118863082, 0.9859790522334069, 0.9591051295221268, 0.9526755461209188, 0.9082764972675694, 0.8725193151530478]","[0.974952639963576, 0.9764153940161491, 0.9982266893194934, 0.9994163873734109, 1.0, 0.9890956660990425, 0.8977858014433754, 0.7857381450723743]","[0.9505562619021679, 0.9884030920644791, 1.0, 0.9569120145881673, 0.936369388402028, 0.924614369136025, 0.8580633216260549, 0.7679267424014771]","[0.2732010658426342, 0.31269716811668014, 0.3192391265481657, 0.35739979449681647, 0.4178420764211224, 0.4928250035428576, 0.5214221522805065, 0.5899966923749563]","[0.7593067265991618, 0.7627923499234334, 0.7668984031990137, 0.7679024159935252, 0.7628390134081867, 0.7539037285288884, 0.7209706229925454, 0.6750278933799682]","[0.880184736199763, 0.8792331359096349, 0.8611685861126886, 0.7777136144546648, 0.7383505840004844, 0.7267897199447101, 0.6403377457330838, 0.52350698113236]","[0.8439878793215494, 0.8287436024416973, 0.7934943616164197, 0.6929960587800719, 0.6501304068227964, 0.6465486383092817, 0.5770680039604456, 0.47898724621744343]","[0.9665077353549284, 0.9847090446545749, 0.9996075609308941, 1.0, 0.9844013116772647, 0.937267653192642, 0.8609560450512792, 0.7575948406717913]","[0.2519125013744224, 0.24119084258080944, 0.21154410278236505, 0.09821460646944165, 0.06269886154621059, 0.10471521620728373, 0.05854798204399016, 0.0018184068506273726]","[0.9450486736681989, 0.9130783052489851, 0.8555823112588289, 0.8135774236633833, 0.7852139177475475, 0.8126184818739638, 0.8037218864552912, 0.6501342510168839]","[0.1572446380634546, 0.12146634056611533, 0.0779246154257193, 0.002424454637772288, 0.0, 0.10780700254468928, 0.18750907735372122, 0.3112209780195961]","[0.32036947970609625, 0.34316838076059836, 0.37432331022210585, 0.39856403250592914, 0.41586677266242256, 0.4205920850292906, 0.4284730184052959, 0.49983040945910545]","[0.14747450072206253, 0.09379549381539246, 0.02316231428165059, 0.0, 0.021602850334073626, 0.11381135569692954, 0.25694081052341156, 0.4159118208294524]"
"[0.9991885702181128, 1.0, 0.9767734116865535, 0.9494037328874457, 0.9324115246215091, 0.8809101321259359, 0.8123975203612505, 0.719675272190618]","[0.7827787300958869, 0.8566405799941431, 0.7900827481327121, 0.8754966979638971, 0.9513169579824952, 0.9555888349549748, 0.8815287257283199, 0.9273708141973915]","[0.4796058373374959, 0.4637618768174653, 0.49351983024046264, 0.4936365119854556, 0.5114483502962353, 0.5223402261925931, 0.5771477537061374, 0.6204356364446288]","[0.25574601035254607, 0.19460767854052116, 0.04202015443183428, 0.0, 0.06840381853116506, 0.05591290417591935, 0.03947692226805564, 0.09872228334977641]","[0.9971483799468582, 1.0, 0.9946906056689391, 0.9781569837995393, 0.9322822669119962, 0.8710718424163688, 0.7839252527214415, 0.6834089364885007]","[0.5822031317915624, 0.6264042381199791, 0.6438263380706527, 0.6384542967865455, 0.6098908851216929, 0.5242036960334033, 0.42094383617829934, 0.30597599525901387]","[0.9883489019686076, 1.0, 0.9789531594467263, 0.9786714893249989, 0.9923522717224135, 0.9579185956533727, 0.9109492263992701, 0.8693682933379255]","[0.9797124970929659, 1.0, 0.9627902776704994, 0.9624314374209597, 0.9682581577629132, 0.9260569780246782, 0.8487507529191093, 0.7828986786325219]","[0.6672407285442978, 0.6851383158144606, 0.6806376565929553, 0.7151831084094928, 0.7591484956444072, 0.7690523829122252, 0.7803390346282629, 0.8313447833596485]","[1.0, 0.9916396118863082, 0.9859790522334069, 0.9591051295221268, 0.9526755461209188, 0.9082764972675694, 0.8725193151530478, 0.8062720422518753]","[0.9764153940161491, 0.9982266893194934, 0.9994163873734109, 1.0, 0.9890956660990425, 0.8977858014433754, 0.7857381450723743, 0.663677460896045]","[0.9884030920644791, 1.0, 0.9569120145881673, 0.936369388402028, 0.924614369136025, 0.8580633216260549, 0.7679267424014771, 0.6813550599113591]","[0.31269716811668014, 0.3192391265481657, 0.35739979449681647, 0.4178420764211224, 0.4928250035428576, 0.5214221522805065, 0.5899966923749563, 0.6387856642549686]","[0.7627923499234334, 0.7668984031990137, 0.7679024159935252, 0.7628390134081867, 0.7539037285288884, 0.7209706229925454, 0.6750278933799682, 0.6178797155609447]","[0.8792331359096349, 0.8611685861126886, 0.7777136144546648, 0.7383505840004844, 0.7267897199447101, 0.6403377457330838, 0.52350698113236, 0.4329500894548343]","[0.8287436024416973, 0.7934943616164197, 0.6929960587800719, 0.6501304068227964, 0.6465486383092817, 0.5770680039604456, 0.47898724621744343, 0.4146233101065396]","[0.9847090446545749, 0.9996075609308941, 1.0, 0.9844013116772647, 0.937267653192642, 0.8609560450512792, 0.7575948406717913, 0.6395424988480266]","[0.24119084258080944, 0.21154410278236505, 0.09821460646944165, 0.06269886154621059, 0.10471521620728373, 0.05854798204399016, 0.0018184068506273726, 0.0]","[0.9130783052489851, 0.8555823112588289, 0.8135774236633833, 0.7852139177475475, 0.8126184818739638, 0.8037218864552912, 0.6501342510168839, 0.40825748943858103]","[0.12146634056611533, 0.0779246154257193, 0.002424454637772288, 0.0, 0.10780700254468928, 0.18750907735372122, 0.3112209780195961, 0.4981035756534821]","[0.34316838076059836, 0.37432331022210585, 0.39856403250592914, 0.41586677266242256, 0.4205920850292906, 0.4284730184052959, 0.49983040945910545, 0.6144855298671786]","[0.09379549381539246, 0.02316231428165059, 0.0, 0.021602850334073626, 0.11381135569692954, 0.25694081052341156, 0.4159118208294524, 0.6495387140750121]"
"[1.0, 0.9767734116865535, 0.9494037328874457, 0.9324115246215091, 0.8809101321259359, 0.8123975203612505, 0.719675272190618, 0.5821336926922881]","[0.8566405799941431, 0.7900827481327121, 0.8754966979638971, 0.9513169579824952, 0.9555888349549748, 0.8815287257283199, 0.9273708141973915, 1.0]","[0.4637618768174653, 0.49351983024046264, 0.4936365119854556, 0.5114483502962353, 0.5223402261925931, 0.5771477537061374, 0.6204356364446288, 0.6601094032423351]","[0.19460767854052116, 0.04202015443183428, 0.0, 0.06840381853116506, 0.05591290417591935, 0.03947692226805564, 0.09872228334977641, 0.21041517796495907]","[1.0, 0.9946906056689391, 0.9781569837995393, 0.9322822669119962, 0.8710718424163688, 0.7839252527214415, 0.6834089364885007, 0.5655813403111469]","[0.6264042381199791, 0.6438263380706527, 0.6384542967865455, 0.6098908851216929, 0.5242036960334033, 0.42094383617829934, 0.30597599525901387, 0.16741381706934189]","[1.0, 0.9789531594467263, 0.9786714893249989, 0.9923522717224135, 0.9579185956533727, 0.9109492263992701, 0.8693682933379255, 0.7974971098452167]","[1.0, 0.9627902776704994, 0.9624314374209597, 0.9682581577629132, 0.9260569780246782, 0.8487507529191093, 0.7828986786325219, 0.6864440294407623]","[0.6851383158144606, 0.6806376565929553, 0.7151831084094928, 0.7591484956444072, 0.7690523829122252, 0.7803390346282629, 0.8313447833596485, 0.8904425800831962]","[0.9916396118863082, 0.9859790522334069, 0.9591051295221268, 0.9526755461209188, 0.9082764972675694, 0.8725193151530478, 0.8062720422518753, 0.6938175516444196]","[0.9982266893194934, 0.9994163873734109, 1.0, 0.9890956660990425, 0.8977858014433754, 0.7857381450723743, 0.663677460896045, 0.39600697080749486]","[1.0, 0.9569120145881673, 0.936369388402028, 0.924614369136025, 0.8580633216260549, 0.7679267424014771, 0.6813550599113591, 0.438270945131501]","[0.3192391265481657, 0.35739979449681647, 0.4178420764211224, 0.4928250035428576, 0.5214221522805065, 0.5899966923749563, 0.6387856642549686, 0.7966453756787005]","[0.7668984031990137, 0.7679024159935252, 0.7628390134081867, 0.7539037285288884, 0.7209706229925454, 0.6750278933799682, 0.6178797155609447, 0.5440122239345975]","[0.8611685861126886, 0.7777136144546648, 0.7383505840004844, 0.7267897199447101, 0.6403377457330838, 0.52350698113236, 0.4329500894548343, 0.3488988035235807]","[0.7934943616164197, 0.6929960587800719, 0.6501304068227964, 0.6465486383092817, 0.5770680039604456, 0.47898724621744343, 0.4146233101065396, 0.3655160183073696]","[0.9996075609308941, 1.0, 0.9844013116772647, 0.937267653192642, 0.8609560450512792, 0.7575948406717913, 0.6395424988480266, 0.5000883919142398]","[0.21154410278236505, 0.09821460646944165, 0.06269886154621059, 0.10471521620728373, 0.05854798204399016, 0.0018184068506273726, 0.0, 0.029679686040718065]","[0.8555823112588289, 0.8135774236633833, 0.7852139177475475, 0.8126184818739638, 0.8037218864552912, 0.6501342510168839, 0.40825748943858103, 0.3741010217247057]","[0.0779246154257193, 0.002424454637772288, 0.0, 0.10780700254468928, 0.18750907735372122, 0.3112209780195961, 0.4981035756534821, 0.5691482341078273]","[0.37432331022210585, 0.39856403250592914, 0.41586677266242256, 0.4205920850292906, 0.4284730184052959, 0.49983040945910545, 0.6144855298671786, 0.7613463829091041]","[0.02316231428165059, 0.0, 0.021602850334073626, 0.11381135569692954, 0.25694081052341156, 0.4159118208294524, 0.6495387140750121, 0.7090889987518562]"
"[0.9767734116865535, 0.9494037328874457, 0.9324115246215091, 0.8809101321259359, 0.8123975203612505, 0.719675272190618, 0.5821336926922881, 0.4266924895832565]","[0.7900827481327121, 0.8754966979638971, 0.9513169579824952, 0.9555888349549748, 0.8815287257283199, 0.9273708141973915, 1.0, 0.9566399959608486]","[0.49351983024046264, 0.4936365119854556, 0.5114483502962353, 0.5223402261925931, 0.5771477537061374, 0.6204356364446288, 0.6601094032423351, 0.7039355729458842]","[0.04202015443183428, 0.0, 0.06840381853116506, 0.05591290417591935, 0.03947692226805564, 0.09872228334977641, 0.21041517796495907, 0.270504728496784]","[0.9946906056689391, 0.9781569837995393, 0.9322822669119962, 0.8710718424163688, 0.7839252527214415, 0.6834089364885007, 0.5655813403111469, 0.4335101861485296]","[0.6438263380706527, 0.6384542967865455, 0.6098908851216929, 0.5242036960334033, 0.42094383617829934, 0.30597599525901387, 0.16741381706934189, 0.09115417947090551]","[0.9789531594467263, 0.9786714893249989, 0.9923522717224135, 0.9579185956533727, 0.9109492263992701, 0.8693682933379255, 0.7974971098452167, 0.684667375159661]","[0.9627902776704994, 0.9624314374209597, 0.9682581577629132, 0.9260569780246782, 0.8487507529191093, 0.7828986786325219, 0.6864440294407623, 0.5441416598545106]","[0.6806376565929553, 0.7151831084094928, 0.7591484956444072, 0.7690523829122252, 0.7803390346282629, 0.8313447833596485, 0.8904425800831962, 0.9058665840451458]","[0.9859790522334069, 0.9591051295221268, 0.9526755461209188, 0.9082764972675694, 0.8725193151530478, 0.8062720422518753, 0.6938175516444196, 0.5661439786102145]","[0.9994163873734109, 1.0, 0.9890956660990425, 0.8977858014433754, 0.7857381450723743, 0.663677460896045, 0.39600697080749486, 0.099568397578058]","[0.9569120145881673, 0.936369388402028, 0.924614369136025, 0.8580633216260549, 0.7679267424014771, 0.6813550599113591, 0.438270945131501, 0.2111397785408738]","[0.35739979449681647, 0.4178420764211224, 0.4928250035428576, 0.5214221522805065, 0.5899966923749563, 0.6387856642549686, 0.7966453756787005, 0.8888773029760745]","[0.7679024159935252, 0.7628390134081867, 0.7539037285288884, 0.7209706229925454, 0.6750278933799682, 0.6178797155609447, 0.5440122239345975, 0.4536392084617033]","[0.7777136144546648, 0.7383505840004844, 0.7267897199447101, 0.6403377457330838, 0.52350698113236, 0.4329500894548343, 0.3488988035235807, 0.2421628027074248]","[0.6929960587800719, 0.6501304068227964, 0.6465486383092817, 0.5770680039604456, 0.47898724621744343, 0.4146233101065396, 0.3655160183073696, 0.26987547577298066]","[1.0, 0.9844013116772647, 0.937267653192642, 0.8609560450512792, 0.7575948406717913, 0.6395424988480266, 0.5000883919142398, 0.36607786469785547]","[0.09821460646944165, 0.06269886154621059, 0.10471521620728373, 0.05854798204399016, 0.0018184068506273726, 0.0, 0.029679686040718065, 0.04492090179791299]","[0.8135774236633833, 0.7852139177475475, 0.8126184818739638, 0.8037218864552912, 0.6501342510168839, 0.40825748943858103, 0.3741010217247057, 0.6602164335193029]","[0.002424454637772288, 0.0, 0.10780700254468928, 0.18750907735372122, 0.3112209780195961, 0.4981035756534821, 0.5691482341078273, 0.5640364365858623]","[0.39856403250592914, 0.41586677266242256, 0.4205920850292906, 0.4284730184052959, 0.49983040945910545, 0.6144855298671786, 0.7613463829091041, 0.8336688175394288]","[0.0, 0.021602850334073626, 0.11381135569692954, 0.25694081052341156, 0.4159118208294524, 0.6495387140750121, 0.7090889987518562, 0.6779751657838838]"
"[0.9494037328874457, 0.9324115246215091, 0.8809101321259359, 0.8123975203612505, 0.719675272190618, 0.5821336926922881, 0.4266924895832565, 0.296028333314225]","[0.8754966979638971, 0.9513169579824952, 0.9555888349549748, 0.8815287257283199, 0.9273708141973915, 1.0, 0.9566399959608486, 0.8417550107916479]","[0.4936365119854556, 0.5114483502962353, 0.5223402261925931, 0.5771477537061374, 0.6204356364446288, 0.6601094032423351, 0.7039355729458842, 0.7524687951317652]","[0.0, 0.06840381853116506, 0.05591290417591935, 0.03947692226805564, 0.09872228334977641, 0.21041517796495907, 0.270504728496784, 0.3596730740734178]","[0.9781569837995393, 0.9322822669119962, 0.8710718424163688, 0.7839252527214415, 0.6834089364885007, 0.5655813403111469, 0.4335101861485296, 0.30941434292571107]","[0.6384542967865455, 0.6098908851216929, 0.5242036960334033, 0.42094383617829934, 0.30597599525901387, 0.16741381706934189, 0.09115417947090551, 0.041450626460172356]","[0.9786714893249989, 0.9923522717224135, 0.9579185956533727, 0.9109492263992701, 0.8693682933379255, 0.7974971098452167, 0.684667375159661, 0.5757559906058166]","[0.9624314374209597, 0.9682581577629132, 0.9260569780246782, 0.8487507529191093, 0.7828986786325219, 0.6864440294407623, 0.5441416598545106, 0.40370307229883723]","[0.7151831084094928, 0.7591484956444072, 0.7690523829122252, 0.7803390346282629, 0.8313447833596485, 0.8904425800831962, 0.9058665840451458, 0.8959711876184367]","[0.9591051295221268, 0.9526755461209188, 0.9082764972675694, 0.8725193151530478, 0.8062720422518753, 0.6938175516444196, 0.5661439786102145, 0.46558078552137255]","[1.0, 0.9890956660990425, 0.8977858014433754, 0.7857381450723743, 0.663677460896045, 0.39600697080749486, 0.099568397578058, 0.2936774645827147]","[0.936369388402028, 0.924614369136025, 0.8580633216260549, 0.7679267424014771, 0.6813550599113591, 0.438270945131501, 0.2111397785408738, 0.32069032548429505]","[0.4178420764211224, 0.4928250035428576, 0.5214221522805065, 0.5899966923749563, 0.6387856642549686, 0.7966453756787005, 0.8888773029760745, 0.8661256700327714]","[0.7628390134081867, 0.7539037285288884, 0.7209706229925454, 0.6750278933799682, 0.6178797155609447, 0.5440122239345975, 0.4536392084617033, 0.37478870744292603]","[0.7383505840004844, 0.7267897199447101, 0.6403377457330838, 0.52350698113236, 0.4329500894548343, 0.3488988035235807, 0.2421628027074248, 0.1663070177566855]","[0.6501304068227964, 0.6465486383092817, 0.5770680039604456, 0.47898724621744343, 0.4146233101065396, 0.3655160183073696, 0.26987547577298066, 0.2004052791729048]","[0.9844013116772647, 0.937267653192642, 0.8609560450512792, 0.7575948406717913, 0.6395424988480266, 0.5000883919142398, 0.36607786469785547, 0.24635234594864383]","[0.06269886154621059, 0.10471521620728373, 0.05854798204399016, 0.0018184068506273726, 0.0, 0.029679686040718065, 0.04492090179791299, 0.09441118763950604]","[0.7852139177475475, 0.8126184818739638, 0.8037218864552912, 0.6501342510168839, 0.40825748943858103, 0.3741010217247057, 0.6602164335193029, 0.6867110458255772]","[0.0, 0.10780700254468928, 0.18750907735372122, 0.3112209780195961, 0.4981035756534821, 0.5691482341078273, 0.5640364365858623, 0.611664813612827]","[0.41586677266242256, 0.4205920850292906, 0.4284730184052959, 0.49983040945910545, 0.6144855298671786, 0.7613463829091041, 0.8336688175394288, 0.8609279368942755]","[0.021602850334073626, 0.11381135569692954, 0.25694081052341156, 0.4159118208294524, 0.6495387140750121, 0.7090889987518562, 0.6779751657838838, 0.7428312199187851]"
"[0.9324115246215091, 0.8809101321259359, 0.8123975203612505, 0.719675272190618, 0.5821336926922881, 0.4266924895832565, 0.296028333314225, 0.1759254630157628]","[0.9513169579824952, 0.9555888349549748, 0.8815287257283199, 0.9273708141973915, 1.0, 0.9566399959608486, 0.8417550107916479, 0.7865654485180072]","[0.5114483502962353, 0.5223402261925931, 0.5771477537061374, 0.6204356364446288, 0.6601094032423351, 0.7039355729458842, 0.7524687951317652, 0.8097779753273086]","[0.06840381853116506, 0.05591290417591935, 0.03947692226805564, 0.09872228334977641, 0.21041517796495907, 0.270504728496784, 0.3596730740734178, 0.4862964551914846]","[0.9322822669119962, 0.8710718424163688, 0.7839252527214415, 0.6834089364885007, 0.5655813403111469, 0.4335101861485296, 0.30941434292571107, 0.19686700285697675]","[0.6098908851216929, 0.5242036960334033, 0.42094383617829934, 0.30597599525901387, 0.16741381706934189, 0.09115417947090551, 0.041450626460172356, 0.0]","[0.9923522717224135, 0.9579185956533727, 0.9109492263992701, 0.8693682933379255, 0.7974971098452167, 0.684667375159661, 0.5757559906058166, 0.49402938518913153]","[0.9682581577629132, 0.9260569780246782, 0.8487507529191093, 0.7828986786325219, 0.6864440294407623, 0.5441416598545106, 0.40370307229883723, 0.2879957359038071]","[0.7591484956444072, 0.7690523829122252, 0.7803390346282629, 0.8313447833596485, 0.8904425800831962, 0.9058665840451458, 0.8959711876184367, 0.9167495289540218]","[0.9526755461209188, 0.9082764972675694, 0.8725193151530478, 0.8062720422518753, 0.6938175516444196, 0.5661439786102145, 0.46558078552137255, 0.3804868360322496]","[0.9890956660990425, 0.8977858014433754, 0.7857381450723743, 0.663677460896045, 0.39600697080749486, 0.099568397578058, 0.2936774645827147, 0.28144446512582677]","[0.924614369136025, 0.8580633216260549, 0.7679267424014771, 0.6813550599113591, 0.438270945131501, 0.2111397785408738, 0.32069032548429505, 0.3693284225794189]","[0.4928250035428576, 0.5214221522805065, 0.5899966923749563, 0.6387856642549686, 0.7966453756787005, 0.8888773029760745, 0.8661256700327714, 1.0]","[0.7539037285288884, 0.7209706229925454, 0.6750278933799682, 0.6178797155609447, 0.5440122239345975, 0.4536392084617033, 0.37478870744292603, 0.3028819229979996]","[0.7267897199447101, 0.6403377457330838, 0.52350698113236, 0.4329500894548343, 0.3488988035235807, 0.2421628027074248, 0.1663070177566855, 0.12372429204744247]","[0.6465486383092817, 0.5770680039604456, 0.47898724621744343, 0.4146233101065396, 0.3655160183073696, 0.26987547577298066, 0.2004052791729048, 0.16592979351351203]","[0.937267653192642, 0.8609560450512792, 0.7575948406717913, 0.6395424988480266, 0.5000883919142398, 0.36607786469785547, 0.24635234594864383, 0.13879196115901085]","[0.10471521620728373, 0.05854798204399016, 0.0018184068506273726, 0.0, 0.029679686040718065, 0.04492090179791299, 0.09441118763950604, 0.1770258665705386]","[0.8126184818739638, 0.8037218864552912, 0.6501342510168839, 0.40825748943858103, 0.3741010217247057, 0.6602164335193029, 0.6867110458255772, 0.5868714533236572]","[0.10780700254468928, 0.18750907735372122, 0.3112209780195961, 0.4981035756534821, 0.5691482341078273, 0.5640364365858623, 0.611664813612827, 0.6728664250657768]","[0.4205920850292906, 0.4284730184052959, 0.49983040945910545, 0.6144855298671786, 0.7613463829091041, 0.8336688175394288, 0.8609279368942755, 0.896807883758299]","[0.11381135569692954, 0.25694081052341156, 0.4159118208294524, 0.6495387140750121, 0.7090889987518562, 0.6779751657838838, 0.7428312199187851, 0.7757146867124698]"
