AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[0.9656888689786444, 0.9474455151612204, 0.9071691632096079, 0.8360616910571486, 0.8520080667070457, 1.0, 0.7707424166077337, 0.5819268651803667]","[0.5896502994415359, 0.5846309808944326, 0.5493427096044714, 0.44653455444793844, 0.23527572298598393, 0.0, 0.0028860216450238754, 0.0595360571671501]","[0.05595870844328932, 0.050850677181877385, 0.04266506355949609, 0.0, 0.03350542421832661, 0.12639307216786141, 0.2653423508094551, 0.2654155227776949]","[0.9684378615618305, 0.9812082542287573, 0.9916078733711828, 1.0, 0.9285531959424118, 0.85909496077333, 0.6594168307354678, 0.3342291600908356]","[0.38655899280286776, 0.3625194376468939, 0.39510139494049185, 0.5341140178102816, 0.6502749135385667, 0.49816397295841053, 0.40333242732489366, 0.5621506115399634]","[0.9741906908399407, 0.9985716846102632, 1.0, 0.9456657608266235, 0.8062870335627401, 0.5292862357993047, 0.2577926355372607, 0.039377378473169806]","[0.3256531772895844, 0.315921566623846, 0.2808512978777625, 0.17974130973440047, 0.06796143348070006, 0.0, 0.01903096270223066, 0.012197360426985467]","[0.6660747259775551, 0.6545452982920654, 0.6049406074725674, 0.4769508859419695, 0.27188249200003467, 0.09005735561773093, 0.01098026603942199, 0.0]","[0.3159819908865758, 0.31062471208813774, 0.28591871635366534, 0.2051462433799505, 0.09580204836130071, 0.0, 0.06664758783843819, 0.10020203483244566]","[0.27715219338103675, 0.2657469768450652, 0.2432018035391684, 0.17935653035440385, 0.21407254850277663, 0.3504364531450098, 0.38021645020896333, 0.307287451659926]","[0.725917409300841, 0.7259476961421452, 0.726238980451371, 0.7201240413145122, 0.7247944862639013, 0.7144600187037652, 0.9210830157852943, 1.0]","[0.5660995248746022, 0.5642643277832016, 0.5689160974993533, 0.6139581085677359, 0.6790704026708931, 0.5325795639805634, 0.8615603355809457, 1.0]","[0.18216649527022247, 0.18155628068785315, 0.18100151279719665, 0.18758354846261008, 0.18225906083798554, 0.10066480387083462, 0.0, 0.03040038547274544]","[0.9720974425038833, 0.971979797107171, 0.9749500356567729, 1.0, 0.9790746545876712, 0.9859856862500882, 0.791962412511737, 0.6525986888490805]","[0.9660841413223688, 0.9812201485719934, 0.9944558035711475, 1.0, 0.9107138573817117, 0.7126886505283161, 0.4421684660865963, 0.1586772615208766]","[0.9325032304703089, 0.9383850034886441, 0.9565213804253982, 1.0, 0.9624018118551427, 0.8580310930739689, 0.6456155642180582, 0.37984152162449664]","[0.9672976972643978, 0.9840112083513222, 0.9998628190259798, 1.0, 0.8951490078828678, 0.5192001291995385, 0.17446510877184904, 0.0]","[0.9756286461539291, 0.9932397997208737, 1.0, 0.9826253287500035, 0.8828722353761459, 0.7276751835654961, 0.49745416751650984, 0.21457796433725457]","[0.2076768090363087, 0.20376310368716571, 0.20592273963011373, 0.2154825894616183, 0.21530522932918303, 0.21477919966068665, 0.15247178238184325, 0.22409635032570183]","[0.5039888985632297, 0.49684652004667706, 0.5010566251910369, 0.5264445621997478, 0.5340032932960593, 0.5339418124568347, 0.5847639109132361, 0.5336473682762954]","[0.5620816716954217, 0.5455015681545639, 0.5625471538196789, 0.6199199485728168, 0.6117305360035615, 0.667372231721347, 0.826408451837056, 0.6564516911282808]","[0.022404098980790706, 0.030891518430536443, 0.034360412015167166, 0.025157674122938612, 0.0, 0.012471481727562335, 0.20189783100188086, 0.6612157103849684]"
"[0.9474455151612204, 0.9071691632096079, 0.8360616910571486, 0.8520080667070457, 1.0, 0.7707424166077337, 0.5819268651803667, 0.3418705846040731]","[0.5846309808944326, 0.5493427096044714, 0.44653455444793844, 0.23527572298598393, 0.0, 0.0028860216450238754, 0.0595360571671501, 0.3263826009172754]","[0.050850677181877385, 0.04266506355949609, 0.0, 0.03350542421832661, 0.12639307216786141, 0.2653423508094551, 0.2654155227776949, 0.33406671990752457]","[0.9812082542287573, 0.9916078733711828, 1.0, 0.9285531959424118, 0.85909496077333, 0.6594168307354678, 0.3342291600908356, 0.0]","[0.3625194376468939, 0.39510139494049185, 0.5341140178102816, 0.6502749135385667, 0.49816397295841053, 0.40333242732489366, 0.5621506115399634, 1.0]","[0.9985716846102632, 1.0, 0.9456657608266235, 0.8062870335627401, 0.5292862357993047, 0.2577926355372607, 0.039377378473169806, 0.0]","[0.315921566623846, 0.2808512978777625, 0.17974130973440047, 0.06796143348070006, 0.0, 0.01903096270223066, 0.012197360426985467, 0.1589157927990839]","[0.6545452982920654, 0.6049406074725674, 0.4769508859419695, 0.27188249200003467, 0.09005735561773093, 0.01098026603942199, 0.0, 0.18041102388659316]","[0.31062471208813774, 0.28591871635366534, 0.2051462433799505, 0.09580204836130071, 0.0, 0.06664758783843819, 0.10020203483244566, 0.2901822336992428]","[0.2657469768450652, 0.2432018035391684, 0.17935653035440385, 0.21407254850277663, 0.3504364531450098, 0.38021645020896333, 0.307287451659926, 0.27298863807523094]","[0.7259476961421452, 0.726238980451371, 0.7201240413145122, 0.7247944862639013, 0.7144600187037652, 0.9210830157852943, 1.0, 0.8217636973525828]","[0.5642643277832016, 0.5689160974993533, 0.6139581085677359, 0.6790704026708931, 0.5325795639805634, 0.8615603355809457, 1.0, 0.7358361744647492]","[0.18155628068785315, 0.18100151279719665, 0.18758354846261008, 0.18225906083798554, 0.10066480387083462, 0.0, 0.03040038547274544, 0.12477489315051145]","[0.971979797107171, 0.9749500356567729, 1.0, 0.9790746545876712, 0.9859856862500882, 0.791962412511737, 0.6525986888490805, 0.3592972294735818]","[0.9812201485719934, 0.9944558035711475, 1.0, 0.9107138573817117, 0.7126886505283161, 0.4421684660865963, 0.1586772615208766, 0.0]","[0.9383850034886441, 0.9565213804253982, 1.0, 0.9624018118551427, 0.8580310930739689, 0.6456155642180582, 0.37984152162449664, 0.1769474321669255]","[0.9840112083513222, 0.9998628190259798, 1.0, 0.8951490078828678, 0.5192001291995385, 0.17446510877184904, 0.0, 0.1475994186698658]","[0.9932397997208737, 1.0, 0.9826253287500035, 0.8828722353761459, 0.7276751835654961, 0.49745416751650984, 0.21457796433725457, 0.0]","[0.20376310368716571, 0.20592273963011373, 0.2154825894616183, 0.21530522932918303, 0.21477919966068665, 0.15247178238184325, 0.22409635032570183, 1.0]","[0.49684652004667706, 0.5010566251910369, 0.5264445621997478, 0.5340032932960593, 0.5339418124568347, 0.5847639109132361, 0.5336473682762954, 0.0]","[0.5455015681545639, 0.5625471538196789, 0.6199199485728168, 0.6117305360035615, 0.667372231721347, 0.826408451837056, 0.6564516911282808, 0.0]","[0.030891518430536443, 0.034360412015167166, 0.025157674122938612, 0.0, 0.012471481727562335, 0.20189783100188086, 0.6612157103849684, 1.0]"
"[0.9071691632096079, 0.8360616910571486, 0.8520080667070457, 1.0, 0.7707424166077337, 0.5819268651803667, 0.3418705846040731, 0.38869271569014374]","[0.5493427096044714, 0.44653455444793844, 0.23527572298598393, 0.0, 0.0028860216450238754, 0.0595360571671501, 0.3263826009172754, 0.714555791850258]","[0.04266506355949609, 0.0, 0.03350542421832661, 0.12639307216786141, 0.2653423508094551, 0.2654155227776949, 0.33406671990752457, 0.5262555868642337]","[0.9916078733711828, 1.0, 0.9285531959424118, 0.85909496077333, 0.6594168307354678, 0.3342291600908356, 0.0, 0.11466816405228658]","[0.39510139494049185, 0.5341140178102816, 0.6502749135385667, 0.49816397295841053, 0.40333242732489366, 0.5621506115399634, 1.0, 0.37872078050699237]","[1.0, 0.9456657608266235, 0.8062870335627401, 0.5292862357993047, 0.2577926355372607, 0.039377378473169806, 0.0, 0.15972681848231027]","[0.2808512978777625, 0.17974130973440047, 0.06796143348070006, 0.0, 0.01903096270223066, 0.012197360426985467, 0.1589157927990839, 0.506433674128192]","[0.6049406074725674, 0.4769508859419695, 0.27188249200003467, 0.09005735561773093, 0.01098026603942199, 0.0, 0.18041102388659316, 0.5844224547532665]","[0.28591871635366534, 0.2051462433799505, 0.09580204836130071, 0.0, 0.06664758783843819, 0.10020203483244566, 0.2901822336992428, 0.6096893899822132]","[0.2432018035391684, 0.17935653035440385, 0.21407254850277663, 0.3504364531450098, 0.38021645020896333, 0.307287451659926, 0.27298863807523094, 0.4548620817020046]","[0.726238980451371, 0.7201240413145122, 0.7247944862639013, 0.7144600187037652, 0.9210830157852943, 1.0, 0.8217636973525828, 0.0]","[0.5689160974993533, 0.6139581085677359, 0.6790704026708931, 0.5325795639805634, 0.8615603355809457, 1.0, 0.7358361744647492, 0.0]","[0.18100151279719665, 0.18758354846261008, 0.18225906083798554, 0.10066480387083462, 0.0, 0.03040038547274544, 0.12477489315051145, 0.3765914493223104]","[0.9749500356567729, 1.0, 0.9790746545876712, 0.9859856862500882, 0.791962412511737, 0.6525986888490805, 0.3592972294735818, 0.0]","[0.9944558035711475, 1.0, 0.9107138573817117, 0.7126886505283161, 0.4421684660865963, 0.1586772615208766, 0.0, 0.03706761559006686]","[0.9565213804253982, 1.0, 0.9624018118551427, 0.8580310930739689, 0.6456155642180582, 0.37984152162449664, 0.1769474321669255, 0.12602023971724938]","[0.9998628190259798, 1.0, 0.8951490078828678, 0.5192001291995385, 0.17446510877184904, 0.0, 0.1475994186698658, 0.054162870780479225]","[1.0, 0.9826253287500035, 0.8828722353761459, 0.7276751835654961, 0.49745416751650984, 0.21457796433725457, 0.0, 0.13377859275650963]","[0.20592273963011373, 0.2154825894616183, 0.21530522932918303, 0.21477919966068665, 0.15247178238184325, 0.22409635032570183, 1.0, 0.19548487853414945]","[0.5010566251910369, 0.5264445621997478, 0.5340032932960593, 0.5339418124568347, 0.5847639109132361, 0.5336473682762954, 0.0, 0.6607845942618868]","[0.5625471538196789, 0.6199199485728168, 0.6117305360035615, 0.667372231721347, 0.826408451837056, 0.6564516911282808, 0.0, 0.7601014983673107]","[0.034360412015167166, 0.025157674122938612, 0.0, 0.012471481727562335, 0.20189783100188086, 0.6612157103849684, 1.0, 0.5450728154276331]"
"[0.8360616910571486, 0.8520080667070457, 1.0, 0.7707424166077337, 0.5819268651803667, 0.3418705846040731, 0.38869271569014374, 0.7545674749140759]","[0.44653455444793844, 0.23527572298598393, 0.0, 0.0028860216450238754, 0.0595360571671501, 0.3263826009172754, 0.714555791850258, 1.0]","[0.0, 0.03350542421832661, 0.12639307216786141, 0.2653423508094551, 0.2654155227776949, 0.33406671990752457, 0.5262555868642337, 1.0]","[1.0, 0.9285531959424118, 0.85909496077333, 0.6594168307354678, 0.3342291600908356, 0.0, 0.11466816405228658, 0.08377249629656132]","[0.5341140178102816, 0.6502749135385667, 0.49816397295841053, 0.40333242732489366, 0.5621506115399634, 1.0, 0.37872078050699237, 0.0]","[0.9456657608266235, 0.8062870335627401, 0.5292862357993047, 0.2577926355372607, 0.039377378473169806, 0.0, 0.15972681848231027, 0.3008830154626302]","[0.17974130973440047, 0.06796143348070006, 0.0, 0.01903096270223066, 0.012197360426985467, 0.1589157927990839, 0.506433674128192, 1.0]","[0.4769508859419695, 0.27188249200003467, 0.09005735561773093, 0.01098026603942199, 0.0, 0.18041102388659316, 0.5844224547532665, 1.0]","[0.2051462433799505, 0.09580204836130071, 0.0, 0.06664758783843819, 0.10020203483244566, 0.2901822336992428, 0.6096893899822132, 1.0]","[0.17935653035440385, 0.21407254850277663, 0.3504364531450098, 0.38021645020896333, 0.307287451659926, 0.27298863807523094, 0.4548620817020046, 1.0]","[0.7201240413145122, 0.7247944862639013, 0.7144600187037652, 0.9210830157852943, 1.0, 0.8217636973525828, 0.0, 0.2358988190129487]","[0.6139581085677359, 0.6790704026708931, 0.5325795639805634, 0.8615603355809457, 1.0, 0.7358361744647492, 0.0, 0.3893549442090385]","[0.18758354846261008, 0.18225906083798554, 0.10066480387083462, 0.0, 0.03040038547274544, 0.12477489315051145, 0.3765914493223104, 1.0]","[1.0, 0.9790746545876712, 0.9859856862500882, 0.791962412511737, 0.6525986888490805, 0.3592972294735818, 0.0, 0.39389246530694444]","[1.0, 0.9107138573817117, 0.7126886505283161, 0.4421684660865963, 0.1586772615208766, 0.0, 0.03706761559006686, 0.013595286956895042]","[1.0, 0.9624018118551427, 0.8580310930739689, 0.6456155642180582, 0.37984152162449664, 0.1769474321669255, 0.12602023971724938, 0.0]","[1.0, 0.8951490078828678, 0.5192001291995385, 0.17446510877184904, 0.0, 0.1475994186698658, 0.054162870780479225, 0.04611581530826215]","[0.9826253287500035, 0.8828722353761459, 0.7276751835654961, 0.49745416751650984, 0.21457796433725457, 0.0, 0.13377859275650963, 0.17351932311162374]","[0.2154825894616183, 0.21530522932918303, 0.21477919966068665, 0.15247178238184325, 0.22409635032570183, 1.0, 0.19548487853414945, 0.0]","[0.5264445621997478, 0.5340032932960593, 0.5339418124568347, 0.5847639109132361, 0.5336473682762954, 0.0, 0.6607845942618868, 1.0]","[0.6199199485728168, 0.6117305360035615, 0.667372231721347, 0.826408451837056, 0.6564516911282808, 0.0, 0.7601014983673107, 1.0]","[0.025157674122938612, 0.0, 0.012471481727562335, 0.20189783100188086, 0.6612157103849684, 1.0, 0.5450728154276331, 0.3833231362731386]"
"[0.8520080667070457, 1.0, 0.7707424166077337, 0.5819268651803667, 0.3418705846040731, 0.38869271569014374, 0.7545674749140759, 0.2732722293899132]","[0.23527572298598393, 0.0, 0.0028860216450238754, 0.0595360571671501, 0.3263826009172754, 0.714555791850258, 1.0, 0.7544183135011883]","[0.03350542421832661, 0.12639307216786141, 0.2653423508094551, 0.2654155227776949, 0.33406671990752457, 0.5262555868642337, 1.0, 0.4171434191284124]","[0.9285531959424118, 0.85909496077333, 0.6594168307354678, 0.3342291600908356, 0.0, 0.11466816405228658, 0.08377249629656132, 0.07559378815722897]","[0.6502749135385667, 0.49816397295841053, 0.40333242732489366, 0.5621506115399634, 1.0, 0.37872078050699237, 0.0, 0.43028122969594124]","[0.8062870335627401, 0.5292862357993047, 0.2577926355372607, 0.039377378473169806, 0.0, 0.15972681848231027, 0.3008830154626302, 0.44001655198020523]","[0.06796143348070006, 0.0, 0.01903096270223066, 0.012197360426985467, 0.1589157927990839, 0.506433674128192, 1.0, 0.45170638988019723]","[0.27188249200003467, 0.09005735561773093, 0.01098026603942199, 0.0, 0.18041102388659316, 0.5844224547532665, 1.0, 0.5829313207474747]","[0.09580204836130071, 0.0, 0.06664758783843819, 0.10020203483244566, 0.2901822336992428, 0.6096893899822132, 1.0, 0.5822812294980155]","[0.21407254850277663, 0.3504364531450098, 0.38021645020896333, 0.307287451659926, 0.27298863807523094, 0.4548620817020046, 1.0, 0.3172638034529002]","[0.7247944862639013, 0.7144600187037652, 0.9210830157852943, 1.0, 0.8217636973525828, 0.0, 0.2358988190129487, 0.42615075381568746]","[0.6790704026708931, 0.5325795639805634, 0.8615603355809457, 1.0, 0.7358361744647492, 0.0, 0.3893549442090385, 0.19343815987490096]","[0.18225906083798554, 0.10066480387083462, 0.0, 0.03040038547274544, 0.12477489315051145, 0.3765914493223104, 1.0, 0.31157136400722]","[0.9790746545876712, 0.9859856862500882, 0.791962412511737, 0.6525986888490805, 0.3592972294735818, 0.0, 0.39389246530694444, 0.3209947777541471]","[0.9107138573817117, 0.7126886505283161, 0.4421684660865963, 0.1586772615208766, 0.0, 0.03706761559006686, 0.013595286956895042, 0.14774465086237973]","[0.9624018118551427, 0.8580310930739689, 0.6456155642180582, 0.37984152162449664, 0.1769474321669255, 0.12602023971724938, 0.0, 0.10239528123893434]","[0.8951490078828678, 0.5192001291995385, 0.17446510877184904, 0.0, 0.1475994186698658, 0.054162870780479225, 0.04611581530826215, 0.38978930545601914]","[0.8828722353761459, 0.7276751835654961, 0.49745416751650984, 0.21457796433725457, 0.0, 0.13377859275650963, 0.17351932311162374, 0.22591111449943663]","[0.21530522932918303, 0.21477919966068665, 0.15247178238184325, 0.22409635032570183, 1.0, 0.19548487853414945, 0.0, 0.15754233601835124]","[0.5340032932960593, 0.5339418124568347, 0.5847639109132361, 0.5336473682762954, 0.0, 0.6607845942618868, 1.0, 0.6704049982809293]","[0.6117305360035615, 0.667372231721347, 0.826408451837056, 0.6564516911282808, 0.0, 0.7601014983673107, 1.0, 0.7266680333926331]","[0.0, 0.012471481727562335, 0.20189783100188086, 0.6612157103849684, 1.0, 0.5450728154276331, 0.3833231362731386, 0.2912232784711984]"
"[1.0, 0.7707424166077337, 0.5819268651803667, 0.3418705846040731, 0.38869271569014374, 0.7545674749140759, 0.2732722293899132, 0.0]","[0.0, 0.0028860216450238754, 0.0595360571671501, 0.3263826009172754, 0.714555791850258, 1.0, 0.7544183135011883, 0.6304704762036312]","[0.12639307216786141, 0.2653423508094551, 0.2654155227776949, 0.33406671990752457, 0.5262555868642337, 1.0, 0.4171434191284124, 0.16880176151815338]","[0.85909496077333, 0.6594168307354678, 0.3342291600908356, 0.0, 0.11466816405228658, 0.08377249629656132, 0.07559378815722897, 0.3227746918762031]","[0.49816397295841053, 0.40333242732489366, 0.5621506115399634, 1.0, 0.37872078050699237, 0.0, 0.43028122969594124, 0.5677907571665148]","[0.5292862357993047, 0.2577926355372607, 0.039377378473169806, 0.0, 0.15972681848231027, 0.3008830154626302, 0.44001655198020523, 0.525554958536476]","[0.0, 0.01903096270223066, 0.012197360426985467, 0.1589157927990839, 0.506433674128192, 1.0, 0.45170638988019723, 0.1907832064282587]","[0.09005735561773093, 0.01098026603942199, 0.0, 0.18041102388659316, 0.5844224547532665, 1.0, 0.5829313207474747, 0.36157982342942807]","[0.0, 0.06664758783843819, 0.10020203483244566, 0.2901822336992428, 0.6096893899822132, 1.0, 0.5822812294980155, 0.3928743884457968]","[0.3504364531450098, 0.38021645020896333, 0.307287451659926, 0.27298863807523094, 0.4548620817020046, 1.0, 0.3172638034529002, 0.0]","[0.7144600187037652, 0.9210830157852943, 1.0, 0.8217636973525828, 0.0, 0.2358988190129487, 0.42615075381568746, 0.6618176256454521]","[0.5325795639805634, 0.8615603355809457, 1.0, 0.7358361744647492, 0.0, 0.3893549442090385, 0.19343815987490096, 0.35957508558738055]","[0.10066480387083462, 0.0, 0.03040038547274544, 0.12477489315051145, 0.3765914493223104, 1.0, 0.31157136400722, 0.20256481002657267]","[0.9859856862500882, 0.791962412511737, 0.6525986888490805, 0.3592972294735818, 0.0, 0.39389246530694444, 0.3209947777541471, 0.6205984393443088]","[0.7126886505283161, 0.4421684660865963, 0.1586772615208766, 0.0, 0.03706761559006686, 0.013595286956895042, 0.14774465086237973, 0.372605465120482]","[0.8580310930739689, 0.6456155642180582, 0.37984152162449664, 0.1769474321669255, 0.12602023971724938, 0.0, 0.10239528123893434, 0.37049159609641263]","[0.5192001291995385, 0.17446510877184904, 0.0, 0.1475994186698658, 0.054162870780479225, 0.04611581530826215, 0.38978930545601914, 0.5454978028552045]","[0.7276751835654961, 0.49745416751650984, 0.21457796433725457, 0.0, 0.13377859275650963, 0.17351932311162374, 0.22591111449943663, 0.40781584594877585]","[0.21477919966068665, 0.15247178238184325, 0.22409635032570183, 1.0, 0.19548487853414945, 0.0, 0.15754233601835124, 0.4156507081714166]","[0.5339418124568347, 0.5847639109132361, 0.5336473682762954, 0.0, 0.6607845942618868, 1.0, 0.6704049982809293, 0.4328326991889913]","[0.667372231721347, 0.826408451837056, 0.6564516911282808, 0.0, 0.7601014983673107, 1.0, 0.7266680333926331, 0.49749895787798715]","[0.012471481727562335, 0.20189783100188086, 0.6612157103849684, 1.0, 0.5450728154276331, 0.3833231362731386, 0.2912232784711984, 0.2609077725544466]"
"[0.7707424166077337, 0.5819268651803667, 0.3418705846040731, 0.38869271569014374, 0.7545674749140759, 0.2732722293899132, 0.0, 0.3964648375446336]","[0.0028860216450238754, 0.0595360571671501, 0.3263826009172754, 0.714555791850258, 1.0, 0.7544183135011883, 0.6304704762036312, 0.5126313013724222]","[0.2653423508094551, 0.2654155227776949, 0.33406671990752457, 0.5262555868642337, 1.0, 0.4171434191284124, 0.16880176151815338, 0.23985841067432945]","[0.6594168307354678, 0.3342291600908356, 0.0, 0.11466816405228658, 0.08377249629656132, 0.07559378815722897, 0.3227746918762031, 0.6369689246439161]","[0.40333242732489366, 0.5621506115399634, 1.0, 0.37872078050699237, 0.0, 0.43028122969594124, 0.5677907571665148, 0.3603406147689496]","[0.2577926355372607, 0.039377378473169806, 0.0, 0.15972681848231027, 0.3008830154626302, 0.44001655198020523, 0.525554958536476, 0.5721114343545793]","[0.01903096270223066, 0.012197360426985467, 0.1589157927990839, 0.506433674128192, 1.0, 0.45170638988019723, 0.1907832064282587, 0.24093388581618957]","[0.01098026603942199, 0.0, 0.18041102388659316, 0.5844224547532665, 1.0, 0.5829313207474747, 0.36157982342942807, 0.38574457619491054]","[0.06664758783843819, 0.10020203483244566, 0.2901822336992428, 0.6096893899822132, 1.0, 0.5822812294980155, 0.3928743884457968, 0.3563573970312371]","[0.38021645020896333, 0.307287451659926, 0.27298863807523094, 0.4548620817020046, 1.0, 0.3172638034529002, 0.0, 0.21381406928919647]","[0.9210830157852943, 1.0, 0.8217636973525828, 0.0, 0.2358988190129487, 0.42615075381568746, 0.6618176256454521, 0.6127084384289203]","[0.8615603355809457, 1.0, 0.7358361744647492, 0.0, 0.3893549442090385, 0.19343815987490096, 0.35957508558738055, 0.40552815855538954]","[0.0, 0.03040038547274544, 0.12477489315051145, 0.3765914493223104, 1.0, 0.31157136400722, 0.20256481002657267, 0.18578318540215685]","[0.791962412511737, 0.6525986888490805, 0.3592972294735818, 0.0, 0.39389246530694444, 0.3209947777541471, 0.6205984393443088, 0.6136295362616948]","[0.4421684660865963, 0.1586772615208766, 0.0, 0.03706761559006686, 0.013595286956895042, 0.14774465086237973, 0.372605465120482, 0.5623542398664247]","[0.6456155642180582, 0.37984152162449664, 0.1769474321669255, 0.12602023971724938, 0.0, 0.10239528123893434, 0.37049159609641263, 0.6134627995325852]","[0.17446510877184904, 0.0, 0.1475994186698658, 0.054162870780479225, 0.04611581530826215, 0.38978930545601914, 0.5454978028552045, 0.5067284337289094]","[0.49745416751650984, 0.21457796433725457, 0.0, 0.13377859275650963, 0.17351932311162374, 0.22591111449943663, 0.40781584594877585, 0.6134562280704698]","[0.15247178238184325, 0.22409635032570183, 1.0, 0.19548487853414945, 0.0, 0.15754233601835124, 0.4156507081714166, 0.3802519431272993]","[0.5847639109132361, 0.5336473682762954, 0.0, 0.6607845942618868, 1.0, 0.6704049982809293, 0.4328326991889913, 0.38520680853130285]","[0.826408451837056, 0.6564516911282808, 0.0, 0.7601014983673107, 1.0, 0.7266680333926331, 0.49749895787798715, 0.5472328815444671]","[0.20189783100188086, 0.6612157103849684, 1.0, 0.5450728154276331, 0.3833231362731386, 0.2912232784711984, 0.2609077725544466, 0.14125413241668838]"
"[0.5819268651803667, 0.3418705846040731, 0.38869271569014374, 0.7545674749140759, 0.2732722293899132, 0.0, 0.3964648375446336, 0.756428097537312]","[0.0595360571671501, 0.3263826009172754, 0.714555791850258, 1.0, 0.7544183135011883, 0.6304704762036312, 0.5126313013724222, 0.5513424893988731]","[0.2654155227776949, 0.33406671990752457, 0.5262555868642337, 1.0, 0.4171434191284124, 0.16880176151815338, 0.23985841067432945, 0.22725578642367988]","[0.3342291600908356, 0.0, 0.11466816405228658, 0.08377249629656132, 0.07559378815722897, 0.3227746918762031, 0.6369689246439161, 0.9537442856478605]","[0.5621506115399634, 1.0, 0.37872078050699237, 0.0, 0.43028122969594124, 0.5677907571665148, 0.3603406147689496, 0.03761652992849723]","[0.039377378473169806, 0.0, 0.15972681848231027, 0.3008830154626302, 0.44001655198020523, 0.525554958536476, 0.5721114343545793, 0.6676868429956568]","[0.012197360426985467, 0.1589157927990839, 0.506433674128192, 1.0, 0.45170638988019723, 0.1907832064282587, 0.24093388581618957, 0.3393919580989757]","[0.0, 0.18041102388659316, 0.5844224547532665, 1.0, 0.5829313207474747, 0.36157982342942807, 0.38574457619491054, 0.5530479015436941]","[0.10020203483244566, 0.2901822336992428, 0.6096893899822132, 1.0, 0.5822812294980155, 0.3928743884457968, 0.3563573970312371, 0.3733730816672524]","[0.307287451659926, 0.27298863807523094, 0.4548620817020046, 1.0, 0.3172638034529002, 0.0, 0.21381406928919647, 0.34222753890850016]","[1.0, 0.8217636973525828, 0.0, 0.2358988190129487, 0.42615075381568746, 0.6618176256454521, 0.6127084384289203, 0.7455033246457852]","[1.0, 0.7358361744647492, 0.0, 0.3893549442090385, 0.19343815987490096, 0.35957508558738055, 0.40552815855538954, 0.5668461892633225]","[0.03040038547274544, 0.12477489315051145, 0.3765914493223104, 1.0, 0.31157136400722, 0.20256481002657267, 0.18578318540215685, 0.20363669734729323]","[0.6525986888490805, 0.3592972294735818, 0.0, 0.39389246530694444, 0.3209947777541471, 0.6205984393443088, 0.6136295362616948, 0.872325177936574]","[0.1586772615208766, 0.0, 0.03706761559006686, 0.013595286956895042, 0.14774465086237973, 0.372605465120482, 0.5623542398664247, 0.7555416893054686]","[0.37984152162449664, 0.1769474321669255, 0.12602023971724938, 0.0, 0.10239528123893434, 0.37049159609641263, 0.6134627995325852, 0.8293694301170801]","[0.0, 0.1475994186698658, 0.054162870780479225, 0.04611581530826215, 0.38978930545601914, 0.5454978028552045, 0.5067284337289094, 0.47227190492785753]","[0.21457796433725457, 0.0, 0.13377859275650963, 0.17351932311162374, 0.22591111449943663, 0.40781584594877585, 0.6134562280704698, 0.8407973082850349]","[0.22409635032570183, 1.0, 0.19548487853414945, 0.0, 0.15754233601835124, 0.4156507081714166, 0.3802519431272993, 0.22878716063542162]","[0.5336473682762954, 0.0, 0.6607845942618868, 1.0, 0.6704049982809293, 0.4328326991889913, 0.38520680853130285, 0.33500729845022176]","[0.6564516911282808, 0.0, 0.7601014983673107, 1.0, 0.7266680333926331, 0.49749895787798715, 0.5472328815444671, 0.7002515741325103]","[0.6612157103849684, 1.0, 0.5450728154276331, 0.3833231362731386, 0.2912232784711984, 0.2609077725544466, 0.14125413241668838, 0.024884577366192255]"
