Timestamp,Feature,Value
0,AccelerationX,0.14520016878745376
1,AccelerationX,0.22101882968402797
2,AccelerationX,0.3100973215619119
3,AccelerationX,0.26379132170556246
4,AccelerationX,0.2516769091587335
5,AccelerationX,0.19676211443635466
6,AccelerationX,0.19048718274931611
7,AccelerationX,0.1939780150038172
0,AccelerationY,0.13554863148719543
1,AccelerationY,0.22609796634347348
2,AccelerationY,0.11535509838966047
3,AccelerationY,0.0416033371568123
4,AccelerationY,0.11143134803006244
5,AccelerationY,0.13390639205565844
6,AccelerationY,0.13826471434201026
7,AccelerationY,0.11300511981691308
0,AccelerationZ,0.08749325613747784
1,AccelerationZ,0.09735768555735451
2,AccelerationZ,0.08459761490908951
3,AccelerationZ,0.07911872827370045
4,AccelerationZ,0.10320059246807649
5,AccelerationZ,0.09663618184833447
6,AccelerationZ,0.09002093037001557
7,AccelerationZ,0.08411733524173255
0,RRX,0.1131420223019968
1,RRX,0.13723306059639445
2,RRX,0.1261175862375155
3,RRX,0.12024388947847522
4,RRX,0.1335267146780207
5,RRX,0.14191727420879865
6,RRX,0.16474652236551318
7,RRX,0.1624965586657881
0,RRY,0.539095559086889
1,RRY,0.5022565393878571
2,RRY,0.44668691351595236
3,RRY,0.45137645573362334
4,RRY,0.39749688167103514
5,RRY,0.3745090825836635
6,RRY,0.35541827272529575
7,RRY,0.33414198607959095
0,RRZ,0.17794944932700998
1,RRZ,0.24036672578210683
2,RRZ,0.25678566147340837
3,RRZ,0.3206355506561982
4,RRZ,0.295532763239046
5,RRZ,0.27326638885271964
6,RRZ,0.27718598116905585
7,RRZ,0.2996150532301975
0,x+y+z,0.2823200067339278
1,x+y+z,0.22317070492518
2,x+y+z,0.22080587489200332
3,x+y+z,0.19470827695411583
4,x+y+z,0.07710482057816412
5,x+y+z,0.11298121935161858
6,x+y+z,0.1872575269709529
7,x+y+z,0.22935699854937758
0,x+y,0.4868899272321911
1,x+y,0.324751158191362
2,x+y,0.24378638218023715
3,x+y,0.14643136697602616
4,x+y,0.13154510953205276
5,x+y,0.1848914965936921
6,x+y,0.23135626770772888
7,x+y,0.2414827276609405
0,y+z,0.12095730462514331
1,y+z,0.17163539112780196
2,y+z,0.11736044226295812
3,y+z,0.10359889731605956
4,y+z,0.15475408122530496
5,y+z,0.12271881730890737
6,y+z,0.12641323188263554
7,y+z,0.11784794512170028
0,x+z,0.08355865636546143
1,x+z,0.11625076254894659
2,x+z,0.19588199809344764
3,x+z,0.17260454031646363
4,x+z,0.11021915012947599
5,x+z,0.10354020000847579
6,x+z,0.11673564702947503
7,x+z,0.12925432894392072
0,x*y*z,0.5178126181778748
1,x*y*z,0.5730792384617824
2,x*y*z,0.5635589299893506
3,x*y*z,0.5135153786339351
4,x*y*z,0.6258642640417705
5,x*y*z,0.6275489105115453
6,x*y*z,0.7050637521655655
7,x*y*z,0.6473508767523044
0,x*y,0.22001726384223713
1,x*y,0.239667819559395
2,x*y,0.3131990367275754
3,x*y,0.1888798349831465
4,x*y,0.12234185455152201
5,x*y,0.1344944886307575
6,x*y,0.11159581670061489
7,x*y,0.06148401378975005
0,y*z,0.19188874235965978
1,y*z,0.32328426230780105
2,y*z,0.24844042353387294
3,y*z,0.20059060614433966
4,y*z,0.3408368217216575
5,y*z,0.2891178379537171
6,y*z,0.30958157016503396
7,y*z,0.28729028765490394
0,x*z,0.2939787465162392
1,x*z,0.32063121032942593
2,x*z,0.23174769272874238
3,x*z,0.1878510758370111
4,x*z,0.06947992775242158
5,x*z,0.0256603376669941
6,x*z,0.012770647102955765
7,x*z,0.017894485671175714
0,p+r+w,0.22074183062422245
1,p+r+w,0.2151161807369186
2,p+r+w,0.11153691112548629
3,p+r+w,0.07068834764629943
4,p+r+w,0.026883327365659612
5,p+r+w,0.032066768401006085
6,p+r+w,0.058816838778916365
7,p+r+w,0.08668691064094748
0,p+r,0.4851161697677897
1,p+r,0.3965420106103405
2,p+r,0.1678070190102677
3,p+r,0.06380236355488983
4,p+r,0.1203384278732538
5,p+r,0.1261438675648571
6,p+r,0.10784849985306891
7,p+r,0.10772822260154834
0,r+w,0.225838400655556
1,r+w,0.23778933053688972
2,r+w,0.07758261990072779
3,r+w,0.04695828011298725
4,r+w,0.047240175437361934
5,r+w,0.04218042494576194
6,r+w,0.06959689390954814
7,r+w,0.07875614741204215
0,p+w,0.1362840849632196
1,p+w,0.13702994439441468
2,p+w,0.10944870799564957
3,p+w,0.10143580522362378
4,p+w,0.021852814101929484
5,p+w,0.0951616985256869
6,p+w,0.14577223766231576
7,p+w,0.17602334568915984
0,p*r*w,0.3173598185126198
1,p*r*w,0.35067435279448084
2,p*r*w,0.32562107666869705
3,p*r*w,0.3963615172730848
4,p*r*w,0.39923315859317066
5,p*r*w,0.3880125519485939
6,p*r*w,0.38679183940034506
7,p*r*w,0.3967012771538928
0,p*r,0.07695605162541745
1,p*r,0.09304624859544741
2,p*r,0.0806196883586269
3,p*r,0.08732389597476839
4,p*r,0.11108958907874898
5,p*r,0.11912236142318126
6,p*r,0.13090517031458399
7,p*r,0.14139836408137177
0,r*w,0.26249910927071435
1,r*w,0.31110162172950045
2,r*w,0.3787408174134141
3,r*w,0.4778740657963378
4,r*w,0.49731037497562247
5,r*w,0.42641502192697783
6,r*w,0.3864816521983038
7,r*w,0.3735904332463229
0,p*w,0.2803623154525319
1,p*w,0.2822132121409825
2,p*w,0.2819443175681477
3,p*w,0.29911618943338486
4,p*w,0.3083101076831247
5,p*w,0.3131627938712235
6,p*w,0.29310013600429563
7,p*w,0.3188424385314897
