AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[1.0, 0.9965146599227769, 0.9650866254272321, 0.9105887241791264, 0.8305029067403419, 0.6876447948007802, 0.4081031607360767, 0.05587495394125771]","[0.3432003913499418, 0.3584322939784624, 0.3880945272973866, 0.393007675972868, 0.26197592589593094, 0.30969212744570807, 0.34165832655598727, 0.6504601834076402]","[0.2751555763721866, 0.31823234983563764, 0.3564825482803644, 0.4080502365724818, 0.502207000587863, 0.529117020983709, 0.4916999264763071, 0.33389856259660255]","[0.4911849424958481, 0.4478196104432925, 0.3965248399112227, 0.31018179226273607, 0.16591820497580392, 0.0, 0.007297266544940801, 0.2578895708040519]","[0.8825467076128073, 0.8141134703004762, 0.7995586520618134, 0.6940217540056604, 0.4639408470595965, 0.44674620509199214, 0.33314502487970715, 0.05824136873970184]","[0.979947151398611, 1.0, 0.9662328878596713, 0.9639988207467786, 0.9665098816905693, 0.7332001954598355, 0.29891287346153583, 0.004669395290194133]","[0.7313004108300614, 0.7679543387943603, 0.791413764494295, 0.7940948856374669, 0.7282659528054557, 0.6810216501280223, 0.4894785440853202, 0.33166864683621744]","[0.9903160097694601, 1.0, 0.9956342212758522, 0.948452684940715, 0.7614062507195942, 0.6673883892795056, 0.4311350113723934, 0.3620810831314223]","[0.40552232881271266, 0.4454563333343424, 0.4907882725605596, 0.5304440483956943, 0.5171995216929662, 0.5655169601208994, 0.558480468941066, 0.6352488315048207]","[0.7837282391730468, 0.8148860705952325, 0.8213934966661518, 0.8211096576134911, 0.83509517789533, 0.7494987311235785, 0.5114114767819193, 0.12469261880384827]","[0.9680183890778359, 0.9767945907195914, 0.9762140381111591, 0.9639335683982123, 0.973519474221993, 0.9535300163921859, 0.956447614143733, 0.606341751681931]","[0.7785513252664823, 0.784980459367753, 0.7852823997793473, 0.7762715404571675, 0.778721005295627, 0.7646472497303686, 0.7438290469547832, 0.42507555701298233]","[0.11243792090819929, 0.15149302469170028, 0.2098977089937155, 0.24387989558775722, 0.0, 0.09029291833927125, 0.08608286605286261, 0.40056170786916806]","[0.8929540149703401, 0.8933735237485855, 0.8726892692265001, 0.8377180259637673, 0.7632446513668444, 0.6235802439052914, 0.41102993761046996, 0.39635220702631185]","[1.0, 0.9530222143415927, 0.892452042566103, 0.7883722291336033, 0.5972152451127485, 0.34710897434152427, 0.07928427734933259, 0.0]","[0.8636596944114259, 0.7749462717036448, 0.7091390253317226, 0.5506086010845278, 0.25405689697084277, 0.05880885527119564, 0.0, 0.11757173821063757]","[1.0, 0.9818021263743606, 0.9544314543404322, 0.905877588092435, 0.8045864429020965, 0.6527373523473515, 0.33361078388109167, 0.02891827073945398]","[0.8445019015021689, 0.8197808489429604, 0.7544095917116493, 0.6786908999232406, 0.5561028535256295, 0.26666543473292825, 0.0, 0.03075261258614434]","[0.4792341251558495, 0.5591701118339536, 0.6759827951960977, 0.4844518613653218, 0.7538506655644865, 1.0, 0.4007909662973111, 0.0]","[0.6288275560930597, 0.6716691884061461, 0.6944500161881568, 0.6759896362938558, 0.7803889393197291, 0.9580461061926937, 1.0, 0.8391137537465048]","[0.0, 0.13461475899819456, 0.26213719539517294, 0.28323426912840954, 0.08042478828421255, 0.26467932038697156, 0.6103428844219335, 0.8897421828320939]","[0.7344432001372361, 0.5926648086829864, 0.5131452223088722, 0.5120085298760428, 0.21063658663073473, 0.0, 0.6125084562173203, 0.957644990756361]"
"[0.9965146599227769, 0.9650866254272321, 0.9105887241791264, 0.8305029067403419, 0.6876447948007802, 0.4081031607360767, 0.05587495394125771, 0.0]","[0.3584322939784624, 0.3880945272973866, 0.393007675972868, 0.26197592589593094, 0.30969212744570807, 0.34165832655598727, 0.6504601834076402, 1.0]","[0.31823234983563764, 0.3564825482803644, 0.4080502365724818, 0.502207000587863, 0.529117020983709, 0.4916999264763071, 0.33389856259660255, 0.22803969210910555]","[0.4478196104432925, 0.3965248399112227, 0.31018179226273607, 0.16591820497580392, 0.0, 0.007297266544940801, 0.2578895708040519, 0.6533127182872702]","[0.8141134703004762, 0.7995586520618134, 0.6940217540056604, 0.4639408470595965, 0.44674620509199214, 0.33314502487970715, 0.05824136873970184, 0.0]","[1.0, 0.9662328878596713, 0.9639988207467786, 0.9665098816905693, 0.7332001954598355, 0.29891287346153583, 0.004669395290194133, 0.0]","[0.7679543387943603, 0.791413764494295, 0.7940948856374669, 0.7282659528054557, 0.6810216501280223, 0.4894785440853202, 0.33166864683621744, 0.42996973423139384]","[1.0, 0.9956342212758522, 0.948452684940715, 0.7614062507195942, 0.6673883892795056, 0.4311350113723934, 0.3620810831314223, 0.6070283992602405]","[0.4454563333343424, 0.4907882725605596, 0.5304440483956943, 0.5171995216929662, 0.5655169601208994, 0.558480468941066, 0.6352488315048207, 0.773856430294679]","[0.8148860705952325, 0.8213934966661518, 0.8211096576134911, 0.83509517789533, 0.7494987311235785, 0.5114114767819193, 0.12469261880384827, 0.0]","[0.9767945907195914, 0.9762140381111591, 0.9639335683982123, 0.973519474221993, 0.9535300163921859, 0.956447614143733, 0.606341751681931, 0.21804091845024895]","[0.784980459367753, 0.7852823997793473, 0.7762715404571675, 0.778721005295627, 0.7646472497303686, 0.7438290469547832, 0.42507555701298233, 0.0]","[0.15149302469170028, 0.2098977089937155, 0.24387989558775722, 0.0, 0.09029291833927125, 0.08608286605286261, 0.40056170786916806, 0.7092619795153503]","[0.8933735237485855, 0.8726892692265001, 0.8377180259637673, 0.7632446513668444, 0.6235802439052914, 0.41102993761046996, 0.39635220702631185, 0.5565932499331935]","[0.9530222143415927, 0.892452042566103, 0.7883722291336033, 0.5972152451127485, 0.34710897434152427, 0.07928427734933259, 0.0, 0.26160649577209844]","[0.7749462717036448, 0.7091390253317226, 0.5506086010845278, 0.25405689697084277, 0.05880885527119564, 0.0, 0.11757173821063757, 0.5244198574018922]","[0.9818021263743606, 0.9544314543404322, 0.905877588092435, 0.8045864429020965, 0.6527373523473515, 0.33361078388109167, 0.02891827073945398, 0.0]","[0.8197808489429604, 0.7544095917116493, 0.6786908999232406, 0.5561028535256295, 0.26666543473292825, 0.0, 0.03075261258614434, 0.36815468707545335]","[0.5591701118339536, 0.6759827951960977, 0.4844518613653218, 0.7538506655644865, 1.0, 0.4007909662973111, 0.0, 0.9026400584565754]","[0.6716691884061461, 0.6944500161881568, 0.6759896362938558, 0.7803889393197291, 0.9580461061926937, 1.0, 0.8391137537465048, 0.3196352497423054]","[0.13461475899819456, 0.26213719539517294, 0.28323426912840954, 0.08042478828421255, 0.26467932038697156, 0.6103428844219335, 0.8897421828320939, 1.0]","[0.5926648086829864, 0.5131452223088722, 0.5120085298760428, 0.21063658663073473, 0.0, 0.6125084562173203, 0.957644990756361, 0.3562896449058789]"
"[0.9650866254272321, 0.9105887241791264, 0.8305029067403419, 0.6876447948007802, 0.4081031607360767, 0.05587495394125771, 0.0, 0.21130230009167927]","[0.3880945272973866, 0.393007675972868, 0.26197592589593094, 0.30969212744570807, 0.34165832655598727, 0.6504601834076402, 1.0, 0.9103498259734055]","[0.3564825482803644, 0.4080502365724818, 0.502207000587863, 0.529117020983709, 0.4916999264763071, 0.33389856259660255, 0.22803969210910555, 0.3991972824617731]","[0.3965248399112227, 0.31018179226273607, 0.16591820497580392, 0.0, 0.007297266544940801, 0.2578895708040519, 0.6533127182872702, 1.0]","[0.7995586520618134, 0.6940217540056604, 0.4639408470595965, 0.44674620509199214, 0.33314502487970715, 0.05824136873970184, 0.0, 0.15064525752823263]","[0.9662328878596713, 0.9639988207467786, 0.9665098816905693, 0.7332001954598355, 0.29891287346153583, 0.004669395290194133, 0.0, 0.4152007838984812]","[0.791413764494295, 0.7940948856374669, 0.7282659528054557, 0.6810216501280223, 0.4894785440853202, 0.33166864683621744, 0.42996973423139384, 0.6347291206836642]","[0.9956342212758522, 0.948452684940715, 0.7614062507195942, 0.6673883892795056, 0.4311350113723934, 0.3620810831314223, 0.6070283992602405, 0.7298515218048375]","[0.4907882725605596, 0.5304440483956943, 0.5171995216929662, 0.5655169601208994, 0.558480468941066, 0.6352488315048207, 0.773856430294679, 0.8406542548138701]","[0.8213934966661518, 0.8211096576134911, 0.83509517789533, 0.7494987311235785, 0.5114114767819193, 0.12469261880384827, 0.0, 0.2919428298777945]","[0.9762140381111591, 0.9639335683982123, 0.973519474221993, 0.9535300163921859, 0.956447614143733, 0.606341751681931, 0.21804091845024895, 0.6812118296152381]","[0.7852823997793473, 0.7762715404571675, 0.778721005295627, 0.7646472497303686, 0.7438290469547832, 0.42507555701298233, 0.0, 0.1766691561746849]","[0.2098977089937155, 0.24387989558775722, 0.0, 0.09029291833927125, 0.08608286605286261, 0.40056170786916806, 0.7092619795153503, 0.7718487229801466]","[0.8726892692265001, 0.8377180259637673, 0.7632446513668444, 0.6235802439052914, 0.41102993761046996, 0.39635220702631185, 0.5565932499331935, 0.5473299881032598]","[0.892452042566103, 0.7883722291336033, 0.5972152451127485, 0.34710897434152427, 0.07928427734933259, 0.0, 0.26160649577209844, 0.7898547325672485]","[0.7091390253317226, 0.5506086010845278, 0.25405689697084277, 0.05880885527119564, 0.0, 0.11757173821063757, 0.5244198574018922, 1.0]","[0.9544314543404322, 0.905877588092435, 0.8045864429020965, 0.6527373523473515, 0.33361078388109167, 0.02891827073945398, 0.0, 0.3238910429860962]","[0.7544095917116493, 0.6786908999232406, 0.5561028535256295, 0.26666543473292825, 0.0, 0.03075261258614434, 0.36815468707545335, 0.9274953486724016]","[0.6759827951960977, 0.4844518613653218, 0.7538506655644865, 1.0, 0.4007909662973111, 0.0, 0.9026400584565754, 0.4484485599564106]","[0.6944500161881568, 0.6759896362938558, 0.7803889393197291, 0.9580461061926937, 1.0, 0.8391137537465048, 0.3196352497423054, 0.0]","[0.26213719539517294, 0.28323426912840954, 0.08042478828421255, 0.26467932038697156, 0.6103428844219335, 0.8897421828320939, 1.0, 0.4455540268340475]","[0.5131452223088722, 0.5120085298760428, 0.21063658663073473, 0.0, 0.6125084562173203, 0.957644990756361, 0.3562896449058789, 0.5133173874156124]"
"[0.9105887241791264, 0.8305029067403419, 0.6876447948007802, 0.4081031607360767, 0.05587495394125771, 0.0, 0.21130230009167927, 0.5289075642690889]","[0.393007675972868, 0.26197592589593094, 0.30969212744570807, 0.34165832655598727, 0.6504601834076402, 1.0, 0.9103498259734055, 0.47285229209521956]","[0.4080502365724818, 0.502207000587863, 0.529117020983709, 0.4916999264763071, 0.33389856259660255, 0.22803969210910555, 0.3991972824617731, 1.0]","[0.31018179226273607, 0.16591820497580392, 0.0, 0.007297266544940801, 0.2578895708040519, 0.6533127182872702, 1.0, 0.702570080722826]","[0.6940217540056604, 0.4639408470595965, 0.44674620509199214, 0.33314502487970715, 0.05824136873970184, 0.0, 0.15064525752823263, 0.31796799303696655]","[0.9639988207467786, 0.9665098816905693, 0.7332001954598355, 0.29891287346153583, 0.004669395290194133, 0.0, 0.4152007838984812, 0.9378798270481409]","[0.7940948856374669, 0.7282659528054557, 0.6810216501280223, 0.4894785440853202, 0.33166864683621744, 0.42996973423139384, 0.6347291206836642, 1.0]","[0.948452684940715, 0.7614062507195942, 0.6673883892795056, 0.4311350113723934, 0.3620810831314223, 0.6070283992602405, 0.7298515218048375, 0.656697190648454]","[0.5304440483956943, 0.5171995216929662, 0.5655169601208994, 0.558480468941066, 0.6352488315048207, 0.773856430294679, 0.8406542548138701, 1.0]","[0.8211096576134911, 0.83509517789533, 0.7494987311235785, 0.5114114767819193, 0.12469261880384827, 0.0, 0.2919428298777945, 1.0]","[0.9639335683982123, 0.973519474221993, 0.9535300163921859, 0.956447614143733, 0.606341751681931, 0.21804091845024895, 0.6812118296152381, 0.6368423790891043]","[0.7762715404571675, 0.778721005295627, 0.7646472497303686, 0.7438290469547832, 0.42507555701298233, 0.0, 0.1766691561746849, 0.6745416865435714]","[0.24387989558775722, 0.0, 0.09029291833927125, 0.08608286605286261, 0.40056170786916806, 0.7092619795153503, 0.7718487229801466, 0.8410617307333743]","[0.8377180259637673, 0.7632446513668444, 0.6235802439052914, 0.41102993761046996, 0.39635220702631185, 0.5565932499331935, 0.5473299881032598, 0.0]","[0.7883722291336033, 0.5972152451127485, 0.34710897434152427, 0.07928427734933259, 0.0, 0.26160649577209844, 0.7898547325672485, 0.9148652811191705]","[0.5506086010845278, 0.25405689697084277, 0.05880885527119564, 0.0, 0.11757173821063757, 0.5244198574018922, 1.0, 0.7667692951925362]","[0.905877588092435, 0.8045864429020965, 0.6527373523473515, 0.33361078388109167, 0.02891827073945398, 0.0, 0.3238910429860962, 0.7216480794986047]","[0.6786908999232406, 0.5561028535256295, 0.26666543473292825, 0.0, 0.03075261258614434, 0.36815468707545335, 0.9274953486724016, 1.0]","[0.4844518613653218, 0.7538506655644865, 1.0, 0.4007909662973111, 0.0, 0.9026400584565754, 0.4484485599564106, 0.03746347231296007]","[0.6759896362938558, 0.7803889393197291, 0.9580461061926937, 1.0, 0.8391137537465048, 0.3196352497423054, 0.0, 0.4063222771159193]","[0.28323426912840954, 0.08042478828421255, 0.26467932038697156, 0.6103428844219335, 0.8897421828320939, 1.0, 0.4455540268340475, 0.05803646012582433]","[0.5120085298760428, 0.21063658663073473, 0.0, 0.6125084562173203, 0.957644990756361, 0.3562896449058789, 0.5133173874156124, 1.0]"
"[0.8305029067403419, 0.6876447948007802, 0.4081031607360767, 0.05587495394125771, 0.0, 0.21130230009167927, 0.5289075642690889, 0.25406770076002644]","[0.26197592589593094, 0.30969212744570807, 0.34165832655598727, 0.6504601834076402, 1.0, 0.9103498259734055, 0.47285229209521956, 0.005806876669539039]","[0.502207000587863, 0.529117020983709, 0.4916999264763071, 0.33389856259660255, 0.22803969210910555, 0.3991972824617731, 1.0, 0.35409464104218774]","[0.16591820497580392, 0.0, 0.007297266544940801, 0.2578895708040519, 0.6533127182872702, 1.0, 0.702570080722826, 0.19248525763482252]","[0.4639408470595965, 0.44674620509199214, 0.33314502487970715, 0.05824136873970184, 0.0, 0.15064525752823263, 0.31796799303696655, 0.5608976674932531]","[0.9665098816905693, 0.7332001954598355, 0.29891287346153583, 0.004669395290194133, 0.0, 0.4152007838984812, 0.9378798270481409, 0.7403167985769763]","[0.7282659528054557, 0.6810216501280223, 0.4894785440853202, 0.33166864683621744, 0.42996973423139384, 0.6347291206836642, 1.0, 0.09187131395395702]","[0.7614062507195942, 0.6673883892795056, 0.4311350113723934, 0.3620810831314223, 0.6070283992602405, 0.7298515218048375, 0.656697190648454, 0.0]","[0.5171995216929662, 0.5655169601208994, 0.558480468941066, 0.6352488315048207, 0.773856430294679, 0.8406542548138701, 1.0, 0.25521331584662976]","[0.83509517789533, 0.7494987311235785, 0.5114114767819193, 0.12469261880384827, 0.0, 0.2919428298777945, 1.0, 0.28853168523224504]","[0.973519474221993, 0.9535300163921859, 0.956447614143733, 0.606341751681931, 0.21804091845024895, 0.6812118296152381, 0.6368423790891043, 0.0]","[0.778721005295627, 0.7646472497303686, 0.7438290469547832, 0.42507555701298233, 0.0, 0.1766691561746849, 0.6745416865435714, 1.0]","[0.0, 0.09029291833927125, 0.08608286605286261, 0.40056170786916806, 0.7092619795153503, 0.7718487229801466, 0.8410617307333743, 1.0]","[0.7632446513668444, 0.6235802439052914, 0.41102993761046996, 0.39635220702631185, 0.5565932499331935, 0.5473299881032598, 0.0, 0.5747804945393516]","[0.5972152451127485, 0.34710897434152427, 0.07928427734933259, 0.0, 0.26160649577209844, 0.7898547325672485, 0.9148652811191705, 0.5339313672996355]","[0.25405689697084277, 0.05880885527119564, 0.0, 0.11757173821063757, 0.5244198574018922, 1.0, 0.7667692951925362, 0.3408387869692151]","[0.8045864429020965, 0.6527373523473515, 0.33361078388109167, 0.02891827073945398, 0.0, 0.3238910429860962, 0.7216480794986047, 0.7081587466534961]","[0.5561028535256295, 0.26666543473292825, 0.0, 0.03075261258614434, 0.36815468707545335, 0.9274953486724016, 1.0, 0.4368083010930674]","[0.7538506655644865, 1.0, 0.4007909662973111, 0.0, 0.9026400584565754, 0.4484485599564106, 0.03746347231296007, 0.633461604909884]","[0.7803889393197291, 0.9580461061926937, 1.0, 0.8391137537465048, 0.3196352497423054, 0.0, 0.4063222771159193, 0.6893921244919569]","[0.08042478828421255, 0.26467932038697156, 0.6103428844219335, 0.8897421828320939, 1.0, 0.4455540268340475, 0.05803646012582433, 0.21806584017867076]","[0.21063658663073473, 0.0, 0.6125084562173203, 0.957644990756361, 0.3562896449058789, 0.5133173874156124, 1.0, 0.527046234370326]"
"[0.6876447948007802, 0.4081031607360767, 0.05587495394125771, 0.0, 0.21130230009167927, 0.5289075642690889, 0.25406770076002644, 0.5514610289904034]","[0.30969212744570807, 0.34165832655598727, 0.6504601834076402, 1.0, 0.9103498259734055, 0.47285229209521956, 0.005806876669539039, 0.41879922615660803]","[0.529117020983709, 0.4916999264763071, 0.33389856259660255, 0.22803969210910555, 0.3991972824617731, 1.0, 0.35409464104218774, 0.3163240646999118]","[0.0, 0.007297266544940801, 0.2578895708040519, 0.6533127182872702, 1.0, 0.702570080722826, 0.19248525763482252, 0.14428021387869322]","[0.44674620509199214, 0.33314502487970715, 0.05824136873970184, 0.0, 0.15064525752823263, 0.31796799303696655, 0.5608976674932531, 0.6383199492005104]","[0.7332001954598355, 0.29891287346153583, 0.004669395290194133, 0.0, 0.4152007838984812, 0.9378798270481409, 0.7403167985769763, 0.6628847472030356]","[0.6810216501280223, 0.4894785440853202, 0.33166864683621744, 0.42996973423139384, 0.6347291206836642, 1.0, 0.09187131395395702, 0.5086347123502998]","[0.6673883892795056, 0.4311350113723934, 0.3620810831314223, 0.6070283992602405, 0.7298515218048375, 0.656697190648454, 0.0, 0.631931433173265]","[0.5655169601208994, 0.558480468941066, 0.6352488315048207, 0.773856430294679, 0.8406542548138701, 1.0, 0.25521331584662976, 0.4810316652057797]","[0.7494987311235785, 0.5114114767819193, 0.12469261880384827, 0.0, 0.2919428298777945, 1.0, 0.28853168523224504, 0.4810235586647627]","[0.9535300163921859, 0.956447614143733, 0.606341751681931, 0.21804091845024895, 0.6812118296152381, 0.6368423790891043, 0.0, 0.7357162429655026]","[0.7646472497303686, 0.7438290469547832, 0.42507555701298233, 0.0, 0.1766691561746849, 0.6745416865435714, 1.0, 0.6416897958138845]","[0.09029291833927125, 0.08608286605286261, 0.40056170786916806, 0.7092619795153503, 0.7718487229801466, 0.8410617307333743, 1.0, 0.38036517944183684]","[0.6235802439052914, 0.41102993761046996, 0.39635220702631185, 0.5565932499331935, 0.5473299881032598, 0.0, 0.5747804945393516, 0.5261433911669539]","[0.34710897434152427, 0.07928427734933259, 0.0, 0.26160649577209844, 0.7898547325672485, 0.9148652811191705, 0.5339313672996355, 0.48769253593889034]","[0.05880885527119564, 0.0, 0.11757173821063757, 0.5244198574018922, 1.0, 0.7667692951925362, 0.3408387869692151, 0.33268506968679634]","[0.6527373523473515, 0.33361078388109167, 0.02891827073945398, 0.0, 0.3238910429860962, 0.7216480794986047, 0.7081587466534961, 0.6949196637218616]","[0.26666543473292825, 0.0, 0.03075261258614434, 0.36815468707545335, 0.9274953486724016, 1.0, 0.4368083010930674, 0.34665327467586615]","[1.0, 0.4007909662973111, 0.0, 0.9026400584565754, 0.4484485599564106, 0.03746347231296007, 0.633461604909884, 0.564069535284014]","[0.9580461061926937, 1.0, 0.8391137537465048, 0.3196352497423054, 0.0, 0.4063222771159193, 0.6893921244919569, 0.7534715206365317]","[0.26467932038697156, 0.6103428844219335, 0.8897421828320939, 1.0, 0.4455540268340475, 0.05803646012582433, 0.21806584017867076, 0.3522494624697577]","[0.0, 0.6125084562173203, 0.957644990756361, 0.3562896449058789, 0.5133173874156124, 1.0, 0.527046234370326, 0.4749021722944827]"
"[0.4081031607360767, 0.05587495394125771, 0.0, 0.21130230009167927, 0.5289075642690889, 0.25406770076002644, 0.5514610289904034, 0.3512700086546091]","[0.34165832655598727, 0.6504601834076402, 1.0, 0.9103498259734055, 0.47285229209521956, 0.005806876669539039, 0.41879922615660803, 0.49563331370342467]","[0.4916999264763071, 0.33389856259660255, 0.22803969210910555, 0.3991972824617731, 1.0, 0.35409464104218774, 0.3163240646999118, 0.1939391392225492]","[0.007297266544940801, 0.2578895708040519, 0.6533127182872702, 1.0, 0.702570080722826, 0.19248525763482252, 0.14428021387869322, 0.2237577803413251]","[0.33314502487970715, 0.05824136873970184, 0.0, 0.15064525752823263, 0.31796799303696655, 0.5608976674932531, 0.6383199492005104, 0.9080499126883768]","[0.29891287346153583, 0.004669395290194133, 0.0, 0.4152007838984812, 0.9378798270481409, 0.7403167985769763, 0.6628847472030356, 0.5733400070565117]","[0.4894785440853202, 0.33166864683621744, 0.42996973423139384, 0.6347291206836642, 1.0, 0.09187131395395702, 0.5086347123502998, 0.3373822483225588]","[0.4311350113723934, 0.3620810831314223, 0.6070283992602405, 0.7298515218048375, 0.656697190648454, 0.0, 0.631931433173265, 0.5086687434616561]","[0.558480468941066, 0.6352488315048207, 0.773856430294679, 0.8406542548138701, 1.0, 0.25521331584662976, 0.4810316652057797, 0.44105666912031194]","[0.5114114767819193, 0.12469261880384827, 0.0, 0.2919428298777945, 1.0, 0.28853168523224504, 0.4810235586647627, 0.23560340281517125]","[0.956447614143733, 0.606341751681931, 0.21804091845024895, 0.6812118296152381, 0.6368423790891043, 0.0, 0.7357162429655026, 1.0]","[0.7438290469547832, 0.42507555701298233, 0.0, 0.1766691561746849, 0.6745416865435714, 1.0, 0.6416897958138845, 0.7255947956677792]","[0.08608286605286261, 0.40056170786916806, 0.7092619795153503, 0.7718487229801466, 0.8410617307333743, 1.0, 0.38036517944183684, 0.04050670992006464]","[0.41102993761046996, 0.39635220702631185, 0.5565932499331935, 0.5473299881032598, 0.0, 0.5747804945393516, 0.5261433911669539, 0.7500549065127352]","[0.07928427734933259, 0.0, 0.26160649577209844, 0.7898547325672485, 0.9148652811191705, 0.5339313672996355, 0.48769253593889034, 0.6010763815671409]","[0.0, 0.11757173821063757, 0.5244198574018922, 1.0, 0.7667692951925362, 0.3408387869692151, 0.33268506968679634, 0.5803222128144729]","[0.33361078388109167, 0.02891827073945398, 0.0, 0.3238910429860962, 0.7216480794986047, 0.7081587466534961, 0.6949196637218616, 0.7601547573358824]","[0.0, 0.03075261258614434, 0.36815468707545335, 0.9274953486724016, 1.0, 0.4368083010930674, 0.34665327467586615, 0.35878066682831117]","[0.4007909662973111, 0.0, 0.9026400584565754, 0.4484485599564106, 0.03746347231296007, 0.633461604909884, 0.564069535284014, 0.45126963304727674]","[1.0, 0.8391137537465048, 0.3196352497423054, 0.0, 0.4063222771159193, 0.6893921244919569, 0.7534715206365317, 0.6732343121810856]","[0.6103428844219335, 0.8897421828320939, 1.0, 0.4455540268340475, 0.05803646012582433, 0.21806584017867076, 0.3522494624697577, 0.4746455976594385]","[0.6125084562173203, 0.957644990756361, 0.3562896449058789, 0.5133173874156124, 1.0, 0.527046234370326, 0.4749021722944827, 0.5099687015429764]"
"[0.05587495394125771, 0.0, 0.21130230009167927, 0.5289075642690889, 0.25406770076002644, 0.5514610289904034, 0.3512700086546091, 0.491856633594104]","[0.6504601834076402, 1.0, 0.9103498259734055, 0.47285229209521956, 0.005806876669539039, 0.41879922615660803, 0.49563331370342467, 0.0]","[0.33389856259660255, 0.22803969210910555, 0.3991972824617731, 1.0, 0.35409464104218774, 0.3163240646999118, 0.1939391392225492, 0.0]","[0.2578895708040519, 0.6533127182872702, 1.0, 0.702570080722826, 0.19248525763482252, 0.14428021387869322, 0.2237577803413251, 0.18658758866852956]","[0.05824136873970184, 0.0, 0.15064525752823263, 0.31796799303696655, 0.5608976674932531, 0.6383199492005104, 0.9080499126883768, 1.0]","[0.004669395290194133, 0.0, 0.4152007838984812, 0.9378798270481409, 0.7403167985769763, 0.6628847472030356, 0.5733400070565117, 0.3750902358387647]","[0.33166864683621744, 0.42996973423139384, 0.6347291206836642, 1.0, 0.09187131395395702, 0.5086347123502998, 0.3373822483225588, 0.0]","[0.3620810831314223, 0.6070283992602405, 0.7298515218048375, 0.656697190648454, 0.0, 0.631931433173265, 0.5086687434616561, 0.21917401286095078]","[0.6352488315048207, 0.773856430294679, 0.8406542548138701, 1.0, 0.25521331584662976, 0.4810316652057797, 0.44105666912031194, 0.0]","[0.12469261880384827, 0.0, 0.2919428298777945, 1.0, 0.28853168523224504, 0.4810235586647627, 0.23560340281517125, 0.18859726104587352]","[0.606341751681931, 0.21804091845024895, 0.6812118296152381, 0.6368423790891043, 0.0, 0.7357162429655026, 1.0, 0.87106172763241]","[0.42507555701298233, 0.0, 0.1766691561746849, 0.6745416865435714, 1.0, 0.6416897958138845, 0.7255947956677792, 0.9410163975187797]","[0.40056170786916806, 0.7092619795153503, 0.7718487229801466, 0.8410617307333743, 1.0, 0.38036517944183684, 0.04050670992006464, 0.2598091180665219]","[0.39635220702631185, 0.5565932499331935, 0.5473299881032598, 0.0, 0.5747804945393516, 0.5261433911669539, 0.7500549065127352, 1.0]","[0.0, 0.26160649577209844, 0.7898547325672485, 0.9148652811191705, 0.5339313672996355, 0.48769253593889034, 0.6010763815671409, 0.5044970335273289]","[0.11757173821063757, 0.5244198574018922, 1.0, 0.7667692951925362, 0.3408387869692151, 0.33268506968679634, 0.5803222128144729, 0.5930419504786042]","[0.02891827073945398, 0.0, 0.3238910429860962, 0.7216480794986047, 0.7081587466534961, 0.6949196637218616, 0.7601547573358824, 0.6787554523100495]","[0.03075261258614434, 0.36815468707545335, 0.9274953486724016, 1.0, 0.4368083010930674, 0.34665327467586615, 0.35878066682831117, 0.20219025374910726]","[0.0, 0.9026400584565754, 0.4484485599564106, 0.03746347231296007, 0.633461604909884, 0.564069535284014, 0.45126963304727674, 0.39945557463445164]","[0.8391137537465048, 0.3196352497423054, 0.0, 0.4063222771159193, 0.6893921244919569, 0.7534715206365317, 0.6732343121810856, 0.6616597580238495]","[0.8897421828320939, 1.0, 0.4455540268340475, 0.05803646012582433, 0.21806584017867076, 0.3522494624697577, 0.4746455976594385, 0.5353240233438257]","[0.957644990756361, 0.3562896449058789, 0.5133173874156124, 1.0, 0.527046234370326, 0.4749021722944827, 0.5099687015429764, 0.6684377911815957]"
