AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
-0.022157999999999938,0.6719138888888888,1.9461852777777782,132.48343941866924,-327.59450809894247,968.1248765732349,2.5959411666666665,0.6497558888888887,2.6180991666666666,1.9240272777777776,2.1016180493493963,0.7897633144841111,1.385055667626889,0.3187131473689444,773.0138078929616,-195.11106868027332,640.5303684742922,1100.608315991904,73762479.28902619,25062.551528427986,-1186744.1573417278,64776.60526489117
-0.06543061111111119,0.8427530555555555,2.5074578333333335,37.008935536930856,-407.1803534802303,1000.3633018459292,3.2847802777777786,0.7773224444444445,3.350210888888889,2.4420272222222223,5.106534130652254,1.6777198680191665,2.360533590034445,0.35109912220488887,630.1918839026298,-370.17141794329956,593.182948365699,1037.37223738286,146362830.22407308,123502.10840672301,-889813.4328846153,-48933.189058894226
-0.4556287222222222,1.1754410555555557,3.005842111111111,-75.92327405255772,-424.1071796744695,946.0768239968285,3.7256544444444444,0.7198123333333334,4.181283166666667,2.5502133888888885,4.907756579687589,1.7194222128496113,3.819305289058,-1.245720256055333,446.04637026980123,-500.03045372702735,521.969644322359,870.1535499442707,252455744.7946663,175846.85978765672,-608526.8213296469,-112709.87405698029
-1.1322532222222224,1.2305463333333333,3.677747777777778,-266.01889301117603,-546.8434929133618,942.4851743960736,3.7760408888888883,0.09829311111111093,4.908294111111111,2.5454945555555555,0.7030012159530535,0.47489200674755566,4.668077141294778,-3.9454916625693337,129.62278847153576,-812.862385924538,395.6416814827118,676.4662813848976,78501389.70517735,133429.4373299954,-561991.2896082025,-113621.52964441259
-2.1265672222222225,-0.23908983333333333,4.9045715,-583.6342270233139,-814.4208311272938,946.5221395275997,2.5389144444444445,-2.365657055555556,4.665481666666667,2.7780042777777774,3.985154901516291,0.8131985845391112,-1.4233022385602778,-9.694817923944779,-451.53291862300813,-1398.0550581506077,132.10130840030573,362.88791250428585,323177768.1316009,373313.41404604114,-1009344.6594912624,-355329.31973767054
-3.900237333333333,0.2960892777777779,5.255197944444444,-948.925060858401,-834.4176947971318,571.4364330298077,1.6510498888888883,-3.6041480555555556,5.551287222222221,1.354960611111111,-2.859109364647267,-1.1305909351960555,0.8319407350076663,-20.476875940573503,-1211.9063226257251,-1783.3427556555332,-262.98126176732416,-377.4886278285933,546738254.5294195,781525.9829655015,-602919.4494404664,-524265.0982944045
-7.370916277777778,0.6546182777777777,4.767668666666666,-932.8591651279895,-966.5325313676004,-126.75561217173515,-1.9486293333333335,-6.716297999999999,5.422286944444444,-2.603247611111111,-1.8601422989084166,-4.0058863165366665,0.7267864104835556,-36.88570747880089,-2026.1473086673252,-1899.3916964955904,-1093.2881435393356,-1059.6147772997247,2517961.040732821,877925.7346259617,159538.7925172771,-33018.09045593879
-11.744043111111111,4.118102333333334,2.711582111111111,-381.1471225054467,-1286.2374106275918,-599.8029368469624,-4.914358666666667,-7.625940777777778,6.829684444444443,-9.032461,-121.73418111593908,-48.03036082548422,8.581513130879555,-38.01882468158144,-2267.1874699800005,-1667.3845331330383,-1886.0403474745538,-980.9500593524091,-361492868.29893535,508248.6253770551,775832.5533733997,243789.98977060584
-12.437764555555555,8.038498388888888,1.3322847777777778,489.4291429676761,-1353.9704121536975,-607.3097980477779,-3.0669813888888897,-4.399266166666668,9.370783166666666,-11.105479777777779,-254.68593698828894,-106.73945300675429,16.29190871198872,-25.64825545303478,-1471.851067233799,-864.5412691860212,-1961.280210201475,-117.8806550801017,458312925.5029319,-685385.4866068766,1019037.1898662326,-238511.9463056873
-9.814318333333334,7.032992944444445,3.5623974444444446,1252.7069655268772,-1178.774401502513,60.19733328059059,0.7810720555555557,-2.7813253888888894,10.59539038888889,-6.251920888888889,-96.09913871675458,-82.33888326256174,17.855135552294442,-26.363376995372334,134.12989730495508,73.93256402436441,-1118.5770682219222,1312.9042988074682,45802070.841034256,-1419828.8457527533,-203949.39577779084,-112571.7933616335
-5.871056333333333,2.1260738333333333,11.390608555555554,597.8757296410627,-984.1829737114348,900.4943708304805,7.645626055555556,-3.7449825000000003,13.516682388888889,5.519552222222223,-111.2909586916068,-13.575474504489057,19.583866357388832,-68.61711789635734,514.1871267601084,-386.30724407037206,-83.6886028809542,1498.370100471543,-327467376.77508664,-486199.9723997402,-1058728.416138206,277759.76005982765
-9.283359944444443,-3.1122507222222224,2.974728666666666,-525.1433530425544,-701.6628962004911,582.8776044238548,-9.420882,-12.395610666666665,-0.1375220555555554,-6.308631277777778,-329.34177204977084,31.375033259688504,23.553661791929667,-24.24420462813011,-643.9286448191907,-1226.8062492430456,-118.78529177663631,57.73425138130043,213836676.3970203,164225.06597565362,-705738.5946123836,-101560.91682741232
-5.59104138888889,1.5198212222222223,2.482593666666667,-631.2731212093523,-611.6230561605112,458.3921783603828,-1.5886265000000002,-4.0712201666666665,4.002414888888889,-3.108447722222222,-77.43717140290543,-18.112796515501056,8.077065166809334,-27.998977084858723,-784.5039990094806,-1242.8961773698634,-153.2308778001285,-172.88094284896945,150812639.085333,311463.7919747526,-409758.86346190586,-143381.75082780488
-8.076534333333333,2.3815829999999996,0.8879686666666666,-456.2927655060575,-297.93502952410944,314.43350838984423,-4.806982666666667,-5.694951333333333,3.2695516666666666,-7.188565666666666,13.051919887076972,-6.524300565494445,-0.4115676018933332,-10.713062993152443,-439.7942866403226,-754.2277950301668,16.498478865734842,-141.85925711621314,48364257.22193249,127098.37872944989,-139779.75149016405,-115257.52267430723
-6.33106611111111,-3.177379944444444,-1.6389781666666667,-538.1278499197635,-190.99977819032338,-4.287315857009394,-11.147424222222222,-9.508446055555554,-4.816358111111111,-7.970044277777778,-31.095731220821037,23.228543304850664,5.065940758180555,8.582636948819111,-733.4149439670964,-729.1276281100869,-195.28709404733277,-542.4151657767729,1305116.7713584,100502.89389881892,-5936.411937598365,11838.626496630712
