x,y,z,p,r,w
0.5477123333333334,0.8440470000000001,1.8547383333333334,-1.272351,-0.9001286666666667,-0.337763
1.2140576666666667,1.2157676666666666,2.256653666666667,-1.2389866666666667,-2.2693879999999997,0.5017343333333333
1.7380403333333334,1.1949863333333335,2.669007666666667,-1.0422209999999998,-1.8318106666666667,1.018436
2.242324,1.1270136666666668,2.921538333333333,-0.7578703333333334,-1.623782,1.2601903333333333
2.9111580000000004,0.7397143333333333,2.973198333333333,-0.4246006666666666,-1.4854500000000002,1.359125
3.6457900000000003,0.15073466666666666,3.081664,-0.07226899999999999,-1.311461,1.347554
5.116632666666667,-1.347556,2.899585333333333,0.23108166666666666,-1.0292866666666667,1.2201106666666668
7.986704333333333,-3.6605613333333333,1.1497403333333334,0.371202,-0.7043493333333334,0.9689420000000001
6.916022666666666,-4.551626333333334,-2.0790926666666665,0.3215403333333333,-0.48522766666666667,0.6969796666666667
1.6815133333333332,-3.188117,2.2220453333333334,-0.05161133333333332,-0.26670666666666665,0.48009133333333337
1.930592,-4.036415,8.639988333333333,-0.5535096666666667,-0.092802,0.468663
4.0497803333333335,3.2699200000000004,3.959545,-0.6363986666666667,0.200732,0.750444
3.592655,-2.0522776666666664,2.081493,-0.5552133333333332,0.5323713333333333,1.082645
6.99652,-2.319513666666667,1.484027,-0.4546973333333333,0.7461583333333334,1.346358333333333
