AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[0.9282394993076253, 0.9201687321334394, 0.9228652944159337, 0.9344539512370227, 0.9431374644453933, 0.9509731399218072, 0.9860300039363867, 1.0]","[0.6700627004366287, 0.6781814806725789, 0.7080412237103976, 0.7133451636739402, 0.6930968886998715, 0.7157264135214177, 0.7773950758612003, 0.7971926932547446]","[0.0, 0.01688259878764951, 0.03677477503993163, 0.07220420479430541, 0.12806997331680656, 0.21253396273864875, 0.31066546573591847, 0.450335001848663]","[0.005959834099034253, 0.0, 0.0036597013006077366, 0.011640542790289879, 0.02627729066860019, 0.0449547707149265, 0.11506009781191644, 0.1810483401442173]","[0.9910010718845971, 0.9958738200223405, 1.0, 0.9996910394015998, 0.9876163116238054, 0.9611782435606148, 0.9255128518880734, 0.8693436776776358]","[0.0, 0.05085580161909537, 0.09746245066962504, 0.13577394483505614, 0.1609700490704737, 0.14765474209883592, 0.13777507876315043, 0.20803839648133818]","[0.6076144601584923, 0.6132941480566824, 0.6356967517808485, 0.6709086014203274, 0.7112141729290293, 0.7794168928478723, 0.8902968088852101, 1.0]","[0.8960229218337932, 0.8899465907667756, 0.9001395740526744, 0.9131151044215035, 0.9167675198806806, 0.9303132666487222, 0.9809990904718147, 1.0]","[0.0, 0.021625357887210827, 0.05475160543440308, 0.0957131977286045, 0.1495224629550314, 0.25093707446123253, 0.38209083158404195, 0.5431504257832304]","[0.6304608223711704, 0.634235548027591, 0.6496071619644338, 0.6830582554115784, 0.727222120590263, 0.789256837101265, 0.8845569109211354, 0.9880439715680237]","[0.6305719834562359, 0.6306743255182631, 0.6305053875273474, 0.6299439850611847, 0.6314752062939364, 0.6525708610267147, 0.6902690217546563, 0.7998907231923061]","[0.549588951471581, 0.5499181885872434, 0.5481749729812927, 0.5461543632908085, 0.5518151017656943, 0.5720619807480822, 0.6183396700380221, 0.7101730335419918]","[0.5855509971233268, 0.5834013397538654, 0.5855951140246513, 0.581381809040579, 0.5570443533533104, 0.525897750130495, 0.577105703883888, 0.6132489365265876]","[0.9960125568905662, 0.9950376786557009, 0.9958029451915521, 1.0, 0.9974859906294615, 0.9794922187973746, 0.9900508451941258, 0.9968575124345085]","[0.9407457655960917, 0.9555138743317474, 0.9792524774468003, 0.997981686671286, 1.0, 0.9710053294640695, 0.987220811946294, 0.9820847078519218]","[0.9778388301240063, 0.9795478127684458, 0.9911982451403103, 1.0, 0.9956106701629608, 0.9703311243464874, 0.9888588294065257, 0.9659807689516681]","[0.9700511294337809, 0.9830010114034173, 0.9945054648543132, 1.0, 0.9909029221186614, 0.9605715446797505, 0.9208830350551431, 0.871427385782684]","[0.0, 0.004365418208064952, 0.01627455810301673, 0.030375275247427325, 0.04778830156578745, 0.06148592208442583, 0.12041582164630739, 0.19079853258040386]","[0.8977315109809653, 0.8938811026840993, 0.8871182424701578, 0.8849977516592628, 0.8821820484383411, 0.8776850978276478, 0.9238372414479297, 0.9933342406013059]","[1.0, 0.9972571644643341, 0.9964791207770911, 0.9962499478524894, 0.9954601193482746, 0.9976991704260414, 0.9819865195912876, 0.9820747170382396]","[0.8543719238570148, 0.862103454629059, 0.8725383573247949, 0.8775822120362317, 0.8763281695534244, 0.8917692881911699, 0.9452709972346881, 1.0]","[0.2588028578419289, 0.23429320259638925, 0.20427686922010668, 0.18623050841704075, 0.16453398864501348, 0.14773274166509334, 0.08974480250578742, 0.016287779030368092]"
"[0.9201687321334394, 0.9228652944159337, 0.9344539512370227, 0.9431374644453933, 0.9509731399218072, 0.9860300039363867, 1.0, 0.9028655123812727]","[0.6781814806725789, 0.7080412237103976, 0.7133451636739402, 0.6930968886998715, 0.7157264135214177, 0.7773950758612003, 0.7971926932547446, 0.7754034229130427]","[0.01688259878764951, 0.03677477503993163, 0.07220420479430541, 0.12806997331680656, 0.21253396273864875, 0.31066546573591847, 0.450335001848663, 0.537214467931334]","[0.0, 0.0036597013006077366, 0.011640542790289879, 0.02627729066860019, 0.0449547707149265, 0.11506009781191644, 0.1810483401442173, 0.2434743314468914]","[0.9958738200223405, 1.0, 0.9996910394015998, 0.9876163116238054, 0.9611782435606148, 0.9255128518880734, 0.8693436776776358, 0.7732179603158685]","[0.05085580161909537, 0.09746245066962504, 0.13577394483505614, 0.1609700490704737, 0.14765474209883592, 0.13777507876315043, 0.20803839648133818, 0.42565804623951714]","[0.6132941480566824, 0.6356967517808485, 0.6709086014203274, 0.7112141729290293, 0.7794168928478723, 0.8902968088852101, 1.0, 0.9642145107653536]","[0.8899465907667756, 0.9001395740526744, 0.9131151044215035, 0.9167675198806806, 0.9303132666487222, 0.9809990904718147, 1.0, 0.8969215483120633]","[0.021625357887210827, 0.05475160543440308, 0.0957131977286045, 0.1495224629550314, 0.25093707446123253, 0.38209083158404195, 0.5431504257832304, 0.6304862128446723]","[0.634235548027591, 0.6496071619644338, 0.6830582554115784, 0.727222120590263, 0.789256837101265, 0.8845569109211354, 0.9880439715680237, 0.9577076967359262]","[0.6306743255182631, 0.6305053875273474, 0.6299439850611847, 0.6314752062939364, 0.6525708610267147, 0.6902690217546563, 0.7998907231923061, 0.6611966678364255]","[0.5499181885872434, 0.5481749729812927, 0.5461543632908085, 0.5518151017656943, 0.5720619807480822, 0.6183396700380221, 0.7101730335419918, 0.5993422845657854]","[0.5834013397538654, 0.5855951140246513, 0.581381809040579, 0.5570443533533104, 0.525897750130495, 0.577105703883888, 0.6132489365265876, 0.6690138181163374]","[0.9950376786557009, 0.9958029451915521, 1.0, 0.9974859906294615, 0.9794922187973746, 0.9900508451941258, 0.9968575124345085, 0.9536826852049467]","[0.9555138743317474, 0.9792524774468003, 0.997981686671286, 1.0, 0.9710053294640695, 0.987220811946294, 0.9820847078519218, 0.9383683185859976]","[0.9795478127684458, 0.9911982451403103, 1.0, 0.9956106701629608, 0.9703311243464874, 0.9888588294065257, 0.9659807689516681, 0.8676414601023823]","[0.9830010114034173, 0.9945054648543132, 1.0, 0.9909029221186614, 0.9605715446797505, 0.9208830350551431, 0.871427385782684, 0.801596793138035]","[0.004365418208064952, 0.01627455810301673, 0.030375275247427325, 0.04778830156578745, 0.06148592208442583, 0.12041582164630739, 0.19079853258040386, 0.285713864321471]","[0.8938811026840993, 0.8871182424701578, 0.8849977516592628, 0.8821820484383411, 0.8776850978276478, 0.9238372414479297, 0.9933342406013059, 0.9808464140254457]","[0.9972571644643341, 0.9964791207770911, 0.9962499478524894, 0.9954601193482746, 0.9976991704260414, 0.9819865195912876, 0.9820747170382396, 0.9557364053444714]","[0.862103454629059, 0.8725383573247949, 0.8775822120362317, 0.8763281695534244, 0.8917692881911699, 0.9452709972346881, 1.0, 0.9227416719820088]","[0.23429320259638925, 0.20427686922010668, 0.18623050841704075, 0.16453398864501348, 0.14773274166509334, 0.08974480250578742, 0.016287779030368092, 0.0]"
"[0.9228652944159337, 0.9344539512370227, 0.9431374644453933, 0.9509731399218072, 0.9860300039363867, 1.0, 0.9028655123812727, 0.7521263809176032]","[0.7080412237103976, 0.7133451636739402, 0.6930968886998715, 0.7157264135214177, 0.7773950758612003, 0.7971926932547446, 0.7754034229130427, 0.6121667978813997]","[0.03677477503993163, 0.07220420479430541, 0.12806997331680656, 0.21253396273864875, 0.31066546573591847, 0.450335001848663, 0.537214467931334, 0.7398743212913191]","[0.0036597013006077366, 0.011640542790289879, 0.02627729066860019, 0.0449547707149265, 0.11506009781191644, 0.1810483401442173, 0.2434743314468914, 0.2828657244879048]","[1.0, 0.9996910394015998, 0.9876163116238054, 0.9611782435606148, 0.9255128518880734, 0.8693436776776358, 0.7732179603158685, 0.5848500266931027]","[0.09746245066962504, 0.13577394483505614, 0.1609700490704737, 0.14765474209883592, 0.13777507876315043, 0.20803839648133818, 0.42565804623951714, 0.5733744369365982]","[0.6356967517808485, 0.6709086014203274, 0.7112141729290293, 0.7794168928478723, 0.8902968088852101, 1.0, 0.9642145107653536, 0.9242415485430565]","[0.9001395740526744, 0.9131151044215035, 0.9167675198806806, 0.9303132666487222, 0.9809990904718147, 1.0, 0.8969215483120633, 0.7045242402053754]","[0.05475160543440308, 0.0957131977286045, 0.1495224629550314, 0.25093707446123253, 0.38209083158404195, 0.5431504257832304, 0.6304862128446723, 0.791858993173106]","[0.6496071619644338, 0.6830582554115784, 0.727222120590263, 0.789256837101265, 0.8845569109211354, 0.9880439715680237, 0.9577076967359262, 0.9548196040481801]","[0.6305053875273474, 0.6299439850611847, 0.6314752062939364, 0.6525708610267147, 0.6902690217546563, 0.7998907231923061, 0.6611966678364255, 0.6403306969713874]","[0.5481749729812927, 0.5461543632908085, 0.5518151017656943, 0.5720619807480822, 0.6183396700380221, 0.7101730335419918, 0.5993422845657854, 0.5305093675031242]","[0.5855951140246513, 0.581381809040579, 0.5570443533533104, 0.525897750130495, 0.577105703883888, 0.6132489365265876, 0.6690138181163374, 0.4577789761078811]","[0.9958029451915521, 1.0, 0.9974859906294615, 0.9794922187973746, 0.9900508451941258, 0.9968575124345085, 0.9536826852049467, 0.7632217089679268]","[0.9792524774468003, 0.997981686671286, 1.0, 0.9710053294640695, 0.987220811946294, 0.9820847078519218, 0.9383683185859976, 0.6828823804421221]","[0.9911982451403103, 1.0, 0.9956106701629608, 0.9703311243464874, 0.9888588294065257, 0.9659807689516681, 0.8676414601023823, 0.5777377415517295]","[0.9945054648543132, 1.0, 0.9909029221186614, 0.9605715446797505, 0.9208830350551431, 0.871427385782684, 0.801596793138035, 0.6223752111810048]","[0.01627455810301673, 0.030375275247427325, 0.04778830156578745, 0.06148592208442583, 0.12041582164630739, 0.19079853258040386, 0.285713864321471, 0.3475550724582318]","[0.8871182424701578, 0.8849977516592628, 0.8821820484383411, 0.8776850978276478, 0.9238372414479297, 0.9933342406013059, 0.9808464140254457, 0.6251660618945863]","[0.9964791207770911, 0.9962499478524894, 0.9954601193482746, 0.9976991704260414, 0.9819865195912876, 0.9820747170382396, 0.9557364053444714, 0.9199118948488181]","[0.8725383573247949, 0.8775822120362317, 0.8763281695534244, 0.8917692881911699, 0.9452709972346881, 1.0, 0.9227416719820088, 0.6896140374187477]","[0.20427686922010668, 0.18623050841704075, 0.16453398864501348, 0.14773274166509334, 0.08974480250578742, 0.016287779030368092, 0.0, 0.2199423058734377]"
"[0.9344539512370227, 0.9431374644453933, 0.9509731399218072, 0.9860300039363867, 1.0, 0.9028655123812727, 0.7521263809176032, 0.6132689973005346]","[0.7133451636739402, 0.6930968886998715, 0.7157264135214177, 0.7773950758612003, 0.7971926932547446, 0.7754034229130427, 0.6121667978813997, 0.40532302564982214]","[0.07220420479430541, 0.12806997331680656, 0.21253396273864875, 0.31066546573591847, 0.450335001848663, 0.537214467931334, 0.7398743212913191, 1.0]","[0.011640542790289879, 0.02627729066860019, 0.0449547707149265, 0.11506009781191644, 0.1810483401442173, 0.2434743314468914, 0.2828657244879048, 0.3085060602793064]","[0.9996910394015998, 0.9876163116238054, 0.9611782435606148, 0.9255128518880734, 0.8693436776776358, 0.7732179603158685, 0.5848500266931027, 0.34052257787482165]","[0.13577394483505614, 0.1609700490704737, 0.14765474209883592, 0.13777507876315043, 0.20803839648133818, 0.42565804623951714, 0.5733744369365982, 0.31010762760275234]","[0.6709086014203274, 0.7112141729290293, 0.7794168928478723, 0.8902968088852101, 1.0, 0.9642145107653536, 0.9242415485430565, 0.9232439448557278]","[0.9131151044215035, 0.9167675198806806, 0.9303132666487222, 0.9809990904718147, 1.0, 0.8969215483120633, 0.7045242402053754, 0.5131396516339416]","[0.0957131977286045, 0.1495224629550314, 0.25093707446123253, 0.38209083158404195, 0.5431504257832304, 0.6304862128446723, 0.791858993173106, 1.0]","[0.6830582554115784, 0.727222120590263, 0.789256837101265, 0.8845569109211354, 0.9880439715680237, 0.9577076967359262, 0.9548196040481801, 1.0]","[0.6299439850611847, 0.6314752062939364, 0.6525708610267147, 0.6902690217546563, 0.7998907231923061, 0.6611966678364255, 0.6403306969713874, 0.6564814919870753]","[0.5461543632908085, 0.5518151017656943, 0.5720619807480822, 0.6183396700380221, 0.7101730335419918, 0.5993422845657854, 0.5305093675031242, 0.5724394555794725]","[0.581381809040579, 0.5570443533533104, 0.525897750130495, 0.577105703883888, 0.6132489365265876, 0.6690138181163374, 0.4577789761078811, 0.23108240151392612]","[1.0, 0.9974859906294615, 0.9794922187973746, 0.9900508451941258, 0.9968575124345085, 0.9536826852049467, 0.7632217089679268, 0.3347294130334609]","[0.997981686671286, 1.0, 0.9710053294640695, 0.987220811946294, 0.9820847078519218, 0.9383683185859976, 0.6828823804421221, 0.204691211231015]","[1.0, 0.9956106701629608, 0.9703311243464874, 0.9888588294065257, 0.9659807689516681, 0.8676414601023823, 0.5777377415517295, 0.17188129312890948]","[1.0, 0.9909029221186614, 0.9605715446797505, 0.9208830350551431, 0.871427385782684, 0.801596793138035, 0.6223752111810048, 0.32074803353491116]","[0.030375275247427325, 0.04778830156578745, 0.06148592208442583, 0.12041582164630739, 0.19079853258040386, 0.285713864321471, 0.3475550724582318, 0.3204375311193616]","[0.8849977516592628, 0.8821820484383411, 0.8776850978276478, 0.9238372414479297, 0.9933342406013059, 0.9808464140254457, 0.6251660618945863, 0.7867084622191859]","[0.9962499478524894, 0.9954601193482746, 0.9976991704260414, 0.9819865195912876, 0.9820747170382396, 0.9557364053444714, 0.9199118948488181, 0.9381663014590932]","[0.8775822120362317, 0.8763281695534244, 0.8917692881911699, 0.9452709972346881, 1.0, 0.9227416719820088, 0.6896140374187477, 0.7630758482286583]","[0.18623050841704075, 0.16453398864501348, 0.14773274166509334, 0.08974480250578742, 0.016287779030368092, 0.0, 0.2199423058734377, 0.20282316744349657]"
"[0.9431374644453933, 0.9509731399218072, 0.9860300039363867, 1.0, 0.9028655123812727, 0.7521263809176032, 0.6132689973005346, 0.41814736479813147]","[0.6930968886998715, 0.7157264135214177, 0.7773950758612003, 0.7971926932547446, 0.7754034229130427, 0.6121667978813997, 0.40532302564982214, 0.0]","[0.12806997331680656, 0.21253396273864875, 0.31066546573591847, 0.450335001848663, 0.537214467931334, 0.7398743212913191, 1.0, 0.7762266028623495]","[0.02627729066860019, 0.0449547707149265, 0.11506009781191644, 0.1810483401442173, 0.2434743314468914, 0.2828657244879048, 0.3085060602793064, 0.44637609939274464]","[0.9876163116238054, 0.9611782435606148, 0.9255128518880734, 0.8693436776776358, 0.7732179603158685, 0.5848500266931027, 0.34052257787482165, 0.15361898714861155]","[0.1609700490704737, 0.14765474209883592, 0.13777507876315043, 0.20803839648133818, 0.42565804623951714, 0.5733744369365982, 0.31010762760275234, 0.19012637152517137]","[0.7112141729290293, 0.7794168928478723, 0.8902968088852101, 1.0, 0.9642145107653536, 0.9242415485430565, 0.9232439448557278, 0.5055432082209866]","[0.9167675198806806, 0.9303132666487222, 0.9809990904718147, 1.0, 0.8969215483120633, 0.7045242402053754, 0.5131396516339416, 0.2154708877722313]","[0.1495224629550314, 0.25093707446123253, 0.38209083158404195, 0.5431504257832304, 0.6304862128446723, 0.791858993173106, 1.0, 0.6011971610367786]","[0.727222120590263, 0.789256837101265, 0.8845569109211354, 0.9880439715680237, 0.9577076967359262, 0.9548196040481801, 1.0, 0.679601308127183]","[0.6314752062939364, 0.6525708610267147, 0.6902690217546563, 0.7998907231923061, 0.6611966678364255, 0.6403306969713874, 0.6564814919870753, 1.0]","[0.5518151017656943, 0.5720619807480822, 0.6183396700380221, 0.7101730335419918, 0.5993422845657854, 0.5305093675031242, 0.5724394555794725, 1.0]","[0.5570443533533104, 0.525897750130495, 0.577105703883888, 0.6132489365265876, 0.6690138181163374, 0.4577789761078811, 0.23108240151392612, 0.0]","[0.9974859906294615, 0.9794922187973746, 0.9900508451941258, 0.9968575124345085, 0.9536826852049467, 0.7632217089679268, 0.3347294130334609, 0.2272110018984374]","[1.0, 0.9710053294640695, 0.987220811946294, 0.9820847078519218, 0.9383683185859976, 0.6828823804421221, 0.204691211231015, 0.0]","[0.9956106701629608, 0.9703311243464874, 0.9888588294065257, 0.9659807689516681, 0.8676414601023823, 0.5777377415517295, 0.17188129312890948, 0.0]","[0.9909029221186614, 0.9605715446797505, 0.9208830350551431, 0.871427385782684, 0.801596793138035, 0.6223752111810048, 0.32074803353491116, 0.10239037388227264]","[0.04778830156578745, 0.06148592208442583, 0.12041582164630739, 0.19079853258040386, 0.285713864321471, 0.3475550724582318, 0.3204375311193616, 0.4174819639468967]","[0.8821820484383411, 0.8776850978276478, 0.9238372414479297, 0.9933342406013059, 0.9808464140254457, 0.6251660618945863, 0.7867084622191859, 0.8469851635987092]","[0.9954601193482746, 0.9976991704260414, 0.9819865195912876, 0.9820747170382396, 0.9557364053444714, 0.9199118948488181, 0.9381663014590932, 0.7806356146473397]","[0.8763281695534244, 0.8917692881911699, 0.9452709972346881, 1.0, 0.9227416719820088, 0.6896140374187477, 0.7630758482286583, 0.840475380802449]","[0.16453398864501348, 0.14773274166509334, 0.08974480250578742, 0.016287779030368092, 0.0, 0.2199423058734377, 0.20282316744349657, 0.19147769476001467]"
"[0.9509731399218072, 0.9860300039363867, 1.0, 0.9028655123812727, 0.7521263809176032, 0.6132689973005346, 0.41814736479813147, 0.14908234416986646]","[0.7157264135214177, 0.7773950758612003, 0.7971926932547446, 0.7754034229130427, 0.6121667978813997, 0.40532302564982214, 0.0, 0.25617513560592037]","[0.21253396273864875, 0.31066546573591847, 0.450335001848663, 0.537214467931334, 0.7398743212913191, 1.0, 0.7762266028623495, 0.4813753622054759]","[0.0449547707149265, 0.11506009781191644, 0.1810483401442173, 0.2434743314468914, 0.2828657244879048, 0.3085060602793064, 0.44637609939274464, 0.7381587821310129]","[0.9611782435606148, 0.9255128518880734, 0.8693436776776358, 0.7732179603158685, 0.5848500266931027, 0.34052257787482165, 0.15361898714861155, 0.08205200371733642]","[0.14765474209883592, 0.13777507876315043, 0.20803839648133818, 0.42565804623951714, 0.5733744369365982, 0.31010762760275234, 0.19012637152517137, 0.11942793815460448]","[0.7794168928478723, 0.8902968088852101, 1.0, 0.9642145107653536, 0.9242415485430565, 0.9232439448557278, 0.5055432082209866, 0.12357705452165864]","[0.9303132666487222, 0.9809990904718147, 1.0, 0.8969215483120633, 0.7045242402053754, 0.5131396516339416, 0.2154708877722313, 0.009265414222282687]","[0.25093707446123253, 0.38209083158404195, 0.5431504257832304, 0.6304862128446723, 0.791858993173106, 1.0, 0.6011971610367786, 0.3734530371033683]","[0.789256837101265, 0.8845569109211354, 0.9880439715680237, 0.9577076967359262, 0.9548196040481801, 1.0, 0.679601308127183, 0.24672397822606873]","[0.6525708610267147, 0.6902690217546563, 0.7998907231923061, 0.6611966678364255, 0.6403306969713874, 0.6564814919870753, 1.0, 0.8250507427910989]","[0.5720619807480822, 0.6183396700380221, 0.7101730335419918, 0.5993422845657854, 0.5305093675031242, 0.5724394555794725, 1.0, 0.9598803724707002]","[0.525897750130495, 0.577105703883888, 0.6132489365265876, 0.6690138181163374, 0.4577789761078811, 0.23108240151392612, 0.0, 0.37806593264250216]","[0.9794922187973746, 0.9900508451941258, 0.9968575124345085, 0.9536826852049467, 0.7632217089679268, 0.3347294130334609, 0.2272110018984374, 0.24806674375244542]","[0.9710053294640695, 0.987220811946294, 0.9820847078519218, 0.9383683185859976, 0.6828823804421221, 0.204691211231015, 0.0, 0.1986927558108133]","[0.9703311243464874, 0.9888588294065257, 0.9659807689516681, 0.8676414601023823, 0.5777377415517295, 0.17188129312890948, 0.0, 0.21426551808613775]","[0.9605715446797505, 0.9208830350551431, 0.871427385782684, 0.801596793138035, 0.6223752111810048, 0.32074803353491116, 0.10239037388227264, 0.0150150739439472]","[0.06148592208442583, 0.12041582164630739, 0.19079853258040386, 0.285713864321471, 0.3475550724582318, 0.3204375311193616, 0.4174819639468967, 0.657207475130035]","[0.8776850978276478, 0.9238372414479297, 0.9933342406013059, 0.9808464140254457, 0.6251660618945863, 0.7867084622191859, 0.8469851635987092, 1.0]","[0.9976991704260414, 0.9819865195912876, 0.9820747170382396, 0.9557364053444714, 0.9199118948488181, 0.9381663014590932, 0.7806356146473397, 0.429165463967572]","[0.8917692881911699, 0.9452709972346881, 1.0, 0.9227416719820088, 0.6896140374187477, 0.7630758482286583, 0.840475380802449, 0.953780649841279]","[0.14773274166509334, 0.08974480250578742, 0.016287779030368092, 0.0, 0.2199423058734377, 0.20282316744349657, 0.19147769476001467, 0.14486184037850341]"
"[0.9860300039363867, 1.0, 0.9028655123812727, 0.7521263809176032, 0.6132689973005346, 0.41814736479813147, 0.14908234416986646, 0.0]","[0.7773950758612003, 0.7971926932547446, 0.7754034229130427, 0.6121667978813997, 0.40532302564982214, 0.0, 0.25617513560592037, 0.8170537318278421]","[0.31066546573591847, 0.450335001848663, 0.537214467931334, 0.7398743212913191, 1.0, 0.7762266028623495, 0.4813753622054759, 0.3074482994547818]","[0.11506009781191644, 0.1810483401442173, 0.2434743314468914, 0.2828657244879048, 0.3085060602793064, 0.44637609939274464, 0.7381587821310129, 1.0]","[0.9255128518880734, 0.8693436776776358, 0.7732179603158685, 0.5848500266931027, 0.34052257787482165, 0.15361898714861155, 0.08205200371733642, 0.0]","[0.13777507876315043, 0.20803839648133818, 0.42565804623951714, 0.5733744369365982, 0.31010762760275234, 0.19012637152517137, 0.11942793815460448, 0.5984521542216696]","[0.8902968088852101, 1.0, 0.9642145107653536, 0.9242415485430565, 0.9232439448557278, 0.5055432082209866, 0.12357705452165864, 0.0]","[0.9809990904718147, 1.0, 0.8969215483120633, 0.7045242402053754, 0.5131396516339416, 0.2154708877722313, 0.009265414222282687, 0.0]","[0.38209083158404195, 0.5431504257832304, 0.6304862128446723, 0.791858993173106, 1.0, 0.6011971610367786, 0.3734530371033683, 0.39349457278289307]","[0.8845569109211354, 0.9880439715680237, 0.9577076967359262, 0.9548196040481801, 1.0, 0.679601308127183, 0.24672397822606873, 0.0]","[0.6902690217546563, 0.7998907231923061, 0.6611966678364255, 0.6403306969713874, 0.6564814919870753, 1.0, 0.8250507427910989, 0.38766390912448245]","[0.6183396700380221, 0.7101730335419918, 0.5993422845657854, 0.5305093675031242, 0.5724394555794725, 1.0, 0.9598803724707002, 0.29298026790745624]","[0.577105703883888, 0.6132489365265876, 0.6690138181163374, 0.4577789761078811, 0.23108240151392612, 0.0, 0.37806593264250216, 0.733156422703424]","[0.9900508451941258, 0.9968575124345085, 0.9536826852049467, 0.7632217089679268, 0.3347294130334609, 0.2272110018984374, 0.24806674375244542, 0.3526168164767771]","[0.987220811946294, 0.9820847078519218, 0.9383683185859976, 0.6828823804421221, 0.204691211231015, 0.0, 0.1986927558108133, 0.4838905195688234]","[0.9888588294065257, 0.9659807689516681, 0.8676414601023823, 0.5777377415517295, 0.17188129312890948, 0.0, 0.21426551808613775, 0.3747354482906963]","[0.9208830350551431, 0.871427385782684, 0.801596793138035, 0.6223752111810048, 0.32074803353491116, 0.10239037388227264, 0.0150150739439472, 0.0]","[0.12041582164630739, 0.19079853258040386, 0.285713864321471, 0.3475550724582318, 0.3204375311193616, 0.4174819639468967, 0.657207475130035, 0.9740159572540747]","[0.9238372414479297, 0.9933342406013059, 0.9808464140254457, 0.6251660618945863, 0.7867084622191859, 0.8469851635987092, 1.0, 0.007010265402492378]","[0.9819865195912876, 0.9820747170382396, 0.9557364053444714, 0.9199118948488181, 0.9381663014590932, 0.7806356146473397, 0.429165463967572, 0.0]","[0.9452709972346881, 1.0, 0.9227416719820088, 0.6896140374187477, 0.7630758482286583, 0.840475380802449, 0.953780649841279, 0.4498466953323916]","[0.08974480250578742, 0.016287779030368092, 0.0, 0.2199423058734377, 0.20282316744349657, 0.19147769476001467, 0.14486184037850341, 1.0]"
"[1.0, 0.9028655123812727, 0.7521263809176032, 0.6132689973005346, 0.41814736479813147, 0.14908234416986646, 0.0, 0.003557891234578898]","[0.7971926932547446, 0.7754034229130427, 0.6121667978813997, 0.40532302564982214, 0.0, 0.25617513560592037, 0.8170537318278421, 1.0]","[0.450335001848663, 0.537214467931334, 0.7398743212913191, 1.0, 0.7762266028623495, 0.4813753622054759, 0.3074482994547818, 0.47316675441232603]","[0.1810483401442173, 0.2434743314468914, 0.2828657244879048, 0.3085060602793064, 0.44637609939274464, 0.7381587821310129, 1.0, 0.9431563271438601]","[0.8693436776776358, 0.7732179603158685, 0.5848500266931027, 0.34052257787482165, 0.15361898714861155, 0.08205200371733642, 0.0, 0.07058457139117619]","[0.20803839648133818, 0.42565804623951714, 0.5733744369365982, 0.31010762760275234, 0.19012637152517137, 0.11942793815460448, 0.5984521542216696, 1.0]","[1.0, 0.9642145107653536, 0.9242415485430565, 0.9232439448557278, 0.5055432082209866, 0.12357705452165864, 0.0, 0.15449794483570564]","[1.0, 0.8969215483120633, 0.7045242402053754, 0.5131396516339416, 0.2154708877722313, 0.009265414222282687, 0.0, 0.049422840600423325]","[0.5431504257832304, 0.6304862128446723, 0.791858993173106, 1.0, 0.6011971610367786, 0.3734530371033683, 0.39349457278289307, 0.6446691907376864]","[0.9880439715680237, 0.9577076967359262, 0.9548196040481801, 1.0, 0.679601308127183, 0.24672397822606873, 0.0, 0.11113755650810524]","[0.7998907231923061, 0.6611966678364255, 0.6403306969713874, 0.6564814919870753, 1.0, 0.8250507427910989, 0.38766390912448245, 0.0]","[0.7101730335419918, 0.5993422845657854, 0.5305093675031242, 0.5724394555794725, 1.0, 0.9598803724707002, 0.29298026790745624, 0.0]","[0.6132489365265876, 0.6690138181163374, 0.4577789761078811, 0.23108240151392612, 0.0, 0.37806593264250216, 0.733156422703424, 1.0]","[0.9968575124345085, 0.9536826852049467, 0.7632217089679268, 0.3347294130334609, 0.2272110018984374, 0.24806674375244542, 0.3526168164767771, 0.0]","[0.9820847078519218, 0.9383683185859976, 0.6828823804421221, 0.204691211231015, 0.0, 0.1986927558108133, 0.4838905195688234, 0.646862328385766]","[0.9659807689516681, 0.8676414601023823, 0.5777377415517295, 0.17188129312890948, 0.0, 0.21426551808613775, 0.3747354482906963, 0.43404882447822796]","[0.871427385782684, 0.801596793138035, 0.6223752111810048, 0.32074803353491116, 0.10239037388227264, 0.0150150739439472, 0.0, 0.13662971522010744]","[0.19079853258040386, 0.285713864321471, 0.3475550724582318, 0.3204375311193616, 0.4174819639468967, 0.657207475130035, 0.9740159572540747, 1.0]","[0.9933342406013059, 0.9808464140254457, 0.6251660618945863, 0.7867084622191859, 0.8469851635987092, 1.0, 0.007010265402492378, 0.0]","[0.9820747170382396, 0.9557364053444714, 0.9199118948488181, 0.9381663014590932, 0.7806356146473397, 0.429165463967572, 0.0, 0.1764403722365634]","[1.0, 0.9227416719820088, 0.6896140374187477, 0.7630758482286583, 0.840475380802449, 0.953780649841279, 0.4498466953323916, 0.0]","[0.016287779030368092, 0.0, 0.2199423058734377, 0.20282316744349657, 0.19147769476001467, 0.14486184037850341, 1.0, 0.7286925991358776]"
