AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[0.9881469876924935, 0.9215766500071171, 0.8162076260045359, 0.7068321412779148, 0.6734215487379546, 0.7116795269249319, 0.8019886302077505, 0.47740351997512237]","[0.4222153330494068, 0.3913569412952219, 0.3438747682862327, 0.28269991181800824, 0.22076677260336403, 0.13102886268057862, 0.0, 0.1486083156130981]","[0.06849576376511199, 0.04988227651899276, 0.01698817947336438, 0.0, 0.004348620990847691, 0.04745911176434716, 0.1356226503809392, 0.16496145238748985]","[0.9231173330439317, 0.9198066189858015, 0.8948180161829529, 0.8588382216914171, 0.818866612300027, 0.7097190313954177, 0.5790267407586028, 0.3928603320389822]","[0.11784100519629241, 0.06347447063969257, 0.05682309646488274, 0.1619871832466532, 0.3503826109406697, 0.41494064761862853, 0.34571726374921624, 0.5317656700649576]","[1.0, 0.9877305801808443, 0.9634862364067311, 0.8962145248658839, 0.7715877720955648, 0.5422586935428451, 0.20063543120037175, 0.026358049308308453]","[0.29077868068032253, 0.2373318135480778, 0.15151126098735201, 0.06533377904953303, 0.017485807106358366, 0.0, 0.0015000905128068854, 0.0026812181575421013]","[0.5232682485230183, 0.45964491857925033, 0.36023816992459584, 0.24571891950579244, 0.16950818288654015, 0.10361364896376538, 0.025098624301173236, 0.0]","[0.1953868207166755, 0.16875957385862117, 0.12555506329768681, 0.08322131521833818, 0.05167451853822791, 0.02528870531188842, 0.0, 0.09657613903194212]","[0.36360769909200313, 0.3008433906605028, 0.1976479859969697, 0.10977684796698271, 0.09363576187517006, 0.16607097140848123, 0.3217985158008216, 0.150505542918516]","[0.9383322029601644, 0.9376675015640897, 0.9328308372054159, 0.9252739609897086, 0.9179680307077164, 0.9372842692141311, 0.9514706688841389, 1.0]","[0.6833930397463245, 0.7003187292297632, 0.7419624335139279, 0.8072150662427878, 0.8578424886819555, 0.9031648411000135, 0.8906098458766741, 1.0]","[0.07789157120528345, 0.08105501518524845, 0.09249734671180733, 0.1069565187217368, 0.11425018424283721, 0.07625858480985005, 0.0, 0.02356713741374879]","[0.9610119155453972, 0.9648070237834984, 0.9802817685361032, 0.9940965777571886, 1.0, 0.97934152980448, 0.9521407050081083, 0.8623910072815301]","[1.0, 0.9749284455861263, 0.9398858569411757, 0.9034961995075989, 0.8547740536865271, 0.6574379948041443, 0.34092953976070794, 0.1505703132624901]","[0.9489067273467379, 0.9129213714653044, 0.8707647969394664, 0.8752824647450741, 0.9209769183585561, 0.7900479798919287, 0.5499929862943999, 0.3698358997520007]","[0.8834744723037063, 0.8384098772619993, 0.8067532197865527, 0.7893139812681096, 0.753344312923768, 0.5264960866018049, 0.09437950761670573, 0.0]","[1.0, 0.9921106360375983, 0.9648567935628399, 0.9103273755897825, 0.8261801755671826, 0.6488307833898777, 0.40481189741197005, 0.20476626056565536]","[0.08662764160822395, 0.0870372874775877, 0.0886341433917698, 0.09087205294563368, 0.08485314814761512, 0.05242721300789297, 0.0, 0.19095415355578596]","[0.9015530752161025, 0.8997192583959368, 0.9140605581269338, 0.9392673666016479, 0.9634169376006859, 0.9891779992423715, 1.0, 0.8539422267050741]","[0.8045243320550686, 0.8020743312176414, 0.8154462394926166, 0.8526572661557068, 0.8642487558345808, 0.9038320844478079, 1.0, 0.6407432699468305]","[0.02458851387945063, 0.02289520633881199, 0.01996135509685106, 0.016487351070298622, 0.028132374501845407, 0.11017505176753326, 0.31900132872762604, 0.5976062288064189]"
"[0.9215766500071171, 0.8162076260045359, 0.7068321412779148, 0.6734215487379546, 0.7116795269249319, 0.8019886302077505, 0.47740351997512237, 0.07010288421817328]","[0.3913569412952219, 0.3438747682862327, 0.28269991181800824, 0.22076677260336403, 0.13102886268057862, 0.0, 0.1486083156130981, 0.4135409771650681]","[0.04988227651899276, 0.01698817947336438, 0.0, 0.004348620990847691, 0.04745911176434716, 0.1356226503809392, 0.16496145238748985, 0.2592139246847232]","[0.9198066189858015, 0.8948180161829529, 0.8588382216914171, 0.818866612300027, 0.7097190313954177, 0.5790267407586028, 0.3928603320389822, 0.08872602676507549]","[0.06347447063969257, 0.05682309646488274, 0.1619871832466532, 0.3503826109406697, 0.41494064761862853, 0.34571726374921624, 0.5317656700649576, 0.8777655231453815]","[0.9877305801808443, 0.9634862364067311, 0.8962145248658839, 0.7715877720955648, 0.5422586935428451, 0.20063543120037175, 0.026358049308308453, 0.0]","[0.2373318135480778, 0.15151126098735201, 0.06533377904953303, 0.017485807106358366, 0.0, 0.0015000905128068854, 0.0026812181575421013, 0.08857598426539186]","[0.45964491857925033, 0.36023816992459584, 0.24571891950579244, 0.16950818288654015, 0.10361364896376538, 0.025098624301173236, 0.0, 0.043299466252756734]","[0.16875957385862117, 0.12555506329768681, 0.08322131521833818, 0.05167451853822791, 0.02528870531188842, 0.0, 0.09657613903194212, 0.2907696562275881]","[0.3008433906605028, 0.1976479859969697, 0.10977684796698271, 0.09363576187517006, 0.16607097140848123, 0.3217985158008216, 0.150505542918516, 0.0]","[0.9376675015640897, 0.9328308372054159, 0.9252739609897086, 0.9179680307077164, 0.9372842692141311, 0.9514706688841389, 1.0, 0.9456039430456104]","[0.7003187292297632, 0.7419624335139279, 0.8072150662427878, 0.8578424886819555, 0.9031648411000135, 0.8906098458766741, 1.0, 0.7495062275709082]","[0.08105501518524845, 0.09249734671180733, 0.1069565187217368, 0.11425018424283721, 0.07625858480985005, 0.0, 0.02356713741374879, 0.06516296171713602]","[0.9648070237834984, 0.9802817685361032, 0.9940965777571886, 1.0, 0.97934152980448, 0.9521407050081083, 0.8623910072815301, 0.6754898607996868]","[0.9749284455861263, 0.9398858569411757, 0.9034961995075989, 0.8547740536865271, 0.6574379948041443, 0.34092953976070794, 0.1505703132624901, 0.0]","[0.9129213714653044, 0.8707647969394664, 0.8752824647450741, 0.9209769183585561, 0.7900479798919287, 0.5499929862943999, 0.3698358997520007, 0.0994240273141481]","[0.8384098772619993, 0.8067532197865527, 0.7893139812681096, 0.753344312923768, 0.5264960866018049, 0.09437950761670573, 0.0, 0.1667432855876429]","[0.9921106360375983, 0.9648567935628399, 0.9103273755897825, 0.8261801755671826, 0.6488307833898777, 0.40481189741197005, 0.20476626056565536, 0.0]","[0.0870372874775877, 0.0886341433917698, 0.09087205294563368, 0.08485314814761512, 0.05242721300789297, 0.0, 0.19095415355578596, 1.0]","[0.8997192583959368, 0.9140605581269338, 0.9392673666016479, 0.9634169376006859, 0.9891779992423715, 1.0, 0.8539422267050741, 0.2674793038972919]","[0.8020743312176414, 0.8154462394926166, 0.8526572661557068, 0.8642487558345808, 0.9038320844478079, 1.0, 0.6407432699468305, 0.0]","[0.02289520633881199, 0.01996135509685106, 0.016487351070298622, 0.028132374501845407, 0.11017505176753326, 0.31900132872762604, 0.5976062288064189, 1.0]"
"[0.8162076260045359, 0.7068321412779148, 0.6734215487379546, 0.7116795269249319, 0.8019886302077505, 0.47740351997512237, 0.07010288421817328, 0.0]","[0.3438747682862327, 0.28269991181800824, 0.22076677260336403, 0.13102886268057862, 0.0, 0.1486083156130981, 0.4135409771650681, 0.6697397015705491]","[0.01698817947336438, 0.0, 0.004348620990847691, 0.04745911176434716, 0.1356226503809392, 0.16496145238748985, 0.2592139246847232, 0.6376269651890909]","[0.8948180161829529, 0.8588382216914171, 0.818866612300027, 0.7097190313954177, 0.5790267407586028, 0.3928603320389822, 0.08872602676507549, 0.0]","[0.05682309646488274, 0.1619871832466532, 0.3503826109406697, 0.41494064761862853, 0.34571726374921624, 0.5317656700649576, 0.8777655231453815, 0.9425745651087344]","[0.9634862364067311, 0.8962145248658839, 0.7715877720955648, 0.5422586935428451, 0.20063543120037175, 0.026358049308308453, 0.0, 0.3348690240706084]","[0.15151126098735201, 0.06533377904953303, 0.017485807106358366, 0.0, 0.0015000905128068854, 0.0026812181575421013, 0.08857598426539186, 0.4562133138256366]","[0.36023816992459584, 0.24571891950579244, 0.16950818288654015, 0.10361364896376538, 0.025098624301173236, 0.0, 0.043299466252756734, 0.2515275617892785]","[0.12555506329768681, 0.08322131521833818, 0.05167451853822791, 0.02528870531188842, 0.0, 0.09657613903194212, 0.2907696562275881, 0.6293677816746456]","[0.1976479859969697, 0.10977684796698271, 0.09363576187517006, 0.16607097140848123, 0.3217985158008216, 0.150505542918516, 0.0, 0.38043797327906964]","[0.9328308372054159, 0.9252739609897086, 0.9179680307077164, 0.9372842692141311, 0.9514706688841389, 1.0, 0.9456039430456104, 0.6238278615029462]","[0.7419624335139279, 0.8072150662427878, 0.8578424886819555, 0.9031648411000135, 0.8906098458766741, 1.0, 0.7495062275709082, 0.3299320452935377]","[0.09249734671180733, 0.1069565187217368, 0.11425018424283721, 0.07625858480985005, 0.0, 0.02356713741374879, 0.06516296171713602, 0.2958055391146395]","[0.9802817685361032, 0.9940965777571886, 1.0, 0.97934152980448, 0.9521407050081083, 0.8623910072815301, 0.6754898607996868, 0.06679950483431912]","[0.9398858569411757, 0.9034961995075989, 0.8547740536865271, 0.6574379948041443, 0.34092953976070794, 0.1505703132624901, 0.0, 0.14261212503882797]","[0.8707647969394664, 0.8752824647450741, 0.9209769183585561, 0.7900479798919287, 0.5499929862943999, 0.3698358997520007, 0.0994240273141481, 0.0]","[0.8067532197865527, 0.7893139812681096, 0.753344312923768, 0.5264960866018049, 0.09437950761670573, 0.0, 0.1667432855876429, 0.5885819862459774]","[0.9648567935628399, 0.9103273755897825, 0.8261801755671826, 0.6488307833898777, 0.40481189741197005, 0.20476626056565536, 0.0, 0.10208214236943984]","[0.0886341433917698, 0.09087205294563368, 0.08485314814761512, 0.05242721300789297, 0.0, 0.19095415355578596, 1.0, 0.777236317330066]","[0.9140605581269338, 0.9392673666016479, 0.9634169376006859, 0.9891779992423715, 1.0, 0.8539422267050741, 0.2674793038972919, 0.0]","[0.8154462394926166, 0.8526572661557068, 0.8642487558345808, 0.9038320844478079, 1.0, 0.6407432699468305, 0.0, 0.28416494397443814]","[0.01996135509685106, 0.016487351070298622, 0.028132374501845407, 0.11017505176753326, 0.31900132872762604, 0.5976062288064189, 1.0, 0.6540928757707678]"
"[0.7068321412779148, 0.6734215487379546, 0.7116795269249319, 0.8019886302077505, 0.47740351997512237, 0.07010288421817328, 0.0, 0.338583479707197]","[0.28269991181800824, 0.22076677260336403, 0.13102886268057862, 0.0, 0.1486083156130981, 0.4135409771650681, 0.6697397015705491, 1.0]","[0.0, 0.004348620990847691, 0.04745911176434716, 0.1356226503809392, 0.16496145238748985, 0.2592139246847232, 0.6376269651890909, 1.0]","[0.8588382216914171, 0.818866612300027, 0.7097190313954177, 0.5790267407586028, 0.3928603320389822, 0.08872602676507549, 0.0, 0.18163240364373648]","[0.1619871832466532, 0.3503826109406697, 0.41494064761862853, 0.34571726374921624, 0.5317656700649576, 0.8777655231453815, 0.9425745651087344, 1.0]","[0.8962145248658839, 0.7715877720955648, 0.5422586935428451, 0.20063543120037175, 0.026358049308308453, 0.0, 0.3348690240706084, 0.6643306111031421]","[0.06533377904953303, 0.017485807106358366, 0.0, 0.0015000905128068854, 0.0026812181575421013, 0.08857598426539186, 0.4562133138256366, 1.0]","[0.24571891950579244, 0.16950818288654015, 0.10361364896376538, 0.025098624301173236, 0.0, 0.043299466252756734, 0.2515275617892785, 0.7403490261861263]","[0.08322131521833818, 0.05167451853822791, 0.02528870531188842, 0.0, 0.09657613903194212, 0.2907696562275881, 0.6293677816746456, 1.0]","[0.10977684796698271, 0.09363576187517006, 0.16607097140848123, 0.3217985158008216, 0.150505542918516, 0.0, 0.38043797327906964, 1.0]","[0.9252739609897086, 0.9179680307077164, 0.9372842692141311, 0.9514706688841389, 1.0, 0.9456039430456104, 0.6238278615029462, 0.0]","[0.8072150662427878, 0.8578424886819555, 0.9031648411000135, 0.8906098458766741, 1.0, 0.7495062275709082, 0.3299320452935377, 0.0]","[0.1069565187217368, 0.11425018424283721, 0.07625858480985005, 0.0, 0.02356713741374879, 0.06516296171713602, 0.2958055391146395, 1.0]","[0.9940965777571886, 1.0, 0.97934152980448, 0.9521407050081083, 0.8623910072815301, 0.6754898607996868, 0.06679950483431912, 0.0]","[0.9034961995075989, 0.8547740536865271, 0.6574379948041443, 0.34092953976070794, 0.1505703132624901, 0.0, 0.14261212503882797, 0.48795360626561773]","[0.8752824647450741, 0.9209769183585561, 0.7900479798919287, 0.5499929862943999, 0.3698358997520007, 0.0994240273141481, 0.0, 0.31158013911012356]","[0.7893139812681096, 0.753344312923768, 0.5264960866018049, 0.09437950761670573, 0.0, 0.1667432855876429, 0.5885819862459774, 1.0]","[0.9103273755897825, 0.8261801755671826, 0.6488307833898777, 0.40481189741197005, 0.20476626056565536, 0.0, 0.10208214236943984, 0.3725673238595297]","[0.09087205294563368, 0.08485314814761512, 0.05242721300789297, 0.0, 0.19095415355578596, 1.0, 0.777236317330066, 0.3280181920191736]","[0.9392673666016479, 0.9634169376006859, 0.9891779992423715, 1.0, 0.8539422267050741, 0.2674793038972919, 0.0, 0.1597238245955178]","[0.8526572661557068, 0.8642487558345808, 0.9038320844478079, 1.0, 0.6407432699468305, 0.0, 0.28416494397443814, 0.5753431165038514]","[0.016487351070298622, 0.028132374501845407, 0.11017505176753326, 0.31900132872762604, 0.5976062288064189, 1.0, 0.6540928757707678, 0.21282309282171927]"
"[0.6734215487379546, 0.7116795269249319, 0.8019886302077505, 0.47740351997512237, 0.07010288421817328, 0.0, 0.338583479707197, 0.8637592715970469]","[0.22076677260336403, 0.13102886268057862, 0.0, 0.1486083156130981, 0.4135409771650681, 0.6697397015705491, 1.0, 0.989312521927668]","[0.004348620990847691, 0.04745911176434716, 0.1356226503809392, 0.16496145238748985, 0.2592139246847232, 0.6376269651890909, 1.0, 0.5787018111839958]","[0.818866612300027, 0.7097190313954177, 0.5790267407586028, 0.3928603320389822, 0.08872602676507549, 0.0, 0.18163240364373648, 0.47383177462191817]","[0.3503826109406697, 0.41494064761862853, 0.34571726374921624, 0.5317656700649576, 0.8777655231453815, 0.9425745651087344, 1.0, 0.6473001370087601]","[0.7715877720955648, 0.5422586935428451, 0.20063543120037175, 0.026358049308308453, 0.0, 0.3348690240706084, 0.6643306111031421, 0.7342987105219908]","[0.017485807106358366, 0.0, 0.0015000905128068854, 0.0026812181575421013, 0.08857598426539186, 0.4562133138256366, 1.0, 0.9162890232615574]","[0.16950818288654015, 0.10361364896376538, 0.025098624301173236, 0.0, 0.043299466252756734, 0.2515275617892785, 0.7403490261861263, 1.0]","[0.05167451853822791, 0.02528870531188842, 0.0, 0.09657613903194212, 0.2907696562275881, 0.6293677816746456, 1.0, 0.772993921617265]","[0.09363576187517006, 0.16607097140848123, 0.3217985158008216, 0.150505542918516, 0.0, 0.38043797327906964, 1.0, 0.8577519204148109]","[0.9179680307077164, 0.9372842692141311, 0.9514706688841389, 1.0, 0.9456039430456104, 0.6238278615029462, 0.0, 0.722916419828312]","[0.8578424886819555, 0.9031648411000135, 0.8906098458766741, 1.0, 0.7495062275709082, 0.3299320452935377, 0.0, 0.403058196462159]","[0.11425018424283721, 0.07625858480985005, 0.0, 0.02356713741374879, 0.06516296171713602, 0.2958055391146395, 1.0, 0.5884895342327505]","[1.0, 0.97934152980448, 0.9521407050081083, 0.8623910072815301, 0.6754898607996868, 0.06679950483431912, 0.0, 0.803265254382481]","[0.8547740536865271, 0.6574379948041443, 0.34092953976070794, 0.1505703132624901, 0.0, 0.14261212503882797, 0.48795360626561773, 0.6524942789352232]","[0.9209769183585561, 0.7900479798919287, 0.5499929862943999, 0.3698358997520007, 0.0994240273141481, 0.0, 0.31158013911012356, 0.5598548641054902]","[0.753344312923768, 0.5264960866018049, 0.09437950761670573, 0.0, 0.1667432855876429, 0.5885819862459774, 1.0, 0.8795707766214771]","[0.8261801755671826, 0.6488307833898777, 0.40481189741197005, 0.20476626056565536, 0.0, 0.10208214236943984, 0.3725673238595297, 0.5903873900909593]","[0.08485314814761512, 0.05242721300789297, 0.0, 0.19095415355578596, 1.0, 0.777236317330066, 0.3280181920191736, 0.1382231775078708]","[0.9634169376006859, 0.9891779992423715, 1.0, 0.8539422267050741, 0.2674793038972919, 0.0, 0.1597238245955178, 0.7551943604157999]","[0.8642487558345808, 0.9038320844478079, 1.0, 0.6407432699468305, 0.0, 0.28416494397443814, 0.5753431165038514, 0.7490436571444166]","[0.028132374501845407, 0.11017505176753326, 0.31900132872762604, 0.5976062288064189, 1.0, 0.6540928757707678, 0.21282309282171927, 0.09502697482986569]"
"[0.7116795269249319, 0.8019886302077505, 0.47740351997512237, 0.07010288421817328, 0.0, 0.338583479707197, 0.8637592715970469, 0.9407187363297419]","[0.13102886268057862, 0.0, 0.1486083156130981, 0.4135409771650681, 0.6697397015705491, 1.0, 0.989312521927668, 0.458207698463865]","[0.04745911176434716, 0.1356226503809392, 0.16496145238748985, 0.2592139246847232, 0.6376269651890909, 1.0, 0.5787018111839958, 0.2842111857505966]","[0.7097190313954177, 0.5790267407586028, 0.3928603320389822, 0.08872602676507549, 0.0, 0.18163240364373648, 0.47383177462191817, 0.6289478880853964]","[0.41494064761862853, 0.34571726374921624, 0.5317656700649576, 0.8777655231453815, 0.9425745651087344, 1.0, 0.6473001370087601, 0.4153258824573255]","[0.5422586935428451, 0.20063543120037175, 0.026358049308308453, 0.0, 0.3348690240706084, 0.6643306111031421, 0.7342987105219908, 0.7801846284284152]","[0.0, 0.0015000905128068854, 0.0026812181575421013, 0.08857598426539186, 0.4562133138256366, 1.0, 0.9162890232615574, 0.4283030580886135]","[0.10361364896376538, 0.025098624301173236, 0.0, 0.043299466252756734, 0.2515275617892785, 0.7403490261861263, 1.0, 0.5332125932137542]","[0.02528870531188842, 0.0, 0.09657613903194212, 0.2907696562275881, 0.6293677816746456, 1.0, 0.772993921617265, 0.32829069509493025]","[0.16607097140848123, 0.3217985158008216, 0.150505542918516, 0.0, 0.38043797327906964, 1.0, 0.8577519204148109, 0.5757803694705941]","[0.9372842692141311, 0.9514706688841389, 1.0, 0.9456039430456104, 0.6238278615029462, 0.0, 0.722916419828312, 0.9259271812152892]","[0.9031648411000135, 0.8906098458766741, 1.0, 0.7495062275709082, 0.3299320452935377, 0.0, 0.403058196462159, 0.631873747284324]","[0.07625858480985005, 0.0, 0.02356713741374879, 0.06516296171713602, 0.2958055391146395, 1.0, 0.5884895342327505, 0.08694811203340515]","[0.97934152980448, 0.9521407050081083, 0.8623910072815301, 0.6754898607996868, 0.06679950483431912, 0.0, 0.803265254382481, 0.9298561965116231]","[0.6574379948041443, 0.34092953976070794, 0.1505703132624901, 0.0, 0.14261212503882797, 0.48795360626561773, 0.6524942789352232, 0.7321295562242052]","[0.7900479798919287, 0.5499929862943999, 0.3698358997520007, 0.0994240273141481, 0.0, 0.31158013911012356, 0.5598548641054902, 0.6662232798715111]","[0.5264960866018049, 0.09437950761670573, 0.0, 0.1667432855876429, 0.5885819862459774, 1.0, 0.8795707766214771, 0.8002106022915032]","[0.6488307833898777, 0.40481189741197005, 0.20476626056565536, 0.0, 0.10208214236943984, 0.3725673238595297, 0.5903873900909593, 0.7101487069906367]","[0.05242721300789297, 0.0, 0.19095415355578596, 1.0, 0.777236317330066, 0.3280181920191736, 0.1382231775078708, 0.10186561663638476]","[0.9891779992423715, 1.0, 0.8539422267050741, 0.2674793038972919, 0.0, 0.1597238245955178, 0.7551943604157999, 0.9225102571658701]","[0.9038320844478079, 1.0, 0.6407432699468305, 0.0, 0.28416494397443814, 0.5753431165038514, 0.7490436571444166, 0.8124051018804357]","[0.11017505176753326, 0.31900132872762604, 0.5976062288064189, 1.0, 0.6540928757707678, 0.21282309282171927, 0.09502697482986569, 0.03712854659788631]"
"[0.8019886302077505, 0.47740351997512237, 0.07010288421817328, 0.0, 0.338583479707197, 0.8637592715970469, 0.9407187363297419, 0.914816760972599]","[0.0, 0.1486083156130981, 0.4135409771650681, 0.6697397015705491, 1.0, 0.989312521927668, 0.458207698463865, 0.3942650113914093]","[0.1356226503809392, 0.16496145238748985, 0.2592139246847232, 0.6376269651890909, 1.0, 0.5787018111839958, 0.2842111857505966, 0.25386105760466426]","[0.5790267407586028, 0.3928603320389822, 0.08872602676507549, 0.0, 0.18163240364373648, 0.47383177462191817, 0.6289478880853964, 0.8429521314686295]","[0.34571726374921624, 0.5317656700649576, 0.8777655231453815, 0.9425745651087344, 1.0, 0.6473001370087601, 0.4153258824573255, 0.21299921410559108]","[0.20063543120037175, 0.026358049308308453, 0.0, 0.3348690240706084, 0.6643306111031421, 0.7342987105219908, 0.7801846284284152, 0.8092661319415243]","[0.0015000905128068854, 0.0026812181575421013, 0.08857598426539186, 0.4562133138256366, 1.0, 0.9162890232615574, 0.4283030580886135, 0.36068003166929696]","[0.025098624301173236, 0.0, 0.043299466252756734, 0.2515275617892785, 0.7403490261861263, 1.0, 0.5332125932137542, 0.4589440431044519]","[0.0, 0.09657613903194212, 0.2907696562275881, 0.6293677816746456, 1.0, 0.772993921617265, 0.32829069509493025, 0.27743047549893274]","[0.3217985158008216, 0.150505542918516, 0.0, 0.38043797327906964, 1.0, 0.8577519204148109, 0.5757803694705941, 0.5254346403699355]","[0.9514706688841389, 1.0, 0.9456039430456104, 0.6238278615029462, 0.0, 0.722916419828312, 0.9259271812152892, 0.9415398051968854]","[0.8906098458766741, 1.0, 0.7495062275709082, 0.3299320452935377, 0.0, 0.403058196462159, 0.631873747284324, 0.6968276201833049]","[0.0, 0.02356713741374879, 0.06516296171713602, 0.2958055391146395, 1.0, 0.5884895342327505, 0.08694811203340515, 0.056910455099867197]","[0.9521407050081083, 0.8623910072815301, 0.6754898607996868, 0.06679950483431912, 0.0, 0.803265254382481, 0.9298561965116231, 0.9220156129965908]","[0.34092953976070794, 0.1505703132624901, 0.0, 0.14261212503882797, 0.48795360626561773, 0.6524942789352232, 0.7321295562242052, 0.855840870137304]","[0.5499929862943999, 0.3698358997520007, 0.0994240273141481, 0.0, 0.31158013911012356, 0.5598548641054902, 0.6662232798715111, 0.879879837410369]","[0.09437950761670573, 0.0, 0.1667432855876429, 0.5885819862459774, 1.0, 0.8795707766214771, 0.8002106022915032, 0.7184176657277394]","[0.40481189741197005, 0.20476626056565536, 0.0, 0.10208214236943984, 0.3725673238595297, 0.5903873900909593, 0.7101487069906367, 0.8592089819401207]","[0.0, 0.19095415355578596, 1.0, 0.777236317330066, 0.3280181920191736, 0.1382231775078708, 0.10186561663638476, 0.09598400165175154]","[1.0, 0.8539422267050741, 0.2674793038972919, 0.0, 0.1597238245955178, 0.7551943604157999, 0.9225102571658701, 0.9114921413809689]","[1.0, 0.6407432699468305, 0.0, 0.28416494397443814, 0.5753431165038514, 0.7490436571444166, 0.8124051018804357, 0.8793690006163776]","[0.31900132872762604, 0.5976062288064189, 1.0, 0.6540928757707678, 0.21282309282171927, 0.09502697482986569, 0.03712854659788631, 0.013034489514028073]"
"[0.47740351997512237, 0.07010288421817328, 0.0, 0.338583479707197, 0.8637592715970469, 0.9407187363297419, 0.914816760972599, 1.0]","[0.1486083156130981, 0.4135409771650681, 0.6697397015705491, 1.0, 0.989312521927668, 0.458207698463865, 0.3942650113914093, 0.43467584587098446]","[0.16496145238748985, 0.2592139246847232, 0.6376269651890909, 1.0, 0.5787018111839958, 0.2842111857505966, 0.25386105760466426, 0.29195555123222067]","[0.3928603320389822, 0.08872602676507549, 0.0, 0.18163240364373648, 0.47383177462191817, 0.6289478880853964, 0.8429521314686295, 1.0]","[0.5317656700649576, 0.8777655231453815, 0.9425745651087344, 1.0, 0.6473001370087601, 0.4153258824573255, 0.21299921410559108, 0.0]","[0.026358049308308453, 0.0, 0.3348690240706084, 0.6643306111031421, 0.7342987105219908, 0.7801846284284152, 0.8092661319415243, 0.8474386998519536]","[0.0026812181575421013, 0.08857598426539186, 0.4562133138256366, 1.0, 0.9162890232615574, 0.4283030580886135, 0.36068003166929696, 0.4383201932044399]","[0.0, 0.043299466252756734, 0.2515275617892785, 0.7403490261861263, 1.0, 0.5332125932137542, 0.4589440431044519, 0.5412376845751018]","[0.09657613903194212, 0.2907696562275881, 0.6293677816746456, 1.0, 0.772993921617265, 0.32829069509493025, 0.27743047549893274, 0.31950245911729525]","[0.150505542918516, 0.0, 0.38043797327906964, 1.0, 0.8577519204148109, 0.5757803694705941, 0.5254346403699355, 0.6217647718545404]","[1.0, 0.9456039430456104, 0.6238278615029462, 0.0, 0.722916419828312, 0.9259271812152892, 0.9415398051968854, 0.9432063052504487]","[1.0, 0.7495062275709082, 0.3299320452935377, 0.0, 0.403058196462159, 0.631873747284324, 0.6968276201833049, 0.6901209720747847]","[0.02356713741374879, 0.06516296171713602, 0.2958055391146395, 1.0, 0.5884895342327505, 0.08694811203340515, 0.056910455099867197, 0.06554672402596534]","[0.8623910072815301, 0.6754898607996868, 0.06679950483431912, 0.0, 0.803265254382481, 0.9298561965116231, 0.9220156129965908, 0.9370467205285931]","[0.1505703132624901, 0.0, 0.14261212503882797, 0.48795360626561773, 0.6524942789352232, 0.7321295562242052, 0.855840870137304, 0.9379313600417644]","[0.3698358997520007, 0.0994240273141481, 0.0, 0.31158013911012356, 0.5598548641054902, 0.6662232798715111, 0.879879837410369, 1.0]","[0.0, 0.1667432855876429, 0.5885819862459774, 1.0, 0.8795707766214771, 0.8002106022915032, 0.7184176657277394, 0.6409970232785936]","[0.20476626056565536, 0.0, 0.10208214236943984, 0.3725673238595297, 0.5903873900909593, 0.7101487069906367, 0.8592089819401207, 0.976548153176855]","[0.19095415355578596, 1.0, 0.777236317330066, 0.3280181920191736, 0.1382231775078708, 0.10186561663638476, 0.09598400165175154, 0.10277594619559319]","[0.8539422267050741, 0.2674793038972919, 0.0, 0.1597238245955178, 0.7551943604157999, 0.9225102571658701, 0.9114921413809689, 0.7998652945698526]","[0.6407432699468305, 0.0, 0.28416494397443814, 0.5753431165038514, 0.7490436571444166, 0.8124051018804357, 0.8793690006163776, 0.8873289259293741]","[0.5976062288064189, 1.0, 0.6540928757707678, 0.21282309282171927, 0.09502697482986569, 0.03712854659788631, 0.013034489514028073, 0.0]"
