AccelerationX,AccelerationY,AccelerationZ,RRX,RRY,RRZ,x+y+z,x+y,y+z,x+z,x*y*z,x*y,y*z,x*z,p+r+w,p+r,r+w,p+w,p*r*w,p*r,r*w,p*w
"[1.0, 0.9596255362637216, 0.8987134180089675, 0.9157080769694489, 0.8284438122832516, 0.7069300486161809, 0.6149057106212259, 0.585416557887052]","[0.8020553164514624, 0.8029500018193964, 0.7583952108655427, 0.6888994570582474, 0.6412632908676638, 0.6502571478081671, 0.6232850580705225, 0.5692578994138682]","[0.000560950818427268, 0.03214304678380035, 0.04854062462201719, 0.14568057656180974, 0.2070698221891465, 0.23929064091532468, 0.2411937996578559, 0.26603192132542375]","[0.9886432106805875, 1.0, 0.9886823421227834, 0.9609336049181109, 0.9314021958780818, 0.8837650279737159, 0.8123710585296454, 0.7419412714332061]","[1.0, 0.9919193108560123, 0.9958145169274918, 0.9280424498907258, 0.8327162504284912, 0.8101309118525379, 0.8683569256228709, 0.9364513143478305]","[0.9947933734439787, 1.0, 0.9932020904723405, 0.9624170364021668, 0.9182002887662407, 0.8690247126345828, 0.8214457094373538, 0.7638879505105458]","[0.9802601487362355, 1.0, 0.8700733159167068, 0.847812252913339, 0.7566710755549513, 0.7414609495687009, 0.6131248121544047, 0.4933903659317911]","[1.0, 0.9878262980873951, 0.9150715754470244, 0.8383022817113408, 0.7532591198978428, 0.724086016180303, 0.6619657607569108, 0.5882876828360591]","[0.6228206089067108, 0.6592088652551747, 0.5921783782022259, 0.5662099453527555, 0.5427042497758596, 0.5952518984039717, 0.5458631001990462, 0.4700224001464884]","[0.3237647537957552, 0.3326464447309583, 0.3232378660958198, 0.4001015594407482, 0.41428294953113737, 0.3951555592039245, 0.3642493243957105, 0.3720289139891062]","[0.31957937171845935, 0.31885642972547495, 0.32307777836477847, 0.22933098677476998, 0.22313607836711896, 0.39635509280591197, 0.377207819431605, 0.31718778617747895]","[0.37017998018587395, 0.3639318090638996, 0.36560421310391006, 0.2294878361342737, 0.25189636627233813, 0.4340245878164466, 0.47520727780172595, 0.41904932773774767]","[0.9923930806664314, 0.9870930013790866, 0.9588338784289356, 0.8107161859572152, 0.7428213830838543, 0.8424652108348863, 0.9364791403000607, 0.9349562889436953]","[0.9043276781874017, 0.887997153665818, 0.8630369884252633, 0.9379189913208686, 0.8919857035487923, 0.681530165411025, 0.5766695799110633, 0.6725710194530821]","[0.9926584007533693, 1.0, 0.9915479351815703, 0.9575917658193438, 0.9138817574590554, 0.8649256161907302, 0.8119583044920297, 0.7552589938329418]","[0.9907950863176546, 1.0, 0.9901810793941533, 0.9540980094948162, 0.912093610925823, 0.864710687641004, 0.8079978975653072, 0.753705805950796]","[0.9965662584591978, 1.0, 0.9945795599508286, 0.9580038259367506, 0.9057536963339092, 0.8593936027958705, 0.8258161956377397, 0.7848665687896721]","[0.9916727868087303, 1.0, 0.9908644064379065, 0.9611219487241258, 0.9235107062775844, 0.8743620362640853, 0.814289972532783, 0.7495042762284309]","[0.8274717241011953, 0.8257016048461846, 0.8243966161879519, 0.8161218376690901, 0.752033263140081, 0.640345097564698, 0.669392119987979, 0.8418439188400875]","[0.02359080964101822, 0.007499208888492904, 0.014644299563460434, 0.029113482529668805, 0.0776053501090035, 0.12303632665380973, 0.0948303485836435, 0.0]","[0.0824960231178318, 0.07638553235048436, 0.07803611887963373, 0.07586331058919754, 0.1619154939894749, 0.23494685942109836, 0.16088929205057778, 0.04413328623649508]","[0.0, 0.006287319537129248, 0.005585066901348069, 0.02721595058337257, 0.06962397691017913, 0.13352828174907483, 0.17999938113266326, 0.15640869456322723]"
"[0.9596255362637216, 0.8987134180089675, 0.9157080769694489, 0.8284438122832516, 0.7069300486161809, 0.6149057106212259, 0.585416557887052, 0.6749703090986593]","[0.8029500018193964, 0.7583952108655427, 0.6888994570582474, 0.6412632908676638, 0.6502571478081671, 0.6232850580705225, 0.5692578994138682, 0.4162559449974223]","[0.03214304678380035, 0.04854062462201719, 0.14568057656180974, 0.2070698221891465, 0.23929064091532468, 0.2411937996578559, 0.26603192132542375, 0.39361644473399676]","[1.0, 0.9886823421227834, 0.9609336049181109, 0.9314021958780818, 0.8837650279737159, 0.8123710585296454, 0.7419412714332061, 0.6277776192695289]","[0.9919193108560123, 0.9958145169274918, 0.9280424498907258, 0.8327162504284912, 0.8101309118525379, 0.8683569256228709, 0.9364513143478305, 0.9333095946301773]","[1.0, 0.9932020904723405, 0.9624170364021668, 0.9182002887662407, 0.8690247126345828, 0.8214457094373538, 0.7638879505105458, 0.6533713445172034]","[1.0, 0.8700733159167068, 0.847812252913339, 0.7566710755549513, 0.7414609495687009, 0.6131248121544047, 0.4933903659317911, 0.35633952861134827]","[0.9878262980873951, 0.9150715754470244, 0.8383022817113408, 0.7532591198978428, 0.724086016180303, 0.6619657607569108, 0.5882876828360591, 0.436361918582653]","[0.6592088652551747, 0.5921783782022259, 0.5662099453527555, 0.5427042497758596, 0.5952518984039717, 0.5458631001990462, 0.4700224001464884, 0.31810635054782804]","[0.3326464447309583, 0.3232378660958198, 0.4001015594407482, 0.41428294953113737, 0.3951555592039245, 0.3642493243957105, 0.3720289139891062, 0.4965772893418614]","[0.31885642972547495, 0.32307777836477847, 0.22933098677476998, 0.22313607836711896, 0.39635509280591197, 0.377207819431605, 0.31718778617747895, 0.3411234743748194]","[0.3639318090638996, 0.36560421310391006, 0.2294878361342737, 0.25189636627233813, 0.4340245878164466, 0.47520727780172595, 0.41904932773774767, 0.35763491242241097]","[0.9870930013790866, 0.9588338784289356, 0.8107161859572152, 0.7428213830838543, 0.8424652108348863, 0.9364791403000607, 0.9349562889436953, 0.7412540256701746]","[0.887997153665818, 0.8630369884252633, 0.9379189913208686, 0.8919857035487923, 0.681530165411025, 0.5766695799110633, 0.6725710194530821, 0.6535234778379646]","[1.0, 0.9915479351815703, 0.9575917658193438, 0.9138817574590554, 0.8649256161907302, 0.8119583044920297, 0.7552589938329418, 0.6456745431955807]","[1.0, 0.9901810793941533, 0.9540980094948162, 0.912093610925823, 0.864710687641004, 0.8079978975653072, 0.753705805950796, 0.6480698848433543]","[1.0, 0.9945795599508286, 0.9580038259367506, 0.9057536963339092, 0.8593936027958705, 0.8258161956377397, 0.7848665687896721, 0.6873833244414859]","[1.0, 0.9908644064379065, 0.9611219487241258, 0.9235107062775844, 0.8743620362640853, 0.814289972532783, 0.7495042762284309, 0.6355331513374815]","[0.8257016048461846, 0.8243966161879519, 0.8161218376690901, 0.752033263140081, 0.640345097564698, 0.669392119987979, 0.8418439188400875, 0.9230280554255593]","[0.007499208888492904, 0.014644299563460434, 0.029113482529668805, 0.0776053501090035, 0.12303632665380973, 0.0948303485836435, 0.0, 0.015053419040020126]","[0.07638553235048436, 0.07803611887963373, 0.07586331058919754, 0.1619154939894749, 0.23494685942109836, 0.16088929205057778, 0.04413328623649508, 0.04948883199962759]","[0.006287319537129248, 0.005585066901348069, 0.02721595058337257, 0.06962397691017913, 0.13352828174907483, 0.17999938113266326, 0.15640869456322723, 0.09148905635096334]"
"[0.8987134180089675, 0.9157080769694489, 0.8284438122832516, 0.7069300486161809, 0.6149057106212259, 0.585416557887052, 0.6749703090986593, 0.8459156023669178]","[0.7583952108655427, 0.6888994570582474, 0.6412632908676638, 0.6502571478081671, 0.6232850580705225, 0.5692578994138682, 0.4162559449974223, 0.11996258819459821]","[0.04854062462201719, 0.14568057656180974, 0.2070698221891465, 0.23929064091532468, 0.2411937996578559, 0.26603192132542375, 0.39361644473399676, 0.6189090033239718]","[0.9886823421227834, 0.9609336049181109, 0.9314021958780818, 0.8837650279737159, 0.8123710585296454, 0.7419412714332061, 0.6277776192695289, 0.4458852437077452]","[0.9958145169274918, 0.9280424498907258, 0.8327162504284912, 0.8101309118525379, 0.8683569256228709, 0.9364513143478305, 0.9333095946301773, 0.5498491612141114]","[0.9932020904723405, 0.9624170364021668, 0.9182002887662407, 0.8690247126345828, 0.8214457094373538, 0.7638879505105458, 0.6533713445172034, 0.48497574570247853]","[0.8700733159167068, 0.847812252913339, 0.7566710755549513, 0.7414609495687009, 0.6131248121544047, 0.4933903659317911, 0.35633952861134827, 0.05789576702631623]","[0.9150715754470244, 0.8383022817113408, 0.7532591198978428, 0.724086016180303, 0.6619657607569108, 0.5882876828360591, 0.436361918582653, 0.14134024454766284]","[0.5921783782022259, 0.5662099453527555, 0.5427042497758596, 0.5952518984039717, 0.5458631001990462, 0.4700224001464884, 0.31810635054782804, 0.0]","[0.3232378660958198, 0.4001015594407482, 0.41428294953113737, 0.3951555592039245, 0.3642493243957105, 0.3720289139891062, 0.4965772893418614, 0.7210036175365847]","[0.32307777836477847, 0.22933098677476998, 0.22313607836711896, 0.39635509280591197, 0.377207819431605, 0.31718778617747895, 0.3411234743748194, 0.25092646075121106]","[0.36560421310391006, 0.2294878361342737, 0.25189636627233813, 0.4340245878164466, 0.47520727780172595, 0.41904932773774767, 0.35763491242241097, 0.22591808197955165]","[0.9588338784289356, 0.8107161859572152, 0.7428213830838543, 0.8424652108348863, 0.9364791403000607, 0.9349562889436953, 0.7412540256701746, 0.21246038050552957]","[0.8630369884252633, 0.9379189913208686, 0.8919857035487923, 0.681530165411025, 0.5766695799110633, 0.6725710194530821, 0.6535234778379646, 0.7410214329824829]","[0.9915479351815703, 0.9575917658193438, 0.9138817574590554, 0.8649256161907302, 0.8119583044920297, 0.7552589938329418, 0.6456745431955807, 0.4446239939182238]","[0.9901810793941533, 0.9540980094948162, 0.912093610925823, 0.864710687641004, 0.8079978975653072, 0.753705805950796, 0.6480698848433543, 0.4209865125477823]","[0.9945795599508286, 0.9580038259367506, 0.9057536963339092, 0.8593936027958705, 0.8258161956377397, 0.7848665687896721, 0.6873833244414859, 0.4855176591207264]","[0.9908644064379065, 0.9611219487241258, 0.9235107062775844, 0.8743620362640853, 0.814289972532783, 0.7495042762284309, 0.6355331513374815, 0.4579456082439503]","[0.8243966161879519, 0.8161218376690901, 0.752033263140081, 0.640345097564698, 0.669392119987979, 0.8418439188400875, 0.9230280554255593, 0.7179799048675897]","[0.014644299563460434, 0.029113482529668805, 0.0776053501090035, 0.12303632665380973, 0.0948303485836435, 0.0, 0.015053419040020126, 0.37773440746539133]","[0.07803611887963373, 0.07586331058919754, 0.1619154939894749, 0.23494685942109836, 0.16088929205057778, 0.04413328623649508, 0.04948883199962759, 0.27955037798019533]","[0.005585066901348069, 0.02721595058337257, 0.06962397691017913, 0.13352828174907483, 0.17999938113266326, 0.15640869456322723, 0.09148905635096334, 0.08090188905029795]"
"[0.9157080769694489, 0.8284438122832516, 0.7069300486161809, 0.6149057106212259, 0.585416557887052, 0.6749703090986593, 0.8459156023669178, 0.8483362059062821]","[0.6888994570582474, 0.6412632908676638, 0.6502571478081671, 0.6232850580705225, 0.5692578994138682, 0.4162559449974223, 0.11996258819459821, 0.0]","[0.14568057656180974, 0.2070698221891465, 0.23929064091532468, 0.2411937996578559, 0.26603192132542375, 0.39361644473399676, 0.6189090033239718, 1.0]","[0.9609336049181109, 0.9314021958780818, 0.8837650279737159, 0.8123710585296454, 0.7419412714332061, 0.6277776192695289, 0.4458852437077452, 0.3023515457156361]","[0.9280424498907258, 0.8327162504284912, 0.8101309118525379, 0.8683569256228709, 0.9364513143478305, 0.9333095946301773, 0.5498491612141114, 0.24196121065571097]","[0.9624170364021668, 0.9182002887662407, 0.8690247126345828, 0.8214457094373538, 0.7638879505105458, 0.6533713445172034, 0.48497574570247853, 0.2640789688496366]","[0.847812252913339, 0.7566710755549513, 0.7414609495687009, 0.6131248121544047, 0.4933903659317911, 0.35633952861134827, 0.05789576702631623, 0.3078131417915714]","[0.8383022817113408, 0.7532591198978428, 0.724086016180303, 0.6619657607569108, 0.5882876828360591, 0.436361918582653, 0.14134024454766284, 0.0]","[0.5662099453527555, 0.5427042497758596, 0.5952518984039717, 0.5458631001990462, 0.4700224001464884, 0.31810635054782804, 0.0, 0.18952099391308597]","[0.4001015594407482, 0.41428294953113737, 0.3951555592039245, 0.3642493243957105, 0.3720289139891062, 0.4965772893418614, 0.7210036175365847, 1.0]","[0.22933098677476998, 0.22313607836711896, 0.39635509280591197, 0.377207819431605, 0.31718778617747895, 0.3411234743748194, 0.25092646075121106, 0.0]","[0.2294878361342737, 0.25189636627233813, 0.4340245878164466, 0.47520727780172595, 0.41904932773774767, 0.35763491242241097, 0.22591808197955165, 0.20050749461561587]","[0.8107161859572152, 0.7428213830838543, 0.8424652108348863, 0.9364791403000607, 0.9349562889436953, 0.7412540256701746, 0.21246038050552957, 0.015715440995666366]","[0.9379189913208686, 0.8919857035487923, 0.681530165411025, 0.5766695799110633, 0.6725710194530821, 0.6535234778379646, 0.7410214329824829, 0.501292257781141]","[0.9575917658193438, 0.9138817574590554, 0.8649256161907302, 0.8119583044920297, 0.7552589938329418, 0.6456745431955807, 0.4446239939182238, 0.2416295387598343]","[0.9540980094948162, 0.912093610925823, 0.864710687641004, 0.8079978975653072, 0.753705805950796, 0.6480698848433543, 0.4209865125477823, 0.24096975179504962]","[0.9580038259367506, 0.9057536963339092, 0.8593936027958705, 0.8258161956377397, 0.7848665687896721, 0.6873833244414859, 0.4855176591207264, 0.2481955267806571]","[0.9611219487241258, 0.9235107062775844, 0.8743620362640853, 0.814289972532783, 0.7495042762284309, 0.6355331513374815, 0.4579456082439503, 0.27202671035511317]","[0.8161218376690901, 0.752033263140081, 0.640345097564698, 0.669392119987979, 0.8418439188400875, 0.9230280554255593, 0.7179799048675897, 0.6245685854489653]","[0.029113482529668805, 0.0776053501090035, 0.12303632665380973, 0.0948303485836435, 0.0, 0.015053419040020126, 0.37773440746539133, 0.49664869186532196]","[0.07586331058919754, 0.1619154939894749, 0.23494685942109836, 0.16088929205057778, 0.04413328623649508, 0.04948883199962759, 0.27955037798019533, 0.5385190507606618]","[0.02721595058337257, 0.06962397691017913, 0.13352828174907483, 0.17999938113266326, 0.15640869456322723, 0.09148905635096334, 0.08090188905029795, 0.2651490505885817]"
"[0.8284438122832516, 0.7069300486161809, 0.6149057106212259, 0.585416557887052, 0.6749703090986593, 0.8459156023669178, 0.8483362059062821, 0.4239746433531779]","[0.6412632908676638, 0.6502571478081671, 0.6232850580705225, 0.5692578994138682, 0.4162559449974223, 0.11996258819459821, 0.0, 0.14206038886415973]","[0.2070698221891465, 0.23929064091532468, 0.2411937996578559, 0.26603192132542375, 0.39361644473399676, 0.6189090033239718, 1.0, 0.7431318616264713]","[0.9314021958780818, 0.8837650279737159, 0.8123710585296454, 0.7419412714332061, 0.6277776192695289, 0.4458852437077452, 0.3023515457156361, 0.2242785977550863]","[0.8327162504284912, 0.8101309118525379, 0.8683569256228709, 0.9364513143478305, 0.9333095946301773, 0.5498491612141114, 0.24196121065571097, 0.0]","[0.9182002887662407, 0.8690247126345828, 0.8214457094373538, 0.7638879505105458, 0.6533713445172034, 0.48497574570247853, 0.2640789688496366, 0.08171706348591595]","[0.7566710755549513, 0.7414609495687009, 0.6131248121544047, 0.4933903659317911, 0.35633952861134827, 0.05789576702631623, 0.3078131417915714, 0.0]","[0.7532591198978428, 0.724086016180303, 0.6619657607569108, 0.5882876828360591, 0.436361918582653, 0.14134024454766284, 0.0, 0.029220385480865793]","[0.5427042497758596, 0.5952518984039717, 0.5458631001990462, 0.4700224001464884, 0.31810635054782804, 0.0, 0.18952099391308597, 0.17858622694848886]","[0.41428294953113737, 0.3951555592039245, 0.3642493243957105, 0.3720289139891062, 0.4965772893418614, 0.7210036175365847, 1.0, 0.6635929482422374]","[0.22313607836711896, 0.39635509280591197, 0.377207819431605, 0.31718778617747895, 0.3411234743748194, 0.25092646075121106, 0.0, 1.0]","[0.25189636627233813, 0.4340245878164466, 0.47520727780172595, 0.41904932773774767, 0.35763491242241097, 0.22591808197955165, 0.20050749461561587, 0.9021155570822188]","[0.7428213830838543, 0.8424652108348863, 0.9364791403000607, 0.9349562889436953, 0.7412540256701746, 0.21246038050552957, 0.015715440995666366, 0.0]","[0.8919857035487923, 0.681530165411025, 0.5766695799110633, 0.6725710194530821, 0.6535234778379646, 0.7410214329824829, 0.501292257781141, 0.0]","[0.9138817574590554, 0.8649256161907302, 0.8119583044920297, 0.7552589938329418, 0.6456745431955807, 0.4446239939182238, 0.2416295387598343, 0.09420978614830323]","[0.912093610925823, 0.864710687641004, 0.8079978975653072, 0.753705805950796, 0.6480698848433543, 0.4209865125477823, 0.24096975179504962, 0.13148330238688463]","[0.9057536963339092, 0.8593936027958705, 0.8258161956377397, 0.7848665687896721, 0.6873833244414859, 0.4855176591207264, 0.2481955267806571, 0.05399409345006743]","[0.9235107062775844, 0.8743620362640853, 0.814289972532783, 0.7495042762284309, 0.6355331513374815, 0.4579456082439503, 0.27202671035511317, 0.13853985880410408]","[0.752033263140081, 0.640345097564698, 0.669392119987979, 0.8418439188400875, 0.9230280554255593, 0.7179799048675897, 0.6245685854489653, 0.22530576345278472]","[0.0776053501090035, 0.12303632665380973, 0.0948303485836435, 0.0, 0.015053419040020126, 0.37773440746539133, 0.49664869186532196, 0.8353554803941232]","[0.1619154939894749, 0.23494685942109836, 0.16088929205057778, 0.04413328623649508, 0.04948883199962759, 0.27955037798019533, 0.5385190507606618, 1.0]","[0.06962397691017913, 0.13352828174907483, 0.17999938113266326, 0.15640869456322723, 0.09148905635096334, 0.08090188905029795, 0.2651490505885817, 0.5254239243680388]"
"[0.7069300486161809, 0.6149057106212259, 0.585416557887052, 0.6749703090986593, 0.8459156023669178, 0.8483362059062821, 0.4239746433531779, 0.14794891883347766]","[0.6502571478081671, 0.6232850580705225, 0.5692578994138682, 0.4162559449974223, 0.11996258819459821, 0.0, 0.14206038886415973, 0.4042030317774809]","[0.23929064091532468, 0.2411937996578559, 0.26603192132542375, 0.39361644473399676, 0.6189090033239718, 1.0, 0.7431318616264713, 0.46425686546799433]","[0.8837650279737159, 0.8123710585296454, 0.7419412714332061, 0.6277776192695289, 0.4458852437077452, 0.3023515457156361, 0.2242785977550863, 0.09114197989644038]","[0.8101309118525379, 0.8683569256228709, 0.9364513143478305, 0.9333095946301773, 0.5498491612141114, 0.24196121065571097, 0.0, 0.1260996926427597]","[0.8690247126345828, 0.8214457094373538, 0.7638879505105458, 0.6533713445172034, 0.48497574570247853, 0.2640789688496366, 0.08171706348591595, 0.0]","[0.7414609495687009, 0.6131248121544047, 0.4933903659317911, 0.35633952861134827, 0.05789576702631623, 0.3078131417915714, 0.0, 0.0633236118167032]","[0.724086016180303, 0.6619657607569108, 0.5882876828360591, 0.436361918582653, 0.14134024454766284, 0.0, 0.029220385480865793, 0.24933699051836059]","[0.5952518984039717, 0.5458631001990462, 0.4700224001464884, 0.31810635054782804, 0.0, 0.18952099391308597, 0.17858622694848886, 0.37267334323669754]","[0.3951555592039245, 0.3642493243957105, 0.3720289139891062, 0.4965772893418614, 0.7210036175365847, 1.0, 0.6635929482422374, 0.36318116865479294]","[0.39635509280591197, 0.377207819431605, 0.31718778617747895, 0.3411234743748194, 0.25092646075121106, 0.0, 1.0, 0.9964347694440453]","[0.4340245878164466, 0.47520727780172595, 0.41904932773774767, 0.35763491242241097, 0.22591808197955165, 0.20050749461561587, 0.9021155570822188, 1.0]","[0.8424652108348863, 0.9364791403000607, 0.9349562889436953, 0.7412540256701746, 0.21246038050552957, 0.015715440995666366, 0.0, 0.47032922213715056]","[0.681530165411025, 0.5766695799110633, 0.6725710194530821, 0.6535234778379646, 0.7410214329824829, 0.501292257781141, 0.0, 0.006446244482707428]","[0.8649256161907302, 0.8119583044920297, 0.7552589938329418, 0.6456745431955807, 0.4446239939182238, 0.2416295387598343, 0.09420978614830323, 0.00033513562523941755]","[0.864710687641004, 0.8079978975653072, 0.753705805950796, 0.6480698848433543, 0.4209865125477823, 0.24096975179504962, 0.13148330238688463, 0.02844524473158681]","[0.8593936027958705, 0.8258161956377397, 0.7848665687896721, 0.6873833244414859, 0.4855176591207264, 0.2481955267806571, 0.05399409345006743, 0.0]","[0.8743620362640853, 0.814289972532783, 0.7495042762284309, 0.6355331513374815, 0.4579456082439503, 0.27202671035511317, 0.13853985880410408, 0.030162410685326237]","[0.640345097564698, 0.669392119987979, 0.8418439188400875, 0.9230280554255593, 0.7179799048675897, 0.6245685854489653, 0.22530576345278472, 0.0]","[0.12303632665380973, 0.0948303485836435, 0.0, 0.015053419040020126, 0.37773440746539133, 0.49664869186532196, 0.8353554803941232, 1.0]","[0.23494685942109836, 0.16088929205057778, 0.04413328623649508, 0.04948883199962759, 0.27955037798019533, 0.5385190507606618, 1.0, 0.9771249271198736]","[0.13352828174907483, 0.17999938113266326, 0.15640869456322723, 0.09148905635096334, 0.08090188905029795, 0.2651490505885817, 0.5254239243680388, 0.8358040204468183]"
"[0.6149057106212259, 0.585416557887052, 0.6749703090986593, 0.8459156023669178, 0.8483362059062821, 0.4239746433531779, 0.14794891883347766, 0.0]","[0.6232850580705225, 0.5692578994138682, 0.4162559449974223, 0.11996258819459821, 0.0, 0.14206038886415973, 0.4042030317774809, 0.7695560519248761]","[0.2411937996578559, 0.26603192132542375, 0.39361644473399676, 0.6189090033239718, 1.0, 0.7431318616264713, 0.46425686546799433, 0.10421795188006276]","[0.8123710585296454, 0.7419412714332061, 0.6277776192695289, 0.4458852437077452, 0.3023515457156361, 0.2242785977550863, 0.09114197989644038, 0.0]","[0.8683569256228709, 0.9364513143478305, 0.9333095946301773, 0.5498491612141114, 0.24196121065571097, 0.0, 0.1260996926427597, 0.48344343658037897]","[0.8214457094373538, 0.7638879505105458, 0.6533713445172034, 0.48497574570247853, 0.2640789688496366, 0.08171706348591595, 0.0, 0.02870374103404077]","[0.6131248121544047, 0.4933903659317911, 0.35633952861134827, 0.05789576702631623, 0.3078131417915714, 0.0, 0.0633236118167032, 0.35650476779597084]","[0.6619657607569108, 0.5882876828360591, 0.436361918582653, 0.14134024454766284, 0.0, 0.029220385480865793, 0.24933699051836059, 0.6337193321466829]","[0.5458631001990462, 0.4700224001464884, 0.31810635054782804, 0.0, 0.18952099391308597, 0.17858622694848886, 0.37267334323669754, 0.6746197783141085]","[0.3642493243957105, 0.3720289139891062, 0.4965772893418614, 0.7210036175365847, 1.0, 0.6635929482422374, 0.36318116865479294, 0.04847793293771055]","[0.377207819431605, 0.31718778617747895, 0.3411234743748194, 0.25092646075121106, 0.0, 1.0, 0.9964347694440453, 0.3587642643716875]","[0.47520727780172595, 0.41904932773774767, 0.35763491242241097, 0.22591808197955165, 0.20050749461561587, 0.9021155570822188, 1.0, 0.4849271274464077]","[0.9364791403000607, 0.9349562889436953, 0.7412540256701746, 0.21246038050552957, 0.015715440995666366, 0.0, 0.47032922213715056, 0.9580735295180983]","[0.5766695799110633, 0.6725710194530821, 0.6535234778379646, 0.7410214329824829, 0.501292257781141, 0.0, 0.006446244482707428, 0.6562247189637216]","[0.8119583044920297, 0.7552589938329418, 0.6456745431955807, 0.4446239939182238, 0.2416295387598343, 0.09420978614830323, 0.00033513562523941755, 0.0]","[0.8079978975653072, 0.753705805950796, 0.6480698848433543, 0.4209865125477823, 0.24096975179504962, 0.13148330238688463, 0.02844524473158681, 0.0]","[0.8258161956377397, 0.7848665687896721, 0.6873833244414859, 0.4855176591207264, 0.2481955267806571, 0.05399409345006743, 0.0, 0.07552904479623784]","[0.814289972532783, 0.7495042762284309, 0.6355331513374815, 0.4579456082439503, 0.27202671035511317, 0.13853985880410408, 0.030162410685326237, 0.0]","[0.669392119987979, 0.8418439188400875, 0.9230280554255593, 0.7179799048675897, 0.6245685854489653, 0.22530576345278472, 0.0, 0.48156863931377303]","[0.0948303485836435, 0.0, 0.015053419040020126, 0.37773440746539133, 0.49664869186532196, 0.8353554803941232, 1.0, 0.6592612015180915]","[0.16088929205057778, 0.04413328623649508, 0.04948883199962759, 0.27955037798019533, 0.5385190507606618, 1.0, 0.9771249271198736, 0.4222333741403749]","[0.17999938113266326, 0.15640869456322723, 0.09148905635096334, 0.08090188905029795, 0.2651490505885817, 0.5254239243680388, 0.8358040204468183, 1.0]"
"[0.585416557887052, 0.6749703090986593, 0.8459156023669178, 0.8483362059062821, 0.4239746433531779, 0.14794891883347766, 0.0, 0.07860999588931741]","[0.5692578994138682, 0.4162559449974223, 0.11996258819459821, 0.0, 0.14206038886415973, 0.4042030317774809, 0.7695560519248761, 1.0]","[0.26603192132542375, 0.39361644473399676, 0.6189090033239718, 1.0, 0.7431318616264713, 0.46425686546799433, 0.10421795188006276, 0.0]","[0.7419412714332061, 0.6277776192695289, 0.4458852437077452, 0.3023515457156361, 0.2242785977550863, 0.09114197989644038, 0.0, 0.03925633810892536]","[0.9364513143478305, 0.9333095946301773, 0.5498491612141114, 0.24196121065571097, 0.0, 0.1260996926427597, 0.48344343658037897, 0.7665543950877924]","[0.7638879505105458, 0.6533713445172034, 0.48497574570247853, 0.2640789688496366, 0.08171706348591595, 0.0, 0.02870374103404077, 0.12129620407941913]","[0.4933903659317911, 0.35633952861134827, 0.05789576702631623, 0.3078131417915714, 0.0, 0.0633236118167032, 0.35650476779597084, 0.8370696910510856]","[0.5882876828360591, 0.436361918582653, 0.14134024454766284, 0.0, 0.029220385480865793, 0.24933699051836059, 0.6337193321466829, 0.9325195233920462]","[0.4700224001464884, 0.31810635054782804, 0.0, 0.18952099391308597, 0.17858622694848886, 0.37267334323669754, 0.6746197783141085, 1.0]","[0.3720289139891062, 0.4965772893418614, 0.7210036175365847, 1.0, 0.6635929482422374, 0.36318116865479294, 0.04847793293771055, 0.0]","[0.31718778617747895, 0.3411234743748194, 0.25092646075121106, 0.0, 1.0, 0.9964347694440453, 0.3587642643716875, 0.3247744912804227]","[0.41904932773774767, 0.35763491242241097, 0.22591808197955165, 0.20050749461561587, 0.9021155570822188, 1.0, 0.4849271274464077, 0.0]","[0.9349562889436953, 0.7412540256701746, 0.21246038050552957, 0.015715440995666366, 0.0, 0.47032922213715056, 0.9580735295180983, 1.0]","[0.6725710194530821, 0.6535234778379646, 0.7410214329824829, 0.501292257781141, 0.0, 0.006446244482707428, 0.6562247189637216, 1.0]","[0.7552589938329418, 0.6456745431955807, 0.4446239939182238, 0.2416295387598343, 0.09420978614830323, 0.00033513562523941755, 0.0, 0.08749458607086706]","[0.753705805950796, 0.6480698848433543, 0.4209865125477823, 0.24096975179504962, 0.13148330238688463, 0.02844524473158681, 0.0, 0.0801262189567438]","[0.7848665687896721, 0.6873833244414859, 0.4855176591207264, 0.2481955267806571, 0.05399409345006743, 0.0, 0.07552904479623784, 0.19670223494397437]","[0.7495042762284309, 0.6355331513374815, 0.4579456082439503, 0.27202671035511317, 0.13853985880410408, 0.030162410685326237, 0.0, 0.06758643378775192]","[0.8418439188400875, 0.9230280554255593, 0.7179799048675897, 0.6245685854489653, 0.22530576345278472, 0.0, 0.48156863931377303, 1.0]","[0.0, 0.015053419040020126, 0.37773440746539133, 0.49664869186532196, 0.8353554803941232, 1.0, 0.6592612015180915, 0.20751794899301249]","[0.04413328623649508, 0.04948883199962759, 0.27955037798019533, 0.5385190507606618, 1.0, 0.9771249271198736, 0.4222333741403749, 0.0]","[0.15640869456322723, 0.09148905635096334, 0.08090188905029795, 0.2651490505885817, 0.5254239243680388, 0.8358040204468183, 1.0, 0.8562880980208738]"
